,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600027.SH,X600795.SH,X600362.SH,X600426.SH,X601991.SH,X600803.SH,X600176.SH,X000983.SZ,X600489.SH,X601699.SH,X000807.SZ,X000786.SZ,X000539.SZ,X300037.SZ,X600160.SH,X600995.SH,X000408.SZ,X600219.SH,X600612.SH,X000932.SZ,X002080.SZ,X000629.SZ,X600688.SH,X600378.SH,X002409.SZ,X000723.SZ,X600157.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.50036793072862,0,0,0.021515076238279,0.0712554254432841,0,0,0,0,0.0424876962183302,0,0,0,0,0,0,0,0,0,0.0303711601361929,0,0,0,0,-0.0390283010224175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140882265096105,0,0,0,0.0391486120760184,0,0,0,0,0,0,0
X600028.SH,0.708540470136984,0,0,0,0,-0.104951307138468,0,0,0,-0.0718535788398433,0.0354910635034443,0.0860407923284401,0,0,0,0,0,0,0,0,0,0,0,0.0262180049906928,0,0,0,0,0,0,0,0,0,-0.0552128846047414,0,-0.0256297206493493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00675025086491203,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.37907046429931,0,0,0.0461998624758147,0,0,0,0,0,-0.0768897468996519,0,0,0.0273099638925577,0.0472941027276579,0,0,0,0,0,0,0,0,0.0616629830327659,0.11906472900431,0.0109658104087845,0,0,0,0,0,0,0,0,0,0,0.0334236097136407,0,0,0,0,0,0,-0.0469709629523133,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.178283133444272,0,0,0,0,0,0,-0.0227069685847226,0,0,0,0,0,0,0,0,0,0,0,-0.0128321277854045,0,0.143539481755961,-6.93889390390723e-18,0,0,0,0,0,0.0345043807865545,0,0,0,0.0280109153987797,0,0,0,0,0,0.0536286465510997,0,0,0,0,0,0,0,0,0,-0.0175805339459056,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.133608637967019,0,0,0,0,0,0,0,0,0,0,0,0.331146167487146,0.21054226073929,0,0,0.242136453650515,0,0,0,0.0653348465741043,0,0,0,0,0,0,0,0,0,0,0,0.0622433362769495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0.0178842149902084,0,0,0,0,0,0,0,0,0.0361570561843319,0.187267123821352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779458625605778,0,0,-0.14899792918501,0,0.116515907974641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119148807871065,0,0,0,0,0,0
X600585.SH,0,0,0.0583993535121795,0.0280250262423137,0,-0.071670245930521,0,0.15534105780349,0,0.0135988906228902,0,0,0,0,0,0,0,0,0,0,0.00863939467079146,0,-0.0587577249432062,0,0,0,0,0,0,0,0,0,0.0261953662924865,0.238562922116529,0,0.0280914475451533,-0.021423717567078,0,0,0,0,0,0,0.172223787607751,0,0,0,0,0,0,0,-0.0195159497176742,0,0,0,0,0,0,0
X600019.SH,0,0.0397304755121292,0,0,0,0.0599059274611576,0,0,0,0,0,0.0394248125542546,0,0.200175086737923,0,0,0,0,0,0,0,0,0,0,0,0.0591860935202044,0,0,0,0,0,0,0.0250033066624458,0,0,-0.0477673807429429,0,0,0,0,-0.0678951784748474,0,0,0,0,0,0,0,0,0,0,0.0320670331891381,0.0318952833775184,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.372977230602805,0,-0.0566019199534194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296776223489706,0,0,0,0,0,0,0,0,0.136128054746094,0,0,-0.00211513441258546,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.15323440764555,0,0,0.442901818848274,0,0,0,0.176495452672939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165146707967661,0,0,0,0,0,0,0,0,0,0,0,0,0.120044383243232,0.0670080855279617,0,0,0,0.127770716691619,0,0,0,0.00425174809319554,0,0,0,0,0,0,0
X601898.SH,0.0525226228387397,0.0225635859518426,0.27927145412948,0,0,0.201602314317754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414512578461997,0,0,0,0,-0.0992142690787881,0.0255516551299346,-0.000616302254524395,-0.0820178905207463,0,0,0,0,0,0,0,0,0,0,0,0.0207306848548364,0,0,0,-2.16840434497101e-19,0.0650828351424268,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61758766793895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178927260255163,0,0,0,0,-0.00206657989917983,-0.0257211410489014,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0667896176574598,0,0,0.206210051657669,0.121315686243424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065551479874972,0,0,0,0,0.0497201645545408,0,0.0677823752927584,0.0385829688746093,0,0.0543234870055671,0,0,0,0,0.0442839912743912,0,0,0,0,0,0,0,0,-0.0132612956513327,0,0,0,0,0,0
X601600.SH,0.0876022601375709,0.0579004227563043,0,0,0,0,0,0,0,0,0,0.036029232730698,0,0,0,0,0,0,0,0,0,0.0292507643942561,0.000129131508651359,0,0,0,0,0,0,0,0.223686115944814,0,0.43690661392981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122435718598238,0,0,0,0,0,0,0
