,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600660.SH,X002460.SZ,X002271.SZ,X000708.SZ,X600011.SH,X600886.SH,X000786.SZ,X600362.SH,X601898.SH,X600010.SH,X600801.SH,X600176.SH,X601600.SH,X600426.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X600111.SH,X600795.SH,X000301.SZ,X600688.SH,X600803.SH,X600299.SH,X600027.SH,X002080.SZ,X300037.SZ,X601992.SH,X002466.SZ,X002075.SZ,X000932.SZ,X600315.SH,X600486.SH,X600219.SH,X002353.SZ,X000027.SZ,X000883.SZ,X601168.SH,X000723.SZ,X600612.SH,X600529.SH,X000898.SZ,X601158.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0310823900124892,0,0,0,0,0,0,-0.022279056126609,0,0,0,0,0.046917866779085,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280627798953385,0,0,0,0,0.0895055968384507,0,0,0,0,0,0,-0.00134176961743528,0,0,0,-0.000375706341606987,-0.00282299042979489,0,0,0,0.0108858285325139,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823690886580695,0,-0.00787261040418642,0,0.0238276424267799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00817339254866473,0,0.0447515457904651,0,0,0,0,0,0,0,0,0,0,-0.00592574616976012,0,0,0,0,-0.000421549094870752,0,0
X601088.SH,0,0,0,0,0,0,0,-0.0250850357584549,0.0426758160761785,0,0,0,0,0.0240020601580868,0,0,0,0,0,0,0.0162457819906398,0,0.16346120988356,0,0,0,0,0,0,0.0190105648019138,0,0,0,0,0,0.0376857364251243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159725043332929,0,0,0,0,0.0295733266624882,0,0
X600585.SH,0,0,0,0,0.00371652277949131,0,0,0,0.023835060323266,0,0,-0.0258971112130272,0,0,0,0,0,0,0.0736185498408398,0,0,0.0407233393975297,0,0,0.0842924660936119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967213319912482,0,0,0,0,0,0,0,0.0207227004040728,0,0,0,0,0.0163829941378722,-0.0145141921814567,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112332541684975,0.221250776783456,0,0,0,0.0543638730091055,0,0,0,0,0,0,0,0.267892077285173,0,0.127855309732106,0,0,0,0,0,0.10770017233464,0,0,0,0,0,0,0,0,0,0.0340970389733132,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0191493474186542,0,0,0.0198351959380139,0,0,0,0,0,0,0,0.0883638688121395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00544385987088994,0,0,0.0262518002948114,0,0,0.0189560518543448,0,0,0,0.350392788383359,0,0,0.0399953527422168,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317803933615279,0.583169452377427,0,0,0,0.153055476800407,0,0,0,0,0.00562449540854644,0,0,0,0,0,0,0,0.0621996225366382,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140556833812567,-0.011647172417009,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112996888450557,0,0.0781458685620388,-0.0893463019138914,0,0,0,0,0,0,0,0,0.255115969555767,0,0,0.0358023739931262,0,0,0,0,0.0273524535382627,0,0,0,0,0,0,0,0,0,0,0.0559714717431089,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.0623209487748419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213449369916702,0,0,0,0,0,0.0496400972854321,0,0,0,0.148352631498235,0,0.268305587488057,0,0,0,0,0,0.185631594451542,0,0,0.190511423747718,0,0,0,0,0,-0.0287242631886021,-0.00790035151414613,-0.00212848880980636,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0.0984468467081403,0,0,0,0,0,0,0,0,0,0,0.301506039889226,0,0,0,0,0,0,0,0,0,0,0.113995591404376,0,0,0,0.224850939976195,0,-0.0126534916145922,0,0,0.0327518441514646,0.0434586874919354,0,0,0,0,-0.0191526257404362,0,1.38777878078145e-17,-0.0273865505566967,0,0,0,0,0.06264407497417,0,0,0,0.0263874434541485,0,0
