,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X600019.SH,X600011.SH,X601898.SH,X600111.SH,X600660.SH,X000301.SZ,X600010.SH,X000708.SZ,X601600.SH,X002271.SZ,X600547.SH,X000877.SZ,X600886.SH,X600426.SH,X600795.SH,X600362.SH,X601699.SH,X000983.SZ,X600176.SH,X600027.SH,X600803.SH,X601991.SH,X000786.SZ,X600995.SH,X000807.SZ,X000629.SZ,X600160.SH,X000408.SZ,X600489.SH,X000831.SZ,X600219.SH,X600096.SH,X000723.SZ,X600378.SH,X000933.SZ,X002080.SZ,X600348.SH,X000630.SZ,X300037.SZ,X600141.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0904629890652991,0,0,0,0,0,0,0,0,0.0390378073344192,0.0708030837341913,0,-0.0228521032335748,0,0,0.128961885950653,0.0445569046740402,0,0,0,0.0484030966354579,0,0,0.0112757616283653,0.0378441326565435,0,0,0,0,0,0,0,0,0,0.0271298538109551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013101874213613,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.436369573650267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274389458531184,0,0,0,0.085615327969878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189050260903659,0,0,0,0,0,-0.00979939178763671,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0755180869227131,0,0.0618259777942568,0,0,0,0,0,0,0.0310071019341168,0,0,0,0,0.0111416317317835,0,0,0,0.00808474160300632,0.00319253342819601,0,0,0,0,0,0.0457939579948596,0,0,0,0.00242216991977921,0,0,0,0,0,0,0,0,0,0,0,0,0.0340414180746049,-0.0123823954052102,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,-0.0840298053698493,0,0,0,0.0971325722047186,0,0.0319735258313868,0,0,0.0893643426215572,0.0268140793363337,0,0,0,0,0,0,0,0,0,0,0.234018255898816,0,0,0,0,0,0,-0.0103575683302765,0,0,0,0,0.0804326414607067,-0.0589247735952334,0,0,0,0,0,0,0.0141712502341195,-0.0199099803818491,0.0428405433779101,0,0,0,0,0
X600188.SH,0,0.425773443411498,0,0,0,0,0,0,0,0,0,0.0740782024205109,0,0,0.0108042586286431,0,0,0,-0.0494854531983499,0,0,0,0,0.0853851061912137,0,0.0194994638444718,0,0,0,0.19553189222356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286806798069272,0,0.112431883787827,0,0,0,0,-0.0179106081634676,-0.016842425452012,0.023747978091942,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0175156887933588,0,0,0.612941098658727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212697456475202,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0340614008028617,0,0,0,0,0,0.00789954056600906,0.00177877700650983,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754188582705171,0,0,0,0.414660663525564,0,0,0,0,0,0,0,0,0,0,0.127010664922105,0,0,0,-0.0111694040331288,0,0,0,0,0,0,0,0.175002411486467,0,0,0,0,0,0,0,0.00314725166812289,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,-0.0104658338627839,0.707295421094341,0,0,0,0,0,0,0,0,0,-0.0096459218760452,0,0,0,0,0,0,0,-0.0613808638663406,0,0,0,0,0,0,0,0,0,0.172068308423292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0178198408142356,-0.0059834625891515,0.00958037586386216,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.445088918157242,0,0,0,0,0,0,0.0535077634074358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110206012480236,0.022292048148019,0,0,-0.00211739769199457,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295749185762031,0.173494238120852,0,0,0,0,0,0,0.103000845116956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376946530769663,0,0,0,0,0.00963809864614518,-0.026912711334032,0,0,0,0,0,0
