,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600426.SH,X600795.SH,X600362.SH,X000877.SZ,X002271.SZ,X601699.SH,X000983.SZ,X600176.SH,X600803.SH,X600489.SH,X000807.SZ,X600027.SH,X000786.SZ,X601991.SH,X600160.SH,X000932.SZ,X000630.SZ,X000933.SZ,X600219.SH,X000408.SZ,X600985.SH,X002080.SZ,X000629.SZ,X300037.SZ,X600688.SH,X600612.SH,X002353.SZ,X002409.SZ,X600096.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.811775784714991,0,0,0,0,0,0,0,0,0,0,0,0.0335314581622958,0,0,0,0,0,0.0127058364576735,0,0,0,0,0,0,0.0758683793811755,0,0,0,0,0,0,0,0.1232330722131,0.0164255031490961,0,0,0,0,0,0,0,0,0,0.0284916629001285,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.522792277951523,0,0,0,0,0.0352005760712563,0,0,0,0,0.039864367737212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029762908092756,0.058190082240689,0,0,0,0.0977037484320562,0.0120834130551665,0,0,0,0,0,0.0613242783843771,0,0,0,0,0,-0.0285069118842912,0,-0.145395797883099,0,0,0.0197731489915722,-0.0119329761935773,-0.0358519942883033,0,0,0,0,0
X601088.SH,0,0,0,0,0.201843207844881,0,0,0,0.156037565672877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157696913438707,0,0,0,0.0435405990649772,0,0,0,0,0,0,0,0,0.0111393446634156,0.0322854182019489,0,0,0,0,0,0.0914049924709721,0,0,0,0,0,0,0,0,-0.00340270174096118,0,0,0,0,0,0,0
X600309.SH,0.0513329098936729,0,0,0,0,0,0,0,0,0,0.0621302638814788,0,0.0118456329403513,0,0.0415087185154318,0,0.175434469350688,0,0,0,0,0,0,0.0119205156931178,0,0,0,0,0,0.02072069822978,0,0,0,0,0,0.0503460940903279,0,0,0,0,0,0,0,0,0,0,0,0,0.127655062670713,0,-0.0682316698432479,0.0250909022082025,0,0,0,0,0,0,0
X600188.SH,0,0,0.200451290045195,0,0,0,0,0,0,0,0.0839963324214711,0,0,0,0,0,0,0,0,0,0.191825338306666,0,0,0,-0.045097469523318,0,0.299228446953512,0,0,0,0,0,0,0,0,0,0,0.127710676734229,0,0,0,0,0,0,0,-0.166536829154314,0,-0.0609294949727144,0,0,0,0.0109373491945538,-0.0227520460764093,0,0,0,0,0,0
X600019.SH,0.0103092209748587,0.02731851269014,0,0,0,0,0,0,0.105755557646924,0,0,0,0,0,0,0,0,0,0.156609506396885,0,0,0,0,0.0688841608773437,0,0,0.0184007504602817,0,0.0942426079962522,0,0,0,0,0,0,0.357662495847257,0,-0.0302815514773617,0,0,0,0,0,-0.14462990759142,0,-0.0181389960405245,0,-0.0397827639738042,0,0,-0.0254166129756759,0,0.0156895307966874,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0188594209695365,0,0,0,0,0,0,0,0,0,0.106955720566399,0.0181450738973258,0,0,0,0,0,0,-0.0552783875790025,3.46944695195361e-18,0,-0.00201166544889215,0,0,0,0,0,0,0.230429700018341,0,-0.0263401266992916,0,0,0.208137412877217,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.116628764950289,0,0,0,0,0,0,0,0,0,0,0.256591626168292,0,0,0,0,0,0,0,0,-0.137634472856736,0,3.46944695195361e-18,0,0,0,0,0.794647393969513,0,0,0.0824928085336153,0,0,0,0,0,0,0,-0.0513303426364102,0.0956894092035082,0,0,0,0.0400195028828307,0,0,-0.131012143636037,0,0,0,0,0,0,0,0
X601898.SH,0.0153157201956732,0,0,0,0,0,0,0,0,0.0936311265793809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843590672734045,0,0.166677703469261,0.125031027972745,0,0.131230219501159,0,0,0,0,0,0,0,0.0503379875939462,0,0,0,0.118920937053,0,0.0328931160780228,-0.196255518104296,0,0,0,0,0,0,0,-0.0106020764558019,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.141708257930418,0,0,0,-0.110091514824799,0,0,0,0,0,0,0,0,0,0,-0.0444863058502735,0,0,0,0,0,0,0.112775519673766,0.511248893188361,0,0,0,0,0,0,0,0,0,0,0,-0.0326475340182082,0,0.085849426908594,0,0.0929417499055811,0.048710021248376,0,0,0,0,-5.42101086242752e-20,-0.0142117768258506,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0138875657137001,0,0,0,0,0,0,0,0,0,0,0.0937846478274466,0,0.0399798449545573,0,0,0,0,0,0,0,0,0,0,0,0.443602530969157,0,0.0716853451234421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386050577578025,0,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,-0.0429787155181166,0,0,0.0511626176192288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.00687067398573169,0,0,0,0,-0.0477731960062129,0,0.0841459961146824,0,0,0,0.130901577970366,0,0,0,0.184108320768671,0,0.0566295642004896,0,-0.0465068239275485,0,0,-0.137489999988017,-0.00172680037008621,0.00707962270396058,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111712525043314,0.290814696245935,0,0,0,0.0847638395931632,0,0,0,0,0,0,0.0552502574368089,-3.46944695195361e-18,0,0.0306464655816332,0,0,0.014657176972932,0,0.0981024009181279,0,0,0,0,0,0.0129625992155349,0,0,0,0,0,0,0,0,0,0,-0.0776417977314297,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765171057389141,0,0,0,0,0,0,0,0,0,0.0656644386346577,0.00304393950984801,0,0,0,0,0,0,0,0,-0.0434153084780152,0,0,0.00893048656294983,0,0,0,0,0,0,0,0.0915267025260014,0,0,-0.0279002062276643,0,0,0,0.00152459848018418,-0.0448486278402085,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0606038977298887,0,0,0,0,0,0,0,0,0.787248244633942,0,0,0,0,0.0410939037462811,0,0,0,0,0,0.0131489824935593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121228287299869,0,0,0,0,0,0,0,0,-0.0138691911152699,0,0,0,0,0,0
