,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002460.SZ,X002271.SZ,X600011.SH,X601898.SH,X600660.SH,X600886.SH,X601600.SH,X600801.SH,X600362.SH,X600010.SH,X600188.SH,X600352.SH,X600489.SH,X601991.SH,X000786.SZ,X600688.SH,X600795.SH,X600111.SH,X600027.SH,X601992.SH,X600176.SH,X002466.SZ,X600299.SH,X600529.SH,X600426.SH,X002353.SZ,X600315.SH,X600126.SH,X000723.SZ,X600219.SH,X600516.SH,X002075.SZ,X002409.SZ,X002080.SZ,X000898.SZ,X601158.SH,X600612.SH,X000959.SZ,X000932.SZ,X600486.SH,X000883.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0386509517690774,0.0366314512812454,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0297261144063009,0,0,0.143116825652502,0,0,0,0,0,0,0,0,0,0,0,0,0.0487949957425921,0,0.0196458661787039,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00904280494653809,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.00452536826616144,0,0.0258493423122337,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0568996560282464,0,0,0,0,0.0737850000058496,0,0,0,0,0.0450664546230859,0,0,0.0705592514647197,0,0.0712069170999119,0,0,0,0,0,0,0,0,0,0,0,-0.0163444748409753,-0.00152055625736292,0.00157369954419919,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.182311189295071,0,0,0,0,0,0.0814328442386508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748621069524668,-0.028091735274966,0,-0.0468739707896657,0.01569146294458,0.0426102508507903,0,0.0170070456409971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142839989199614,0.00746904030826307,0.000758827293142317,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.00631677628545955,0,0,0.0248513818067704,0,0.0588563753715673,0,0,0,0,0,0.53106746880633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113752698315919,0,0,0,0,0,0.0205244515441279,0,0,0,0.0110854936613394,0,0,0,0,0,0,0,0,0,0,-0.0103546333268728,-0.0055082234519768,0.00482053218042142,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.10222677078099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104492630815462,0,0,0,0,0,0.0348308506307758,0.00819310251171655,0,0,0.280167220493705,0.03764498560193,5.26485185391723e-05,0,0,0,0,0,0.115849909810311,0,0,0,0.0544457812633422,0,0,0,0,0,0,-0.0125112553111753,0.0105184271846879,0,0,0,0,0,0
X600547.SH,0,0,0,0.00838538441636769,0,0,0,0,0,0.114797007645201,0,0,0,0,0,0,0,0,0,0,0.655491358246751,0,0,0,0,0,0,0,0,0.0707642251554288,0,0,0,0,0,-0.0258129553373763,0,0,-0.0963952655420541,0,0,0,0,0,0.227128875101852,0,0,0,0,0,0,0.00179970746900151,-0.00810064966985779,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548855372955541,0,0,0.11872466623183,0.0118131979584424,0,0,0.0598642844656352,0,0.106317350691835,-0.0285649582142903,0,0,0.0220251397239793,0,-0.00748285952575271,0,0.00749551513574792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000309928392018986,-0.00193416024676649,0,0,0,0,0,0
X000708.SZ,0,0,0,0.11017986382067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107931323704155,0,0,0,0,0,0,0,0,0,0,0.0202895206391552,-0.0397450062850727,0.0203009168282586,0,0,0.0563268292916082,0,0,0,0.0761884122975204,0,0,0,0,0,0,0,0,-0.0145411268202326,0.00682074030818849,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108290366265662,0,0,0,0,0,0,0,0,0,0.143419691644014,0,0,0.121278468367756,0,0,0,0,0.0808026543232656,0,0,0,0,0,0.170801158904044,0.146099565999265,0,0,0,0,0,0,0,0.239238522292041,0,-0.0130522147318866,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.125605252678776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021813047918243,0,0,0,0.0404571531433129,0,0.13458774801907,0,0,0.0554941336622575,0.0120052864005838,0,0,0,0,-0.0239634994654818,0,0,0,0,0,0,0.137419758832398,0,0,0,-0.007610704067945,0,0,0,0,0,0,0
X600011.SH,0,0,0.142581677405019,0,0,0,0,0,0,0,0,0.170585290357839,0,0,0,0,0,0,0,0,0,0,0.0254549714238711,0,0,0,0.118375910089917,0,0,0,0.00866183500537627,0.0368567556106435,0,0,0.0645935788818271,-0.0109794052260821,0,0,0,0,0.0360174281274933,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.00904220937662521,0,0,0,0,-0.0721369440514436,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.0651438377010082,0,0,0,0,0,0,0,0,0,0,0,0.00499763869670592,0.0313568116984511,0,0,0,0,0,0.0459823463861479,0,-0.008271136796434,0.0497113506594566,0,0,0,0.107313864482891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00461923171554731,0.00115076750770017,0,0,0,0,0,0
X600660.SH,0,0,0.0433279046764772,0,0.133908659388181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161932712404648,0,0,0,0,0,0,-0.0294035034211166,0,0,0.0104595287209937,0.0150267378759573,0.017571632519872,-0.0103464346713779,0.0884642653178549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00903215708906568,0,0,0,0,0,0,0
X600886.SH,0,0,0.169049353064229,0,0.109151064991248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112831024856022,0,0.000124159747921887,-0.00605538607921001,0,0,0,0,0,0,0,0,0,0,-0.0393587029804405,0,0,0,0,0,0,0,0,0,0.0354795085852622,-0.00010607995004433,0,0,0,0,-0.0534629548570732,0,0
