,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002460.SZ,X002271.SZ,X600011.SH,X600660.SH,X600886.SH,X600801.SH,X600010.SH,X601898.SH,X601600.SH,X600362.SH,X600188.SH,X600352.SH,X600489.SH,X601991.SH,X002466.SZ,X600688.SH,X000786.SZ,X600795.SH,X600126.SH,X600111.SH,X600027.SH,X601992.SH,X600299.SH,X600176.SH,X600426.SH,X002075.SZ,X002353.SZ,X600315.SH,X600529.SH,X600486.SH,X000723.SZ,X000959.SZ,X600516.SH,X600612.SH,X600219.SH,X002080.SZ,X601158.SH,X000932.SZ,X000898.SZ,X000401.SZ,X000883.SZ,X000301.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11761521732865,0,0,0,0,0,0,0,0.0331737779678107,0,0,0,0,0,0,0.0678610748913131,0,0.00852512148664596,0,0,0,0,0,0,0,0,0,0,0.00248017320310796,-0.012314188836265,0,0,0,0,0,0
X600028.SH,0,0,0,0.023478955724519,0,0,0,0,0,0,0,0,0,0.0216242313470241,0,0,0,0,0,0,0,0,0.00537553005968971,0.0211645397732217,0,0,0,0,0.0815872459297566,0,0,0.0522846786163598,0,-0.00259058282544436,0.0639517982636384,0,0,0,0.0299694462347855,0,0.0650817866357965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0189400104106709,0.0150377649820142,0,0,0,0.518455331734384,0,0,0,0,0,0,0,0,0.050880584099276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540615082767231,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199945597721761,-0.00343849129827351,0.00386094268616675,0,0,0,0,0,0
X601088.SH,0,0,0.18906606826279,0,0.00353854595657571,0,0,0,0,0,0.175337821553651,0.0281118277877411,0.0611299424370109,0,0,0,0,0.0145603015287074,0,0,0,0,0,0,0,0,0,0,0.0405672884335794,0,0,0.110946054165205,0,-0.020969657221402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00797359103081682,0.0218307353637684,-0.0175948693622093,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.115788232418295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254592518932988,0,0.0121790318119062,0,0,0,0,0,0,0,0.2001771430581,0,0,0,0.0450028199821282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121920496062739,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408304954966343,0,0.125008327380289,0,0.0189862716538612,0,0,0,0,0,0,0,0,0.0242872082685589,-0.0228598730209911,0,0,0,0,0,-0.0966172716871667,0.13789288108202,0,0,0,0,0,0,0,0,0,0.00639342882800217,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0573643382714177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00398492007130767,0.0809632144126305,0.0714237031272927,0,0,0,0,0,0,0,0,0,0.079188581274354,0,0.00278642822495442,0.0319003484898945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884982442020075,-0.0162016908735817,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506707301636385,0.0543775742515837,0.197122236037388,0,0,0,-0.135284583276929,0,0,0.142950442006559,0,0,0,0.0141045211220945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199274043075861,-0.0127609420410618,-0.00304704293823538,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.161436864599086,0,0,0,0,0.0786420243685994,0,0,0,0,0,0,0,0,0,0,0,0,0.206255299642411,0,0,0,0,0,0,0,0,0,0,0.0146674451041716,0.0116570938105975,0.0671337435692973,0.169714448658725,0,0,0,0,0,0,0.297145320636686,0,0,0,0,0,0,0,0.00216457992142152,-0.0129018530168215,0,0,0,0,0,0
X002271.SZ,0,0,0.178207793229555,0,0,0,0,0,0,0,0,-0.0320814767432867,0,0,0,0,0,0,0,0,0,0,0.0219975512751978,-0.0224643576507291,0,0,0.070120124872788,0,0,0,0,0,0,0,0,0,0.170497644740686,0.139532881353594,0,0,0,0.0712020963262697,0,0,0,0,0,0,0,0,0,-0.0117461195993291,-0.00762614526940442,0,0,0,0,0,0
X600011.SH,0,0,0,0.360838706344673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154407566459833,0,0.142363169945234,0,0.15987775022157,0,0,0,0,0.0290564057354791,0.0093517354081039,0,0,0,-0.00856711374406921,0,0,0,0,0,0,0,0,0,-0.0166256391633427,0.00698341881923172,-0.0105803569140422,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0.0957192426590436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138954446793528,0,0,0,0,0,0,0,0,0,0,0.259837364747921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310320360739854,-0.0208362779412022,0,0,0,0,0,0
X600886.SH,0,0,0,0.283442485374157,0,0,0.110805623436621,-0.032405030379264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00256627000222675,0,0,0,0,0.00448160254956669,0,-0.000397029916283653,0,0,0,0,0,0.0783792714649968,0,0,0,0,0,-0.0391758102518918,0,0,0.0254989924996905,-0.00527225509913198,0,0,0,0,0,0,0
X600801.SH,0,0,0.091809519107536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02884695157814,0,0,0,0.169197943241017,0,0,0.0160239696127409,0,0.0115129329078426,0,0.0143011461774998,0,0,0,0,0.0808413200316375,0,0,0,0.350679350997996,0,0,0,0.0048250065549389,0.0175809730287993,0,0,0,0,0,0
