,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600886.SH,X600660.SH,X601600.SH,X600547.SH,X002466.SZ,X000792.SZ,X600795.SH,X002460.SZ,X601699.SH,X000708.SZ,X600010.SH,X000301.SZ,X600111.SH,X600362.SH,X600027.SH,X000983.SZ,X000877.SZ,X600803.SH,X600426.SH,X000786.SZ,X601991.SH,X600489.SH,X600985.SH,X002271.SZ,X600160.SH,X000408.SZ,X000630.SZ,X000807.SZ,X000933.SZ,X600176.SH,X000932.SZ,X600348.SH,X601168.SH,X600612.SH,X600219.SH,X002128.SZ,X000027.SZ,X300037.SZ,X600688.SH,X600157.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.125408489572596,0,-0.0899093196962252,0,0,-0.079289999083382,0,0,0,0,0,0,0,0,0,0,0.129510648375286,0,0,0,0,0,0,0,0.0753676087174182,0,0.171494310732939,0,0,0,0,0,0,0,0,-0.0174610791391771,0,0,0,0,-0.00269489109011958,0.00512013265606305,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.371201665986382,0,0,0,0,0,0,0,0,0,-0.0519068729946111,0,0,0,0,0,0,0,0,0,0,-0.055275276742954,0,0,0,0,0,0.199251065765257,-0.00390452600012586,0,0,0,0,0.0768211564347352,-0.0142981568492077,0,0,0,0,0,0,0,0,0,0,0,0,0.0112361418701628,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.105555065879041,0,0,0.091768228853565,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286581475095331,0.0981334132521267,0,0,0,0,0,0,0,0,0,0,0,0.409876186480055,0,0,0,0,0,0,0,0,0,0,0,-0.0132504143318221,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0133623382117784,0.0976514969047133,0,0,0.285225178069755,0,0,0,0,0,0,0,0,0,0,0,0.0557122812441255,0,0,0,0,0,0,0.155800729653346,0.027792908527958,0,0,0,0,0.161094722329957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148132911486764,0.0116477594483141,0,0,0,0,0,0
X600188.SH,0,0.046065634376379,0,0.0741849115712186,0,0.219178142579401,0,0,0,0,0,0,0,0,0,0,0,0.324329091793915,0,0,0,0,0,0,0.182554199492314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0348688436927235,0,0,0,0,-0.0121567150622956,0,0,0,0,0,0,0
X601898.SH,-3.46944695195361e-18,0,0,0,0.278211045341923,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,-0.00959146265570429,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.265082886905998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361001856629256,-0.0178772877455759,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.059007363233089,0,0,0.00938620826090171,-0.0191622134960702,0,0,0,0,0,0,0,0,0,0.417467312402539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0245524424069426,0,0,0,0.0409753845061061,0.044262851339611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169827090308805,0,0,0,0,0,0,0.298820824172634,0,0.202050473700146,0,0,0,-0.00643642925350882,0,0.0356241908530956,0,0,0,0,0.00268855245264809,0.113365476623443,0,0,0,0,0
X600585.SH,0.179450822708501,0,0,0.112811930703972,0,0,0,0,0,0,0,0,0,0,0,0,0.15566943564371,0,0,0,0,0,0,0,0,0.0072531242313521,0,0,0,0,-0.0349223293060866,0,0.0590844349460226,0,0,0,0,0,0.057734568659511,0,0,0,0,0,0,0,0,0,0,0,0,0.00899418269911497,0.00448529062419366,0,0,0,0,0,0
X600886.SH,0,0.0474067777900147,0,0,0,0.101880346404966,0,0,0,0,0,0,0,0,0,0.488032762445691,0,0.01960398223106,0,-0.135305179788077,0,0,0,0,0,0,0,0,-0.0629229605853808,0,0,0.0195583508028387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601866997266095,0,0,0,0,-0.00414002191537683,0.00842828812214435,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0.0882332696972878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0336069791289941,0,0,0,0,-0.0548726814210511,0.043205021327078,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0118672671910511,0,-0.00123604146647628,0.0331742031793527,0,0.0121173525082092,-0.00338548981381195,0.184433833889855,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.289826494072648,0,0,0,0,0.0252713078847364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00898325625643589,0,0,0,0.0462508074240075,0,0,0.248667423172337,0.155524387443451,0.131018657353789,0,0,0,0.0133836204347771,0,0,0,0,0,0,0,0,0,-0.0169836876655803,0.0168016944683474,0,0,0,0,0,0
