,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X600547.SH,X601600.SH,X601898.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600010.SH,X600111.SH,X000301.SZ,X000708.SZ,X002271.SZ,X600426.SH,X600362.SH,X000877.SZ,X600795.SH,X600027.SH,X600176.SH,X600489.SH,X600803.SH,X601699.SH,X000983.SZ,X601991.SH,X000807.SZ,X000786.SZ,X600160.SH,X000630.SZ,X000932.SZ,X600219.SH,X000933.SZ,X000408.SZ,X000629.SZ,X002080.SZ,X300037.SZ,X600688.SH,X000539.SZ,X600612.SH,X600096.SH,X002409.SZ,X600157.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.848701994387461,0,0.105844688898306,0,0,0,-0.0335754059170389,0,0,0,0,0,0,0,0,0,0,0,0.0366037314882111,0,0,0,0,0,0,0,0.0895224212831788,0,0,0.0391335435645001,0,-0.0502483014436423,-0.0363809002880994,0.060046341472926,0,0,0,0,0,0,0,0,0,0,0,0,-0.0443805541263352,0,0.0266719402486008,0,0,0,0,0,0,0,0,0
X600028.SH,0.495074375242968,0,0,0,0,0,0,0,0,0,0.1724350558636,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.00451701931489553,0,0,0.0258854242190029,0,0,0,0,0,0,0,0.0859176698767697,0.00165055789485296,0,0,0.00122941616379363,0,0,0,-0.0784818630361555,0,-0.0587562739590405,0,0,0,0,-0.00620467787909499,0.0515990695265508,0,0,0,0,0,0
X601088.SH,0.0285866987862525,0.199377218848204,0,0,0.0822943549949952,0,0,0,0,0.0298883638326163,0,0,0,0,0,0,0,0.0931948338793378,0,0.029863006748613,0,0,0,0,0,0,0,0,0,0,0.101132240364431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008972601800512,0,-0.00423184231164414,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0380175004705033,0,0,0,0,0,0,0,0.146895217051764,0,0,0,0,0.0506257453343067,0,0.123432116391197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342107209538526,0,0.0396210097099068,0,-0.00661053642792942,0,0,0,0,0,0,0.037930906606592,0,0,0,-0.00794685520194322,0,0,0,0,0,0,0
X600188.SH,0,0,0.692094476066543,0,0,0,0,0,0,0.0707819733097912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222248995648909,0,0,0,0,-0.0356166106451146,0,0,0,0,0,0,0,0,0,0,-0.233186530542318,0,-0.00930024833973316,0,0.0521897471642899,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.114275850602329,0,0.0610604142579065,0.0538812539774854,0,0,0,0,0,0,0,0,0.0159423099857023,0.148620246428902,0,0,0,0,0,0,0,0.080362597401342,0,0,0,0,0,0,0,0.036798968867007,0,0,0,0,0,0,0,0,0,0,-0.0877045613862642,0,0,0,-0.0661692595408213,0.0942146054004061,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0745634198694607,0,0,0,0.0450769244577559,0,0,0,0,0,0,0,0,0,0,0.0685472496726836,0,0,0.0948497186799535,0,-0.0455145739669239,0,0,0,0,0,0,8.67361737988404e-19,0.0372536972250616,0,0,0,0,0.0184982223370969,0,0,0.322920776085442,0,0,0,-0.153114077516738,0,-0.0390226556695002,0,0,0,-0.003744111651629,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0152848996791527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0907925892738454,0,0,0,0,0.430987702856084,0,0,0,0,0,0,-0.11392251350923,0,0,0,0,0,0,0,0,0,0,0,0.132945036524329,0,0,0.0559388063341319,0,0,-0.0238172041454441,0.00449673044174669,0.0500723224110316,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.119009765809971,0,0,0,0,0,0,0,0,0,0,0,-0.0581517371184643,0,0,0,0,0,-0.0476062603905685,0,0,0.665240461530253,0,0,0,0,0,0,-0.0262108746555617,0,0,0,0,0,0,0,0,0,0,0.0367017945181679,0,0,0,0,0,0,0.00697966899857658,0,0,0,0,0,0
X601600.SH,0,0.0617458638510588,0,0,0.0313616915454942,0,0,0,0,0,0,0,0,0,0,0,0,0.215942673786967,0,0,0.0228205416201456,0.0754380296006138,0,0,0,0,0,0,0,0,0,0,0.418492226857997,0.0300369706446555,0,0,0,0,0,0,0,0,-0.0102781856702542,0,0,-0.0385591164723009,0,0,0,0,0,-0.00840747783584464,0,0,0,0,0,0,0
