,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X000723.SZ,X601898.SH,X600352.SH,X600660.SH,X600547.SH,X601991.SH,X600688.SH,X600188.SH,X600886.SH,X600362.SH,X600795.SH,X600516.SH,X601992.SH,X600027.SH,X600111.SH,X600801.SH,X000898.SZ,X002466.SZ,X600299.SH,X600176.SH,X002460.SZ,X000709.SZ,X000786.SZ,X600219.SH,X000629.SZ,X002110.SZ,X000990.SZ,X600808.SH,X600157.SH,X000553.SZ,X601158.SH,X002271.SZ,X000825.SZ,X600489.SH,X000883.SZ,X600583.SH,X000630.SZ,X600339.SH,X600985.SH,X300072.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0226097545828553,0,0,0,0,0,0,0,0,0,0,0.00566077513443126,0,0.128366123742706,0,0.0115635257817739,0,0,0.0204290916749042,0,0,0,0,0,0,0,0,0,0,0.0130020115799499,0,0,0.0187474631302112,0,0,0,0,0,0,0,0,0,0.0865359108826095,0.0215530962172297,0,0,-0.00724515097398709,-0.0131766532187589,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.00552864601303213,0,0,0,0,0,0,0,0,0,0,0,0,0.150094292052205,0,0.0481707979245063,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113354748702278,0.140625657181846,0,0.0141986075929143,-0.0471385582963818,0,0,0,0,0,0
X601088.SH,0,0,0,0.118217612773951,0,0,0,0,0,0,0,-0.0202589261735958,0,0,0,0,0,0,0,0,0,0,0,0.150869141560647,0.066426947671715,0,0,0,0.062949339688835,0,0,0.01540395361884,0,0,0,0,0,0.0151140137219688,0,0,0,0,0,0,0,0,0,0,0.0156049929141304,0,0,0.00405304716084542,-0.0595180694972726,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0823897774259535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480475973739973,0,0,-0.00722348183478128,0,0,0,0,0,0,0.0660801041992981,-0.00765734532327989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121476102289155,0,0,0,0,-0.00549939874929521,0,0
X600019.SH,0,0,0,0,0,0.0396593905123583,0,0,0.0862144411965449,0.00497500845684984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436471551721634,0.0539693675855086,0,0.00376010765854466,0,0,0,0,0,0,0,0,0,0,0.04744877170789,0,0,0.0294291598749125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0255671628449513,0,0.0200249269297319,0,0,0,0,0,0,0,0,0.00621405336242144,0,0,0,0,0,0,0,0,0,0,0.198424763144313,-0.11683909859101,0,0.114856754794333,0.0648582568696854,0,0,0,0,0,0,0,0,0,0,0.0698703954951116,0,-0.0179682438403447,0.389581051501505,0,0,0,0,0,0,0.0127601003284687,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.00608574653974502,0,0,0,0,0,0,0,0,0,0.145832320499263,0,0,0.357016403715878,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161265714415463,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0259383021633023,0,0.0061812690935881,0,0,0,0.0197268885458289,0,0,0,0,0.0562855347507387,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.124477440367655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131643429532954,0,0,0,0,0,0,0,0.0106341410033465,0.159038314495536,0,0,0,0,0.186871036886627,0,0,0,0,0,0,0,0,0,0,0.0310424411595972,0.0184292816455297,0,-0.00088174305321853,-0.0139134221559867,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00458523251000831,0,0,0,0,0.180190553454205,0.0676426989089715,0,0,0,0,0,0,0,0.245259101416748,0,0,-8.67361737988404e-19,0,0.0069391585217127,0,0,0.0312282841397233,0,0,0,0,0,0,0,0.0546291886240548,0.0830132510981668,0,-0.00548817979085687,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0.149399338363914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.408922391889808,0,0,0,0,0,-0.0262340237214661,0,0.168333301265251,0,0,0.625768456684229,0,0,0,0,0,0,0,0,0,0,0.0588259597737491,0.0633738389112253,0,0.194309700194894,0,-0.0393565586593068,0,0
