,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600111.SH,X600795.SH,X600886.SH,X600362.SH,X600010.SH,X600188.SH,X600688.SH,X600027.SH,X600309.SH,X600583.SH,X000883.SZ,X601992.SH,X002353.SZ,X000898.SZ,X000792.SZ,X601158.SH,X000709.SZ,X000629.SZ,X000539.SZ,X600489.SH,X600808.SH,X000825.SZ,X600315.SH,X000831.SZ,X000027.SZ,X600660.SH,X600352.SH,X601699.SH,X600578.SH,X600307.SH,X000630.SZ,X000983.SZ,X600549.SH,X600490.SH,X600863.SH,X000937.SZ,X002470.SZ,X000959.SZ,X000960.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230051941950768,0.0508706112571037,0.0116664677637095,0,0,0,0.00728301412231832,0,0,0,0.0112238625698859,0,0,0,0,0,0,0.0652735300804398,0.0347344709581363,0,0,0.0286850356291478,0,0,0,0,0,0,0,0,-0.00678780277147428,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0882134512416823,0,0,0,0,0,0,0,0.14193489822464,0,0,0,0,0,0,0,0,0.118051387932017,0,0,0,0,0,0,0,0,0,0,0,0,0.0173975339800155,0,0,0.0826508477550006,0,0,0,0,0,0,0,0,0,0.0123627522150879,0.0181893775600399,0,-0.0105068897841003,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.153341077609644,0,0,0,0,0,0,0,0.0795776213721393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210463288883386,0,0,0,0,0,0,0.0648398904839382,0,0,0,0.0199582402396002,0,0,0.19656886339016,0,0,-0.00682523167788558,0,0,0.00035072092600371,0,0,0,0,0,0,0
X600585.SH,0,0,0.191935262805183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680515344265289,0.009111376202175,0,0,0,0,0,0,0,0,0,0,0.0587604070681268,0,0,0,0,0.0442283021735886,0,0,0,0,0,0,0,0,0,0,0.00877880179574442,0,0,1.0842021724855e-19,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0831970509006886,0,0,0,0,0,0.0939828049371399,0,0,0,0.037379970445428,0.192058805882904,0,0,-0.112767544760822,0,0,0,0,0,0,0,0,0,0,-0.0103416307567863,0,0.154851728255163,0,0,0,0,0,0,0,0,0,0,0.0121901878086633,0,0,4.33680868994202e-19,0,0,0,0.0203041690808478,-0.0183655328424867,0,0,0,-0.0254758252300507,0,0
X600019.SH,0,0,0.0900841644012332,0,0.0149657132158286,0,0.111534333730148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207108742350034,0,0,0.145844674545815,-0.0141563153085971,0,0,0,0,0,0,0,0.081592924817968,0,0,0,0.0383855587966857,0,0,0,0.104956376860905,0,0,0,0.0010368234195638,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.034594213193103,0,0,0,0,0.0312338106601423,0.0314378458098571,0,0,0,0,0,0,0.0579868176692028,0,0,0,0,0,0.0923894374237795,0,0.00880131189560452,0.00560414250215409,0,0,0.181374966498124,-0.0243286126903804,0,0,0,0,0,0,0,0,0.0739072776134925,0.101462100224135,0,0,0,0,0,0,0.00530396435558226,-0.0175520107780791,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0279980014018113,0,0,0,0.0133238648348544,0,0,0.0102156678324196,0,0,0.0293849288729676,0,0,0,0.165340570781198,0,0,0,0.00260856569183098,0,0,0,0,0,0,0.122473489978557,0,0,0,0,0.0404134954636677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0326987055552479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146385146594748,0,0,0.132899710731152,0,0,0,0,0,0,0,0,0,0,0.245136029397522,0,0.0123976585219058,0,0,0,0.130232737164631,0,0,0,-0.00806857938425015,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0.0295861968704768,0,0,0,0,0,0.0583613825111707,0,0,0,0,0,0.10999020593981,0,0,0,0,0,0.0181482157919266,0,0,0,0.0951205890276042,0,0,0,0,0,0,0,0,0,0.0305452137090571,0.230814841189093,0,0,0,0,0,0.0647185584392179,0,0,-0.0113899037049148,0.00751997977477793,0,0,0,0,0,0
