,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X600585.SH,X601600.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600111.SH,X600010.SH,X600795.SH,X600362.SH,X002460.SZ,X600489.SH,X000708.SZ,X002466.SZ,X600160.SH,X600027.SH,X600803.SH,X601991.SH,X000301.SZ,X000786.SZ,X000807.SZ,X600426.SH,X600219.SH,X002128.SZ,X000408.SZ,X000983.SZ,X000630.SZ,X601168.SH,X600176.SH,X000877.SZ,X601699.SH,X600096.SH,X000933.SZ,X600985.SH,X000831.SZ,X600378.SH,X600995.SH,X002353.SZ,X002271.SZ,X600157.SH,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.623025449224737,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0885779019910614,0,0,0,0.176520685696786,0,0,0,0.0259234979093431,0,0,0,0,0,0,0.0304481454129608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255578372902833,0,0,0,0,0,0,-0.0374608167845386,0,0,0,0,0,0
X601088.SH,0.0345735878141265,0,0,0,0.350200391139135,0,0,0.121151641132012,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0478102687431219,0.0132747592680753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228297524505212,0.0679172047903916,0,0,0,0,-0.0581657118524459,0,0,0,0,-0.0285761458780177,3.46944695195361e-18,-0.0473723614727508,0,0,-0.0039790401831121,0,0
X600028.SH,0.392726566264558,0,0,0,0.149535254097575,0.176097282365568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148271437458364,-0.102467492269249,0,0,0,0.0914511757513785,0,0,0,0,0,-0.0501262627453323,0,0,0,-0.138691112893001,0,0,0,0,0,0,0,0,0,0,-0.0175703497666931,0,0,0.240291979160912,0,0,0,0,0,0,0.0143607193077714,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129117066422298,0,0.0185630172623079,0,0,0,0.119763166542681,0,0,0,0,0.359212199683618,0,0.0588222551968161,0,0,0.0601569887900914,0,0,0,0,0,0,0,0,0,0,0.105653776072393,0.0555054199413532,0.0207864222897045,0,0,0,-0.0641163872885111,0,0,0,0,0,0,0
X601898.SH,0,0.0863882479716568,0.386881756723378,0,0,0,0,0,0.109343603373877,0,0,0,0,0,0,0.0535710224206096,0,0,0,0.0370696317507487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0462026272527966,0,0,0,0
X600188.SH,0,0,0,0,0.0287962727089788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332629847319061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651342982022496,0,0,0,0,0,0,0,0,0.0289316745778185,0,0,0,0,0,0,0,0,-0.0220357038065074,0,0
X600660.SH,0,0,0,0.339253663514277,0,0,0,-0.0804945149959812,0,0,0,0,0,0,0.168538898112262,0,0,0,0,0,-0.321544611612316,0,0.14185907867043,-0.0397653026570799,0.205765363490695,0,0,0,0,0,0,0,0,0,0,0,-0.0868750192996711,-0.00780880659823957,0,0,-0.139243335733233,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,-0.0817235972103343,-0.106204234228944,0,0,0.00284835603032153,0,0
X600019.SH,0.12016897987377,0,0.0430827420723079,0,0,0,0,0,0,0.0840251301225161,0,0,0,0,0,0,0,0,0,0,0.164444176967379,0,0,0,0.112115284241659,0,0,0,0,0,0.245242725405042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086498967072476,0,0,0,-0.0162263085073081,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.148516534362075,0,0,0.0263421046704918,0,0,0,0,0,0.247290463112875,0,0.0612100200417623,0,0,0,0,0,0,0,0,0,0.0596788900145216,0,0.0735695579299534,0,0,0,0,0,0,0,0,0,0.29374969242971,0,0,0,0,0,0,0,-0.0319024273827082,0,-0.0583051695460029,0,0,0,0,0,0,0,0,-0.0277372459886993,0,0
X601600.SH,0,0.0953217014528552,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348448808295463,0.180742291338565,0,0.427630464055554,0,0,0,0,0.297731261578083,0,-0.0178029440197751,0.0681204862056122,0,0.141630097012036,0,0,0,0,0,-0.0316249078814207,0,0,0,0,0,-0.0671618055277667,0,0,0,0.0258858807225516,0,0
