,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X600011.SH,X601898.SH,X000792.SZ,X600019.SH,X600111.SH,X000301.SZ,X600660.SH,X600010.SH,X000708.SZ,X600795.SH,X600886.SH,X000877.SZ,X600547.SH,X601600.SH,X601991.SH,X600027.SH,X002271.SZ,X600426.SH,X000983.SZ,X600362.SH,X600803.SH,X600176.SH,X600348.SH,X000629.SZ,X000408.SZ,X601699.SH,X600160.SH,X000723.SZ,X600096.SH,X000786.SZ,X600985.SH,X600995.SH,X600219.SH,X600378.SH,X600157.SH,X002080.SZ,X600688.SH,X600141.SH,X600489.SH,X000933.SZ,X600549.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.131683537221125,0,0,0,-0.0308715508435367,0,0,0,0,0,0,0,0.0800192353273702,0,0,0,0,0.0322143244687152,0,0,0,0,0,0,0.0319368004733846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186930983316626,0,-0.0417870251695107,0.00993495854008367,0,0,0,0,0,0
X601088.SH,0,0,0,-8.67361737988404e-19,0.273045320907281,0,0,0,0.122298183998328,0.175938651172675,0,0,-0.0490661226809712,-0.0841396436576476,0,0,0,0,0,0,0,0,0,0,0,0,0.215348884875246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291048543705937,-0.0241795243412295,0,0,0,0,0,0
X600028.SH,0.000328335829610553,0,0,0,0,0,0,0,0,0.0522429630324688,0,0,0,0,0,0,0,0,0,0,0,0.0999545540751049,0,0,0,0,0.044195306183195,0,0.0620238352507697,0,-0.00662888611836705,0,0.0143646127975632,0,0,0,0,0,0.0012752738003051,0,0,0,0,0,0,0,0.0563383611270908,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0034785298629463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918722288654599,0,0.015922330460945,0,0,0.0447730263216061,0,-0.0724849711131555,0,0,0.0128991881307438,0,0,0.0210844326872026,0.129499810086901,0,0.0431201586605775,-0.00311547399190052,0,0,0,0,0.0346854255357697,0,0,0,0,0,0,0.0110596623492379,0,0,0,0,0,0
X600188.SH,0,0.441710324967283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265497467369837,0,0,0,0,0,0,0,0,0,0.161434237382882,0,0,0,0.0600950320760329,-0.0434513416110097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11337274287205,0.100093174457497,0,0,-0.0514272552392507,0.0344684983716073,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.615141702022383,0,0,0,0,0,0,0.109308025825704,0,0,0,0,0,0,0,0,0,-0.0312697375654011,0,0,0,0,0.0458331728867821,0,0,0,0.268257992081364,0,0,0,0,0,0,0,0,0,0,0.0256006607255906,-0.10488537844239,0.225093983908384,0,-0.121219195642354,0,0,0,0.0924491767768404,-0.0174724843371964,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.386646728269168,0,0,0,0,0,0,0.0200276508964149,0,0,0,0,0.102353087402951,0,0,0,0,0,0,0,0,0,0,-0.0812173440519497,0,0.0487917639560678,0.0444007482878937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346823985007364,0.0223594879618309,0,0,0.0788996495421572,-0.0335723677413748,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,-0.0475446331645133,0,0,0.171448300762875,0,0,0,0,-0.0436466621986748,0,0.00848225807518513,0,0.0114212815876892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098948899127928,0.36149807615865,0,-0.0381684754307268,0,0,0,0.0404808937108292,0,0,0,0,0,0,0,0,0.0246076788228142,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255342120940668,0,0,0,0,0.110459345318289,0.29022194216044,0,0,-0.0188837420525049,0,0.0966732854949219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316385720196584,0.0712243054919339,0,0,0,-0.0585622242539927,-0.0614732622132148,0,0,0.0260223910373282,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368904678140303,0,0.130553799462747,0,0,0,0,0,0,0,0,0,0.135383361161654,0,0,0,0,0,0,0,0,0.177775818017217,0,0,0,0,-0.0123504390315326,0,0,0,0,0,0
