,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600547.SH,X600010.SH,X601898.SH,X600660.SH,X601991.SH,X600688.SH,X600886.SH,X601600.SH,X600795.SH,X600362.SH,X600188.SH,X600027.SH,X000898.SZ,X601992.SH,X600176.SH,X600516.SH,X000709.SZ,X600352.SH,X002466.SZ,X600111.SH,X600299.SH,X600489.SH,X000629.SZ,X600808.SH,X002460.SZ,X601158.SH,X000786.SZ,X600801.SH,X600219.SH,X000825.SZ,X000553.SZ,X000883.SZ,X002271.SZ,X002110.SZ,X600583.SH,X002470.SZ,X600612.SH,X600021.SH,X000932.SZ,X000408.SZ,X601699.SH,X000539.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.419151665478551,0,0,0,0,0,0,0,0,0,0,0.0262971023329292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00525744436883098,0,0,0.0242335951036105,0,0,0,0,0,0,0,0,0,0,0,0.0284825054229166,0,0.0101947861820253,0,0,0,0.0383360362788421,0,0,0,-0.0163689752798408,0.0217737285179801,0,0,0,-0.0219490507084172,0,0
X600028.SH,0.662015301521538,0,0,0,-0.0352666164663707,0,0,0,0,0,0.19794624985816,0,0,0,0,0,0,0,0,0,0,0,0.0864398623220773,-0.00150366870536388,0,0,0,-0.0967856655890369,0,0,0,0,0,0,0,0,0,0,0,0.239268005936322,0,0,8.68515683529188e-05,0,-0.150756015275629,0,-0.0904227884352891,0,-0.0524665922018649,0,0,0.02287425936071,0.0261470369292963,0,0,0,0,-0.108827643959985,0
X601088.SH,0,0,0,0,0,0,0.115946230511621,0,0,0,0,0,0,0.0686738195007646,0,0,0,0,0,0,0.0237332417981043,0.188608046419875,0,0,0,0,0,0,0,0,0,0,0,0.119000898325018,0,0,0,0,0,0,0,0.03176400347651,0,-0.0923824801395244,0,0,0,0,0,0,0.00769497608981149,0,0.0104286389254481,0,0,0,0.0415814356953468,0,0
X600585.SH,0,0,0.0109869227651233,0,0,0,0.0225548413501531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724962226303519,-0.112726418664793,0,0,0,0,0.489849739836634,0,0,0,0,0.000420191314037029,0.0519470260804635,0,0,0,0,0.0901253268003078,0,0,-0.267701649245998,0,0,2.16840434497101e-19,0.0106481123005939,0,0,0,0.0800033319967873,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15663467584169,0.0457954722363024,0.0541520956697615,0.0412435086067891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21587594505813,0,0,0,0,0,0,0,0,0,0,0.0090846752525768,0.0164113949245959,0,0,0,0.0315587965679179,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51424061673695,0,0,0.566780824949229,0,0,0,-0.120017027773746,0,0,0,0,0,0,0.0333888067717006,0,0,0,0,0,0,0,0,0,0.0383182357854691,0,0,0.0834253894218001,0,0,-0.110139504976961,0,0,0,0,0,0.00619259775443806,0.00726180919412484,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119143289862591,0,0,0,0,0.662920653428457,0,0,0,0.198323693664702,0,0,0.1680754763096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00249093616009346,0.0210654903515538,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.0457501193263711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694245494233433,0,0,0.591773140456805,0.0434807044616162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809806802292367,0.0568452768133579,0,0,0,0,0,0,-0.003132862627214,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127013537504215,0,0,-0.125288718986703,0.106966213285597,0,0,0,0,0,0,0,0,0,0,0,0,0.254369679300626,0.055125329691517,0,0,0,0,0.0571844267942474,0,0,0,0,0,-0.00399604649218712,0.0196011176725843,0,0,0,0.0361921849895598,0,0
X601898.SH,0,0,0,0,0,0,0.062717208954823,0,0,0,0,0,0,0,0.0905544022078948,0,0,0,0,0,0,0.0941856228457467,0,0,0,0.00215833699196743,0.141803877535944,0.0126012270473661,0,0.0023332563760932,0,0,0,0,0,0,0,0,0,0.0258172729566013,0,0,0,0,0,0,0,0,0,0,0,-0.0126695494986055,0.0408015456219139,0,0,0,0.0298004908158386,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0612899739865587,0,0,0,0,0,0,-0.042456453667708,0,0,0,0.0160647232570434,0,0,0,0,0,0.304504998848373,0,0,0,0,0,0,0,0,0,0,0.0625069346308874,0.014994969866534,-0.0419162256716248,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.0157241491838981,0,0,0,0,0,0,0,0,0,0,0.0415253959218956,0,0,0.0483638129855355,0,0,0,0.122976148312239,0,0,0,1.73472347597681e-18,0,0,0,0.0827046823090038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138956998389353,0.00659141982303699,0,0,0,0,0,0
