,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600188.SH,X600111.SH,X600019.SH,X002466.SZ,X600011.SH,X000877.SZ,X600010.SH,X002271.SZ,X601600.SH,X600660.SH,X000301.SZ,X000708.SZ,X601898.SH,X600547.SH,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000408.SZ,X000723.SZ,X600096.SH,X600219.SH,X000786.SZ,X601991.SH,X600795.SH,X000807.SZ,X002080.SZ,X601699.SH,X600803.SH,X000983.SZ,X300073.SZ,X002353.SZ,X600141.SH,X000825.SZ,X600688.SH,X002497.SZ,X600157.SH,X600489.SH,X000630.SZ,X600801.SH,X600486.SH,X000932.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383525721946847,0,0,0,0.162323246920666,0,0,0,0,0,0,0,0,0,0,0,0,0.12718073617887,0,0,0,0,0,0,0,0,0,0,0,0.165328408720306,0,0.102232747846995,0,0,0.014376420736482,0,-0.00340852757299302,-0.0218744709384346,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.028250855050476,0,0,0,0,0,0,0,0,0,0,0,0.151707188704792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315642255060311,0,0.0715285701875841,0,0.0649259764721674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00953514521506862,0,0,0,0.0298132549736943,0,0
X600028.SH,0.0368959591314593,0,0,0,0,0,0,0.0345140436052849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169018625543774,0,0,0,0.0508902277691069,0,0,0,0,0.0150148867997251,0,0,0,0,0.108037524732453,0,0,0,0,-0.0162649630654652,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371165271924318,0,0,0.0340647136578577,0,0,0,0,0,0,0,0,0.00495954630046066,0,0,0,0,0,0,0.0463018913819214,0,0.209210769850071,0,0,0.0308459737293592,0,0,0,0,0,0,0.0284703041376112,0,0,0,0.0352556135244426,0,-0.00971249288299646,0,0,0,0,-8.67361737988404e-19,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140581116776009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492581539093429,0,0,0,0,-0.00312782176851637,0,0,0,0,0.000999249002585536,0,0
X002460.SZ,0,0,0,0,0,0,0,0.151353168724224,0,0,0.436576959254796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133816064709751,0,0,0,0.068192671884595,0,0.167188775893104,0,0,0.0732128088547858,0,0,0,0,0,0,0,0,0,-0.00446346475067278,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0.437388369211256,0,0,0,0,0,0,0,0,-0.0262182443356599,0,0,0,0,0,0,0.280379954232151,0.0895897201558015,0,0,0,0,0,0,0,0,0,0,0.0492286154286947,0,-0.01682098270176,0,0.1155493881514,0,0,0,0,0,0,0,0,0,0.0172406052760263,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0813773666616966,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037453129322027,0,0,0.112708839829921,0,0,0,0,0,0,0,0,0,0.0673520515318064,0,0,0,0.487811084647205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525000478316953,0.115476046492678,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.0686445494080401,-2.71050543121376e-20,0,0,0,0.0311441658044509,0,0,0.114351058803611,0,0,0,0.0683730189494793,0,0,0,0,0,0,0,0,0,0.0517583295947391,0,0.0190863833102282,0,0,0,0,0,0,0,0,0,0,0,0,0.240836550212081,0,0,0,0,0,0,0,0,0.0116414377154714,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.023674141763613,0,0,0,0.157120750152949,0.0477568849506308,0,0,0,0,0,0,0,-0.00510804434264835,0,0,0,0,0,0,0.0196643750941078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118996315456855,0,0.39743672303996,0,0,0,0,0,0,0,0,0,0
