,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600547.SH,X600660.SH,X600886.SH,X601600.SH,X600585.SH,X600011.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600803.SH,X600027.SH,X002460.SZ,X000301.SZ,X601991.SH,X600426.SH,X600160.SH,X000983.SZ,X600219.SH,X601699.SH,X000786.SZ,X002466.SZ,X000807.SZ,X000630.SZ,X600176.SH,X002128.SZ,X600096.SH,X000408.SZ,X601168.SH,X600985.SH,X000877.SZ,X000933.SZ,X000883.SZ,X600378.SH,X600995.SH,X600352.SH,X600688.SH,X002353.SZ,X600299.SH,X600863.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.387984944190935,0,0,0,0.0536839199663669,0,0,0,0.249746658128845,0.0779540857408568,0,0,0,0,0.105297367747483,0.163371290690502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980161692910082,0,-0.0390334368866138,0,0,0,0,-0.0255875252183057,0,0
X600028.SH,0.270321009954709,0,0.17507191337637,0,0.0446289736545676,0,0.120580874309775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0427420107273343,0,-0.0329608104408021,0,0,0.158188018843863,0,0,0,0,0,0,0,0.0516913834073748,0,0,0,0,0,0.0369511997079839,0,0
X601088.SH,0,0.331891206958728,0,0,0.0410341068612774,0.199330111655232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173934719795997,0,0,0,-0.00578707594888185,0,0
X600309.SH,0,0,0,0,0,0,0,-0.0178308296045788,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175368022109913,0,0,0,0.132502925333224,0,0,0,0,0.0874461846023436,0,0,0,0,0.29833229457026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123096245227869,-0.0102712020263132,-0.0689826619037189,0,0,0,-0.0174751355495934,0,0
X601898.SH,0,0.239846811018975,0.05976202537308,0,0,0.162249918740844,0,0,0,0,0.171823224371964,0,0,0,0,0,0,0,0,0,0,0.146558683104868,0,0,0,0,0,0,0,0.061696438114871,0,0,0,0,0,0,0,0,0.0571186058089887,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00849848417088633,0,0,0,0.0160413678156502,0,0
X600188.SH,0,0,0,0,0.170704827146079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00333922715264425,0,0,0.0887214827174988,0,0.628275354485761,0,0,0,0,0,0,-0.137749579822129,0,-0.0211220704217686,0.207502627517981,0,0,0,0,0,0,0,0,0,0,0,0,0.0371372593659158,0,0,0,0,0,0
X600019.SH,0,0.444582921313294,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.259509830606316,0,0,0,0,0,0,0,0,0.105331790436707,0,0,0,0,0,0,0,0,0,0,0,-0.00720817402411704,0,0,0,0,0,0,0,0,0,0,0.0622424492036725,0,-0.0553579264150291,0,0,-0.0290587804939553,0,0
X600547.SH,0,0,0,-0.0251298382338487,0,0,0,0,0,0,0,0,0,0,0,0.684112883857047,0,0,0.0730942033814875,0,0,0,0,0,0,0,0.214508124782216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.276167123219121,0,0.0159363213540073,-0.0175814268451045,0,0,0,0,0.0287424154334969,0,0
X600660.SH,0,0,0,0.023809570519903,0,0,0,0,0,0,0,0,0,0,0.0760116551896154,-0.115649744199944,0,0,0,0,0.133014288517787,0,0,0,0,0.163064291824514,0,0,0,0,0.0848293261091555,0.112275222403641,0,0,0,0,0,0,-0.0789884383899138,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051638156785221,-0.118738000450298,0,0,-0.0306993251865347,0,0
X600886.SH,0,0,0,0,0.0200302078025114,0,0,0,0,0,0,0,0,0.274725176842163,0,0,0,0,0,0,0,0,0,-0.0153462958280899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254499838338998,0,0,0,0,0,0,0.170431870068468,0,0.00943744886919791,0.00386375731351641,0.167683505282505,0,0,-0.0255690216350773,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447629556271721,0,0,0,0,0,0,0,0,0,0.00959715661297062,0,0,0,0,0,0,0.078285924425267,0,0.109030929158077,0,0,0.222419220123839,0,0,0.0852219435469841,0.215340419669619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0378084534028377,0,0,0,0,0.029822963748901,0,0,0,0,0,0,0,0,0,0,0,0.0244669484440262,0,0,0.0780017254071412,0,0,-0.00477732315144953,0,0,0,0,0,0,0,0,0,0,-0.056205427881047,0,0,0.117633715694657,0,0,-0.0299438319880171,0,0.308421280205155,0,0,0,0,0,0.100258217527365,0,0,0,0,0.00220496312289204,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217847636111598,0,0,0,0,0,0,0,0.0277128138649815,-0.0740874127546762,0,0.379816647674004,0,-0.00990094999710704,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00887777538826203,0,0.0955792145423935,0,0,0,0,0,0,0.0523962214359453,0,0,0,-0.0439609764211086,0,0,-0.0547855370813648,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.0880642380265563,0,0,0.197420576539588,0,0,0,0,0,0,0,0,0.244379088617486,-0.0406156134616964,0,0,-0.0264557728060744,0,0,0,0,-0.0564759203847335,0,0,0,-0.0347584819872308,0,-0.0682171470265336,0,0,0,0,0,0.224282674819822,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00380195407994547,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.0170234115038223,0,0,0,0,0,0,0.0462201362712431,0,0,0,0,0,0,0.00268386237653157,0.310291359606177,0,0.0656336593869856,0,0,0,0,0,0.289958133641073,0,0,0,0,0,0,0,0,0,0,0,-0.129222969631047,0,0.0239777549436188,0,0.0177052407139377,0,0,-0.0392773549203322,0,0,0,0,0,-0.0157261869985965,0,0
X600489.SH,0.229198330693142,0,0,0,0,0,0,0.509347910207143,0,0.0459088216432375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175298810693536,0,-0.030159176522652,0,0,0,0,0,0,0,0,0,0,0,0.0634033745230154,0,0,0,0,0,0,0,0,0,0,0,0,-0.0333105747574277,0,0,0,0,-0.0214131624115634,0,0
X600362.SH,0.0163725904335196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160470173607643,0.0202137411835969,0.274288905714565,0,0,0,0.0647461198546729,0.306133624593758,0,0,0.0649718396255794,0,0,0,0,0,0,0,0,0,0.00924906749175411,0,0,0,0,0,0,0
X600010.SH,0,0,-0.0546450503011877,0,0,0,0,0,0,0,0,0,0,0,0,0.0188720438023075,0,0,0.140782362138683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198115407418421,0,0,0,0,0,0,0.0417456769478042,0,0,0,0,0,0.088728015453894,0,0,0,0,-0.00665519392484767,0,0,0,0,0.0189735535164018,0,0
X600111.SH,0,-0.101066448923296,-0.0579925032054104,0,0,0,0,0.122792447097398,0,0,0,0,0,0,0,0,0,0.210462373293538,0,0,0,0,0.147047674122863,0,0,0,0,0,0,0,0,0.128014974811958,0,0,0,0,0,0.0877714810349656,0.016837045147109,0,-0.0849581617800243,0,0,0.109845493161054,0.244940703677228,0,0,0,0,0,0,0,0,-0.0284011540220315,0,0,0.0030451987770633,0,0
X000708.SZ,0,0,0,0,0,0,0.0352416099851393,0.0716944123624751,0,0,0.0721038448486383,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0214545678031282,0,0.020515108145944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692627296754829,0,0,0,0.168811052302049,0,0.0196816012649819,0.318514745438863,0.023753159898815,0,0,0,-0.0247538190684342,0,0,0,0,0.0172252512313327,0,0
X600803.SH,0,0,0,0.0151916260340142,0.0607716672947131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15262238310985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445836793364798,0,0,0,0,0,0.0880376067340345,0,0,0,0,0,0,0,0,0,0.0842535610456886,0.0875585547632357,0,0,0,-0.0576122062080453,0,0
X600027.SH,0,0,0,0,0,0,0.0025270533211408,-0.123970991360262,0.035172476257523,0,0,0,1.20053776722222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194832856347995,0,-0.0150943831498662,0,0,0,0,0,0,0.0473786170940416,0,0,0,0,-0.0454778213476936,0,0,0,0,0,0,0,0,-0.00228235320543461,0,0,0,0.0523860284767153,0,0
X002460.SZ,0,0,0,0,0,0.00741609930990822,0,0,0,0,0,0,-0.0586597671739829,-0.0284438678524625,0.0182456485780511,0,0,0,0.122410987846532,0,0,0,0,0,0,0,0,0,0,0,0,0.872266809338857,0,0,0,0,0.03544835458949,0,0,0,-0.0335938690427012,0,-0.0790315220457123,-1.7325077022496e-05,0,0,0,0.0311792072178674,0,0,0,0,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866266213333127,0,0,0,0,0,0,0,0.070693258211297,0,0,0,0,0.0386009262112517,0,0,0,0,0,0,0,0,0,0,0,0.0638038973210011,0.160653475285276,0,0,0,0,0,0,0.0536622254199125,0,0,0,0,0,0,0,0,0.00649119099704726,0,0
