,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X000792.SZ,X600585.SH,X600019.SH,X002466.SZ,X600111.SH,X000301.SZ,X600010.SH,X002271.SZ,X600660.SH,X000708.SZ,X601600.SH,X601898.SH,X600188.SH,X600362.SH,X600011.SH,X600547.SH,X600426.SH,X600176.SH,X600219.SH,X600886.SH,X000786.SZ,X000408.SZ,X000723.SZ,X600803.SH,X601991.SH,X000831.SZ,X000932.SZ,X000959.SZ,X000825.SZ,X600399.SH,X002080.SZ,X000807.SZ,X600795.SH,X000898.SZ,X002409.SZ,X002407.SZ,X600549.SH,X000155.SZ,X000983.SZ,X300037.SZ,X600352.SH,X601699.SH,X600516.SH,X600295.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.241284755501068,0,0,0,0,0.0629762170277917,0,0,-0.0113277856720277,0,0,0,0,0,0.0235801523232909,0,0,0,0,0,0,0,0,0,0,0,0.0289401932060708,0,0,0,0,0.0031720645678326,0,0,0,0,0,0.00746754451492263,8.67361737988404e-19,0.000728397089316785,0,0,0.0557315444595008,0,0,0.0352292036972894,0,0,0,0,0.000847038507466462,0,0,0,0,0,0,0
X600028.SH,0.291209621308953,0,0,0,-0.0654640173308201,0,0.0388111458914509,0,0,0,0.046472591973939,0,0,0,0,0,0,0,0,0,0,0,0.0667245387674569,0,0,0,0,0,0,0,0,0,0.00167635657649583,0,-0.00431636031813289,0,0.0653721504327374,0,0,-0.0136454952687432,0,0,0,0.00381533592014698,0,0,0,0,0,0,0,-0.00523190902066848,0.0396754890171115,0,0,0,-0.00608833443978805,0,0
X601088.SH,0,0,0,0,0,0,0,0,-0.0251953848943295,0,0,0,0,0,0,0.108294012856761,0.139107330131573,0.0729769396834748,0,0,0,0,0,0,0.0426944987801413,0.0961108688920714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266361543219713,-0.0997095402254423,0,0,0,0,0,0,-0.00854379986237626,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.00500126689659604,0,0,0,0,0.126801649696517,0.07847251567108,0,0.0847641170777324,0,0,0,0,0,0,0,0,0.142767587015818,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,-0.0739973627211785,0,0,0,0,0.0549148020261975,-1.0842021724855e-19,0,0,0,0.00856275910587908,0,0,0,0.00299298108710589,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.173187006694185,0,0.0024135991170293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999335564378627,0,0,0,0,0,0,0,0,0,0,0.0282605028988778,0,0,0.150646567197434,0.130575544907173,0.278992090696432,0.265050355157979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491924043416389,0.0172314754107301,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0365376786350989,-0.016828595364279,0,0.0142835102125107,0,0,0,0,0,0,0,0,0,0,0,0.0771587338006262,0,0,0.208791175167355,0,0.0132945265291401,0,0,0,0,0,0,0,0,0,0,0,-0.0540023105687211,0,0,0,0,0,0,0,0,0,0,0,-0.00414978671771806,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.11419345296589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162986775337537,0.0121295673336117,0,-0.0284379051773599,0,0,0,0.320441584971977,0,0.0494415689786944,0.0080428326303121,0,0,-0.0758642357664499,0,0,0,0,0,0,0,-0.0356370661078207,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.174311565979272,0,0,0,0,0.286043654374227,0,0.0475964510525437,0,0,-0.0349450503069346,0.284631891306829,0,-0.0238732871296735,0,0,0,0,0,0,0,0,0.170589107746143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196344203335422,0,0.0173189205255815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.0660717567842872,0,0,0,0.0902543945762471,0,0,0.23974913899772,0,0,-0.0281167569224402,0,0,-0.0153213037814846,0,0,0,0,0,0,0,0,0,0,0,0,0.209052031216778,0,0,0,0,0,0,0,0,0,0,0.252714805101165,0.119791508948685,0,0,0,0,0,0,0,0,0.0763971197891471,0.0792062329816265,0,0,0,0,0,0
