,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X000708.SZ,X002460.SZ,X600019.SH,X600660.SH,X002271.SZ,X600547.SH,X000786.SZ,X600176.SH,X002466.SZ,X600426.SH,X600362.SH,X000301.SZ,X600011.SH,X600111.SH,X600886.SH,X601600.SH,X600010.SH,X601898.SH,X600486.SH,X002353.SZ,X600352.SH,X600803.SH,X600219.SH,X600188.SH,X601991.SH,X600795.SH,X600801.SH,X600688.SH,X600489.SH,X002080.SZ,X600299.SH,X600315.SH,X300037.SZ,X000723.SZ,X600027.SH,X000932.SZ,X600399.SH,X601168.SH,X600157.SH,X601992.SH,X002409.SZ,X000027.SZ,X000898.SZ,X000807.SZ,X000902.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,-0.00829739848849222,0,0,0,-0.00399176031834078,0,0.0921028996320453,0.00314164141520478,0,0,0,0.0141598308520503,0,0,0,0,0,0,0,0.0129915947491226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430720727249484,0,0,0,0,0,0,0,0,-0.00495663885410199,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,-0.0300816823348365,0,0,0,0,0,0.0551721266888428,0.0105562924005796,0,0,0,0,-8.67361737988404e-19,0,0.00236512340578644,0,0,0,0,0,0,0,0,0,0,0,0.00330703381457181,0,0,0,0.00691248843367574,0,0,0,0,0,0,0,0,0.19056216400753,0,0,0,0.000272202500097939,-0.0132721397384917,0,0,0,0.000389045344903024,0,0
X600309.SH,0,0,0,0,0,0,0.0278617293552609,0,0,0.200590829399577,0,0,0,0,0.102708673502129,0,0.00592228032165101,0,0.0960478285898903,0,0,0,0,0.115404593385472,0,0,0,0,0,0,0,0,0,0,0.0449866576722708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152108448154915,3.32097145469218e-05,0,0,0,0.00264687701475586,0,0
X601088.SH,0,0,0,0,0,0,0,0.00526227036131134,0,0,0,0,0,0,0,0.0777557388116575,0,0,0,0,0,0,0.125943691998186,0,0,0,0,0,0.327013922937754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0283883096802514,0,0,0,0,-0.0236793022057979,0,0
X600585.SH,0,0,0,0,0,0,0.0619053788354081,0,0,0,0,6.93889390390723e-18,-0.00587283562955975,0,0,0.0186590379315076,0,0,-0.0208964455083834,0,0,0,0.0058711323331432,0,0,0,0,0,0,0,0,0.151042217470382,0,0,0,-0.0186318608195599,0.0513893175925812,-0.0123062318667697,0,0,0,0,0.051023271765322,0,0,0,0,0,0,0,0,-0.00720743725988526,0,0,0,0,0.00881638744956647,0,0
X000708.SZ,0,0,0,0,0,0,0,0.0780904854095079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436530017733673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118861863271552,0.122823933957865,0,0,-0.0452908656309762,0,0,0,0,0,0,0.015715851165522,0,0,0,-0.0201414905911809,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.197747856600216,0,0,0,0,0.266508278989793,0,0,0,0,0.012915451160119,0,0,0,0,0,0.115065890764652,0,0,0,0,0,0,0,0,0,0,0,0,0.227453133459906,0.463185492626451,0,0,0,0,0,0,0.0210872194864327,0,0,0,0.433742559916152,-0.129802813369211,-0.0362734381306311,0,0,0,0,0.0317250403274931,0,0
X600019.SH,0,0,0,0,0,0.116015978885796,-0.0262673929947336,0,0,0,0,0,0,0,0,0.129528991483062,0,0,0.137677955941154,0,0,0,0,0,0,0,0,0.1162772775477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229890040634176,0,0,0,-0.0069589423211128,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.0961700564316081,0,0,0.0482080387610361,0,0,0,0.000572807294476255,0,0.0449986113286111,0.0283507396484916,0,0,0,0,0,0,0,0,0.0387894674281391,0,0,0,0,0,0,0,0,0,0,0,0,-0.157782659694305,0,0,0.116703148792026,0,0,0,0,0,0,0,0,0,-0.0135561574391731,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.0138490339510227,0,0,0,-0.146425181904481,0.223870548328641,0,0,0,0.115688786013409,0,0.0332402259037501,0,0,0,0,0,0,0,0,0,0,0.012641405451669,0,0.0732381846336707,0,0,0,0,0,0,0.0496041990694196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116546907502082,-0.0281159286877002,0,0,0,0.0328277474508117,0,0
