,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X000708.SZ,X002271.SZ,X600660.SH,X600547.SH,X601898.SH,X600362.SH,X000786.SZ,X600010.SH,X600188.SH,X600886.SH,X600011.SH,X600111.SH,X600176.SH,X601600.SH,X000301.SZ,X600426.SH,X000027.SZ,X002466.SZ,X601991.SH,X600801.SH,X600803.SH,X600352.SH,X600795.SH,X000932.SZ,X600219.SH,X600489.SH,X002080.SZ,X600688.SH,X600299.SH,X600486.SH,X000898.SZ,X600027.SH,X000883.SZ,X002353.SZ,X600315.SH,X600157.SH,X600516.SH,X300037.SZ,X601992.SH,X000723.SZ,X000807.SZ,X000830.SZ,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.284476576001098,0,0,0,0.030975946483844,0,0,0,0,0,0,0.0494423407597586,0,0.0195220948888626,0,0,0,0,0,0,0,0.0114923076643893,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176754324406316,0.0126616347314723,0,0,0,0,0,0,0,0,-0.00494880057629246,-0.0067443653475087,0,0,0,0,-0.00571427524094987,0,0
X600028.SH,0,0,0,0,0,0,0,0.0119939382186914,0,0,0,0,0,0,0,0,0,0,0,0,0.0133794528763703,0,0.0706173495740297,-0.0233680545638423,0.051511115072991,-0.0442153292281755,0,0,0,0,0,0.0452116795097647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0806808584921292,0,0,0,-0.0271308538537833,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00696575342761386,0.133186169555292,0,0.0263485646679925,0,0,0,0.0101531553494209,0,0,0.132661162127735,0,0,0,0,0,0.138276063946392,0,0,0,0,0,-0.0367232138844921,0,0,0,0,0,0,0,0,0,0,0.0346539129529985,0.0423545112955728,0,0,0,-0.0081137947383668,0,0,0,-0.019240350841001,0,0
X600309.SH,0,0,0,0,0,0,0.312029771003219,0,0,0,0,0,0,0.0382733752957594,0,0,0,0,0.0631151718495953,3.46944695195361e-18,0,0,0,0,0,-0.0736733541223548,0,0,0,0,0,0,0,0,0,0,0.0806698615636895,0,0,0,0,0.225102567546981,0,0,0,0,0,0,0.187405532637945,0,0,0,-0.0204552361768989,0,0,0,0.0755700188031516,0,0
X600585.SH,0,0,0,0,0,0,0.0270080402103985,0.0208229812906753,0,0,0,0,0,0,0,0.117423568295669,0,0,0,0,0,0,0,0,0,0,0.131244139860687,0,0,0,0.0261912898837944,0,0,0,0,0,0,0,0,0,0,0.0703445099491986,0,0,0,0,0,0,0,0.0309336937241611,0,-0.0161181002504342,0,0,0,0,-0.016005804532631,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0567329069133113,0,0,0,0,0,0,0.132631498098939,0,0.145417567904319,0.11207198316441,0,0,0,0,0.148530224376757,0.0423196396885184,0,0,0.18972587417035,0,0,0,0,0,0,0.170714442932528,0,0,0,0,0,0,0,0,0,0,0,0,-0.00859740507631856,-0.00109049126196944,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.118291663791095,0,0,0,0,0,0.0224284300229377,0.214195087146499,0,0.127230645925926,0,0,0.0830157503876333,0,0,0.0429530015093481,0,0,0,0,0,0,0,0,0.328284337673891,0,0,0,0,0,0,0,0,0,0.174543185589908,0,0,0.282550843737622,0,-0.000349548697287659,0,0,0,0,-0.0831519355676904,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0.233995287746199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012868605965191,0,0,0,0,0,-0.187581167902351,0,0,0,0.0435680467514627,0,0,0,0,0.304591458654213,0,0,0,0,0,0,0,-0.165660299875022,0.220488235112792,-0.0346423975483125,-0.0193209296411265,-0.0710878219594525,0,0,0,0,0,0
X002271.SZ,0,0,0,0.124706799900058,0,-0.236448702487158,0,0,0,0.227487181449944,0,0,0,0,0,0,0,0,0,0.045616985956685,0,0,0.0747395283138108,0,0,0,0,0,0,0,0,0,-0.0679619263808729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584421968457161,0,0,0,-0.0425825951048421,0,0,0,-0.0680332110594062,0,0
X600660.SH,0,0,0,0,0,0,0.160096672967623,0,0.0764819342302982,0,0,0,0,0,0,0,0,0,0,0,0,0.0791114646664753,0,0,0,0,0,0,0,0,0,0.0145048975682499,-0.123243776327956,0.100797945104641,0,0,0.265651701776764,0,0,0,0,0,0,0,0.0841874060472966,0,-0.0210948077708737,0,0,0,0,-0.00387482303441435,-0.0291295720854253,0,0,0,0,0,0
