,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X000792.SZ,X600019.SH,X600660.SH,X600010.SH,X000877.SZ,X600188.SH,X000301.SZ,X600011.SH,X002271.SZ,X000708.SZ,X601600.SH,X600547.SH,X601898.SH,X600362.SH,X600176.SH,X600886.SH,X002326.SZ,X600426.SH,X000408.SZ,X002080.SZ,X300037.SZ,X600803.SH,X000723.SZ,X600219.SH,X600096.SH,X600399.SH,X600141.SH,X601991.SH,X000786.SZ,X600795.SH,X300073.SZ,X002407.SZ,X600352.SH,X600489.SH,X000825.SZ,X002353.SZ,X600516.SH,X600688.SH,X000831.SZ,X000027.SZ,X600295.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666713234694691,0.0351962515243209,0,0,0,0,0,0,0,0,0,0.0060190002620519,0,0,0.00932815264069522,0,0,0,0,0.024543028500553,0,0,0,0,0,0,0.0621797150019477,0,0,0,0.171666161547427,0,0,0.038887071740387,0,0.101194231015806,0,0,0,-0.00499326217879067,0,0,0,-0.0686414359051345,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580380880279209,0.0158969793012897,0,0,0,0,0,0,0,0,0,0,0.0146151775175365,0,0,0,0,0.0724970516275714,0,0,0,0,0,0,0,0,0,0,0,0,0.119433165409191,0,0,0.0218620490931866,0.0394737342967135,0.11650476891929,0,0,0,-0.00595579178573932,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0419320272178522,0,0.176679765365151,0,0.00694332295210283,0,0,0,0,0.280812961171631,0,0,0.0774423159956778,0,0,0,0,0,0.0898569722593212,0.0266458868522961,0,0,0,0,0,0,0,0,-0.0608084924405947,0,0,0,0,0,0,0,0,0.0979039002633943,0,0,0,0.0370078654473243,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272010951910858,0,0,0,0,0,0,0,0.00555140805214841,0,0,0,-0.0168045664147074,0.247188511043815,0,0,0,0,-0.0589987036957152,0,0,0,-0.0188108167000767,0,0.0370183916143091,0,-0.0308456242787669,0,0,0,0,0,0,0,-0.0348097483419236,0,0,0,0,0.036796252091726,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.407666994113669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100653975294114,0,0,0,0,0,0.33402786136384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.127206782840068,0,0,0,0,0,0,0,0.405647218091229,0.0130838483786056,0,-0.00207084007281087,0.0456641266878305,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283968115447769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171925769060829,0,0,0,-0.0282507043635094,0,0
X600111.SH,0,0,0,0,0,0,0,0.160710036604158,0,0,0,0.225730722419432,0,0,0,0,0,0,0,0,0,0,0,0,0.0797488344112914,0,0,0,0,0,0,0,0,0.189556945578629,0,0,0,0,0.145907253151138,0,0,0,0,0,0,0,0.087438287282095,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.459199213337658,0,0.0452464649426741,0,0,0,0,0.010435664395994,0,0,0,0,0,0,0,0,0,0,0,0,0.036940916060184,0,0.147813933979604,0,0,0,0,0.0300585863746292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798811323933827,0,0.0299139593319603,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0.180879918845119,0.0638586461076565,0,0,0,-0.219126846438631,0,-0.251728027675493,0,-0.148411604583502,0,0,0,0,0,0.480207093508506,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,-0.0247765389078123,0,0.0689801106031187,0.177919460056567,0.0322447954902681,0,0.133030610181829,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0693027099724911,0.113921287915106,0.00661246288571562,0,0,0,0,0,0,0,0,0,0,0.0390021561984742,0,0.104429298138994,0,0,2.16840434497101e-19,0.159282440517083,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.274154633970599,0,0.0251457702240921,0,0,0,0,0,0,0.0127973380079426,0,0,0,0,0,0,0
