,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X000792.SZ,X601898.SH,X600019.SH,X600011.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X600547.SH,X000301.SZ,X002271.SZ,X000877.SZ,X600886.SH,X601600.SH,X600795.SH,X600426.SH,X600362.SH,X600176.SH,X600027.SH,X601699.SH,X600803.SH,X000983.SZ,X601991.SH,X000408.SZ,X600160.SH,X000629.SZ,X000786.SZ,X600348.SH,X600219.SH,X000723.SZ,X600995.SH,X600096.SH,X600489.SH,X000933.SZ,X600378.SH,X600157.SH,X000807.SZ,X600985.SH,X002080.SZ,X600141.SH,X600688.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.377215140832231,0,0,0,0,0,0,0.126759426769175,0,0,0,0,0,0,0,0,0,0,0,0.0058033505358475,0,0,0,0,0,0,0,0.00989118736712808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999619963480308,0,0,0,0.186260857424086,0,0.00221119824787665,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.439086392323572,0,0,0,0,0.0957061127414058,0,0,-0.0682243226793255,0,0,0,0,0,-0.00875691512229238,0.0101012467933698,0,0,0,0,0,0.108113376839713,6.7762635780344e-21,0,0,0.0832941093848106,0,0,0.0222579999610636,0.0156302125625194,0,0,0,0,-0.0319291093270507,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0.0875743897934134,0,0.0027362757322184,0,0,0,0,0,0,0
X600028.SH,0.418688467621374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705664377072155,0.00475262448987956,0.00731136247084629,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140741879946388,0.027136096897821,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.0680360010816806,0,0,0,0,0,0,0,0,0,0,0.163760181146658,0,0,0,0,0,0.0682839081278604,0,0,0,0.0256632953158017,0.109434737264461,0,0,0,-0.0217142301648669,0,0.238761593457112,-0.0328478346839878,0,0,0,0,0,0,0.0999366925283212,0,0,0,0,0,0,0,0,-0.0180687543878894,0,0,0,0,0,0,0
X600188.SH,0,0.70877689263293,0,0,0,0,0,0,0,0.00342693149732443,0,0,0,0,0,0,0,0,-0.0611612753398362,0,0,0,0,0,0,0,0,0,0.179236079324748,0.114415444914696,0.0350273522727027,0,0,0,0,0,0,0,0,0,0,0.0466097954933795,0,0,0,0,0,0,0,0,0,0.0121148736652919,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.500241908606005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0447526538160419,0,0,0,0,0.0217104885087773,0,0,0,0,0,0,0,0,0,0,0.0504926683318448,0,0.162795986421153,0,0,0,0,0.00538708163687533,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.59145437611775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117394061492887,0,0,0.0130192261884416,0.409366446460471,0,0,0,0,0,0,0,0,0,-0.104741744133728,0,0,0,0.0764374850889774,0,0,0,0,0,-0.00758997104223648,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0413233422386441,0,0,0,0.150355433332261,0,0,0,0,0,0,0.0580628195971216,0,0,0,0,-0.0294438190366355,0,0,0.0326916660843134,0,0,0,0.383380098895264,0,0,0,0,0.00646832577233207,0,0,0,0,0,0,0.120034154732341,0,0,0,0,-0.0252159464452044,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.203064653411739,0,0,0,0,0,0,0.157394891247546,0,0,0,0,0,0,0,0,0.10762878703567,0,0,0,0,0,0,0,0,0,0.291507504809343,0,0.0410093430354579,0.15108016420706,0,0,0,0,0,0,0,0,0,0.0425302368186137,0,0,0,0,0,0,-0.000899112489683346,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0994083062727162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810654518098127,0.160375043251741,0.330954856808208,0,0,0,0,0,0,0,0,-0.021400643863234,0,0,0.0879839854110689,0,0,0,0,0,0,0,0,0,-0.0269700564526993,0,0,0,0,0,0,0
