,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600010.SH,X600795.SH,X601991.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X600688.SH,X600157.SH,X600583.SH,X601992.SH,X000709.SZ,X600309.SH,X000898.SZ,X601158.SH,X600352.SH,X000792.SZ,X600021.SH,X600808.SH,X600547.SH,X000629.SZ,X000539.SZ,X600489.SH,X002353.SZ,X600660.SH,X000060.SZ,X600008.SH,X000027.SZ,X000825.SZ,X000831.SZ,X600307.SH,X600219.SH,X600863.SH,X600578.SH,X002470.SZ,X600549.SH,X000630.SZ,X600315.SH,X600098.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.643731429782788,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0415262978190957,0,0,0,0,0,0.0446118783710572,0,0,0.0100917503630424,0,0,0,0,0,0,0,0,0,0.0426833101296449,0,0,0,0,0,0,0,0,0,0.0141662876837245,0,0,0,0,0,0,0
X600028.SH,0.554906490229042,0,0.0450467509159969,0,0,0.0420895262740115,0,0,0,0,0,0,0.078649539172974,0,0,0,0,0,0.0303088162526451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0836920471515103,0,0,0.00534736482673229,0,0,0,0,-0.0175204346329844,0,0
X601088.SH,0.0468180717752761,0,0,0,0,0,0.183143658103493,0,0,0,0,0,0.026302089953841,0,0,0,0,0,0,0,0,0.0553887318184367,0.00435037948296004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676887354478679,0,0,0,0,0,0,0,0,0,0.315323357213922,0,0.0227788638909432,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0951584633579302,0.110499171116289,0.0679883132189688,0,0,0,0,0.295708443114716,0,0,0.0419962050434888,0,0,0,0.141476967746193,0.0198574020274629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559790371168865,0,0,0,0,0.0318411159967513,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.0144170846553423,0,0,0,0,0.248680364718919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130312683992321,0,0.307198196575422,0,0,0,0.0480131170859876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443841509691425,0,2.16840434497101e-19,-0.00876967380591373,0,0,0,0,0,0
X600585.SH,0,0,0.00800220406131602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261413447978657,0,0,0.22944188832846,0.0718417120264074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930910562376707,0.0585305273532129,0,0.00131514952898891,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0440317842462945,0,0,0.119114182962621,0.0497547980115371,0,0,0.00237689585391974,0.049686792553491,0,0,0.00683754611621048,0,0,0,0,0,0,0.183614273239343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142414189201635,0.0289670193613159,0,0.00354417220942949,0,0,0,0,0,0,0
X601600.SH,0,0,0.308089727391928,0,0.0371755734559278,0,0,0,0,0,0.0337042905917979,0.0387105922474607,0,0,0,0,0.0751641172698388,0,0,0,0,0,0,0,0,0,0.0233851713335219,0.0925586780550205,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.120598906140492,0,0,0.0274870922503673,0,0,0,0,0,0
X600010.SH,0,0,0,0.354305388246686,0,0,0,0,0,0,0,0,0.105845719936147,0.0233227632706935,0,-2.77555756156289e-17,0,0,0,0,0,-0.00956136891466085,0,0,-0.173495665755849,0,0,0.0298960575418271,0.0243477243983925,0,0,0,0,0.247341471078706,0,0,0,0,0.123717995413408,0,0,0,0,0,0,0,0.0849003326042872,0,0,0,0,0.0330494791319102,0,0,0,0,0,0
X600795.SH,0,0,0,0.138441335892072,0,0,0,0.235263420280462,0,0,0.147117609171033,0.0706131575697306,0,0,0,0.0100967212266862,0,0,0,0,0,0,0,0,0,0,0.0455023883127837,0.124326436789694,0,0,0,0,0,0,0,0,0,0.105947509114067,0,0,0.0156823686087264,0,0,0,0,0,0,0,0,0,0.014963666809698,0,0,0,0,0,0,0
