,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X601898.SH,X600019.SH,X600585.SH,X600795.SH,X601600.SH,X601991.SH,X600886.SH,X600688.SH,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X600188.SH,X600362.SH,X600583.SH,X601158.SH,X002075.SZ,X000027.SZ,X000539.SZ,X601992.SH,X600021.SH,X600309.SH,X601918.SH,X000898.SZ,X600352.SH,X000883.SZ,X002353.SZ,X000629.SZ,X002470.SZ,X600098.SH,X000792.SZ,X600022.SH,X600863.SH,X600307.SH,X600808.SH,X000060.SZ,X000878.SZ,X600660.SH,X600489.SH,X600578.SH,X000825.SZ,X600547.SH,X600160.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.700832083213004,0.075789538850923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104429734017908,0,0,0,0,0,0,0,0,0,0,0,0,0.0247130602266662,0,0,0,0,0,0,0,0,0.0318357613831069,-0.0421633580515962,0,0,0,0,0,0
X600028.SH,0.397040026074634,0,0.0150337803668092,0,0,0.0142569113933652,0.229503488175732,0,0,0,0,0,0,0,0,0,0,0.0444177753179396,0,0,0,0,0.112195140117711,0,0,0.000962865971002013,0,0.0259125999129038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205207447890169,0,0,0,0,0,0,0
X601088.SH,0,0.122008876782852,0,0,0,0.22341528516596,0.00360148039541901,0,0,0,0,0,0,0,0,0,0,0.0810971959113292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571069730813832,0,0,0,0,0,0,0,0,-0.00354683013278116,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.00325546167151592,0.0769466584240496,0,0,0,0.373124811280283,0,0,0.137656607547824,0,0,0,0,0,0,0,0,0,0,0,0,0.0230477235631364,0.0480876131763372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194448748897294,0,0,0,0,0,-7.54279119665586e-05,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.180379842913863,0.0760311676646892,0,0,0,0,0,0,0,0,0.222688375921701,0.102631550494394,-1.0842021724855e-19,0,0.0276574824777801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307825208122878,0.120567429194467,0,0,0,0,0,0,0,0,0,-0.0189669272496224,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.207160483765079,0,0,0,0,0,0,0,0.356617639634488,0,0.297033039633416,0,0,0,0,0,0,0,0.0179884722476905,0,0,-0.0657451243610366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180838158448992,0,0,0,0,0.0045998068640645,-0.0432764052200277,0,0,0,0,0,0
X600019.SH,0,0.0346604298112069,0,0.161802103397338,0,0.0172574910135205,0,0,0.0262181253017632,0,0,0,0.0201771035891293,0,0,0,0,0,0,0.000215392674668705,0,0,0,0,0,0.0959043887545937,0,0.0106363892675026,0.481584105948491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0824069362838877,0,0,0.159663194584513,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0996425241040961,0.0429565514600331,0,0,0,0,0,0,0,0,0.0423578440824414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204609712272523,0,0,0,0,0,0,-5.42101086242752e-20,-0.0307743247517391,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0.14322584473822,0,0,0,0.198991558927683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755775718370245,0.0698547369755231,0,0.026391597311013,0,0,0,0,0.0458308366953868,0,0,0,0,0.167709298006336,0,0,0,0,0,0,0.0221170485656151,0,0.0190774855602648,0.0231524698737503,0,-0.00241490369480903,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.176722287718694,0,0,0,0,0,0,-3.46944695195361e-18,0.155980642454159,0,0,0,0,0.0653027259940951,0.109466141437213,0,0,0.0552630517441017,0,0.0658702276493179,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0353236635020766,0,0.053500076175426,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0.061605814274069,0,0.189264496013778,0,0,0,0,0,0,0,0.0627735274254632,0,0,0,0.280384843545068,0,0,5.42101086242752e-20,0,0,0,0,0,0,0.00455822553681827,0,0,0,0,0,0,0,0,0,0.0218675984290378,0,0,0,0,0,0,0.138016131072468,0,0,0,0,-0.00915191833754952,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.0255073436589163,0,0,0,0,0,0,0,0,0,0.283353450040718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0734909427067518,0.0414639256393086,0,0,0,0,0,0
