,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600795.SH,X600547.SH,X601600.SH,X600188.SH,X300072.SZ,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600111.SH,X601992.SH,X600886.SH,X600489.SH,X600309.SH,X600660.SH,X600623.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000898.SZ,X000723.SZ,X600352.SH,X000408.SZ,X600583.SH,X000883.SZ,X000959.SZ,X000983.SZ,X600549.SH,X600176.SH,X000539.SZ,X000027.SZ,X002470.SZ,X000630.SZ,X600021.SH,X600126.SH,X000012.SZ,X000060.SZ,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0352440302063553,0,0,0.0292605918607452,0,-0.00634404271249152,0,0.0149894693527158,0,0,0,0,0.0666012831112879,0,0,0,0,0.00707423764466356,0,0,0.00372054793458765,0.00962561656739577,0,0,0,0.0401022581052907,0,0,0,0,0,0,0,0,0.0469606035682261,0,0,0,0,0,0,-0.0020860587447945,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.10790882853023,0,0.0868737160439936,0,0,0,0,0.00848253398497022,-4.33680868994202e-19,0,0,0,0.031822025701135,0,0,0,-0.0140751505430512,-0.00459184988632527,-0.00499625938579652,0,0.0222932918670599,0,0,0,0,0,0,0,0,0.0378488229108365,0,0,0.00946754050497241,0,0,-0.0145851231630672,0,0,0,0,0,0,0.0193524878239448,0.03066712291912,0,0,0,0.00542645524173671,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.239177968604237,0.159352367670186,0,0,0,0.039964805284841,0,0,0,0,0,0.0869262330275807,0,0,-0.00764203106896933,0,0,0,0,0,0,-0.0112167029480214,0,0,0,0,0,0,0,0,0.00949344303405888,0,-0.0367861912259873,0,0,0,0,0,0,0,-0.0702875372989713,0,0,0,0.00784832537637608,0.0421748862339563,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0859768449525646,0.0959925016304365,0,-8.67361737988404e-19,0,0,0,0,0.204470126122276,0,0,0,-0.00900841971306231,0,-0.19836247565928,0,-0.022578131138658,0,0,0,0,0.248089745001103,0,0,0,-0.0465641020055887,0,0.0338975981817413,-0.15267953015927,0,0,0,0,0,0.0048503344893732,0,0,0,0,0.0295403589424646,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,-0.0187954134305438,0,0,0,0,0,0,0,0.043137660731109,0,0,0,0,0,0,0,0,0.0152687969152799,0,0,0,0,0,0,0,0,0,0,0.117215511224586,0.040951841305935,0,0,0,0,0,0,0,0.0368459215648443,0.141202635570303,0,0,8.67361737988404e-19,-0.023595645379939,0,0,0,0,0,0
X600585.SH,0,0.386566549676415,0,0.0985082087699443,0,0,0,0,0,0,0,0,0.193206823146272,0.0430080146401836,0,0,0,0,0,0.147870811271426,0,0,0,0.0933116799244343,0,0,0,0,-0.127958811103112,0,0,0,0,0,0,0,0,-0.0695272460682366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039615114744653,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.0335791080526712,0,0.0724881619338627,0.0981532354137739,0,0,0,0,0,0,0,0,0,0,0.0328441776050782,0,0,0,0,0,0,0,0,0,0,0,0,0.0502041729978039,0.0683635688822166,0,-0.0272020672289866,0,0,0,0,0,0,0.00434824171169482,0.327075477661039,0,0,0,-0.0267810699751809,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.14715800269834,0,0,0,0,0.128274875458132,0,0,0,-0.0562792107654229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106986563642475,0,0,0.0239633174718121,0,0.121107242944886,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0114411883146849,0.0203434579803161,0,0,0,0.0952943569924287,0,0,0.108929968890187,0,0,0,-0.0108778985996607,0,0,0,0,0.0422974778301379,0,0,0,0.0257344181534448,0,0,0,0,0.00908619279826252,0,0.0231000499818032,0,0,0,0,0,-0.0158925209774782,0,0,0,0,0,0,0,0,0,0,0,0
