,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X601991.SH,X600547.SH,X601600.SH,X600660.SH,X600688.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X600111.SH,X601992.SH,X600516.SH,X000629.SZ,X600176.SH,X600299.SH,X002466.SZ,X000709.SZ,X002460.SZ,X600808.SH,X600352.SH,X600801.SH,X300072.SZ,X600219.SH,X000825.SZ,X600489.SH,X600339.SH,X601158.SH,X002110.SZ,X600583.SH,X000553.SZ,X000786.SZ,X600426.SH,X601699.SH,X000883.SZ,X000301.SZ,X000932.SZ,X000792.SZ,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.140240037756375,0,0,0,0,0,0,0,0.145009354104913,0,0,0,0.0266808782132097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270944487484484,0,0,0.00941237412820963,0,0,0,0,0,0.180935390704488,0,0.0241108647168977,0,0,0,0.0447696251701154,0,0,0,0,0,0
X600028.SH,0.144682239585265,0,0.0600175829084943,0,0.20600698141624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00608844373291079,0,0,0,0,0,0,0,0,0.0834992115859051,0,0,0.0449414900464245,0,0,0,0,0,0,0,0,0.0919272622979359,0,0,0,0,0,0,0.00667926697387505,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0844554707832165,0,0,0,0,0.198571018820607,0,0,0,0,0,0.0848514607990425,0,0,0,0,0,0,0,0,0,0,0,0.0882568002944997,0,0,0,0,0,0,0,0.00685723595981903,0,0.00557580679896911,0,0,0,0,0,0,0.0194024268285439,0,0.0358372647888005,0.0352241342913895,0,0,0,-0.00425335005051249,0,0,0,0,0,0,0
X600585.SH,0,0,0.113460303713841,0,0,0.0749739036605443,0.0446389581354152,0,0,0,0,0,0,0,0,0,0,0,0.0725692844478942,0,0,0,0,0.025993176768183,0,0,0,0,0,0,0,0.497519013797533,0,0,0,-0.0418362644064622,0,0,0,0,0,0,0.0417333667830013,0,0,0,0,0.131803964431862,0,0,0.00514756721063538,0,0,0,0,0,0,0
X600019.SH,0,0.0370700708888789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5374334257229,0,0,0,0,0,0,0,0.0137976751404405,0,0,0,0,0.0904790916632207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13623977165643,0,0,0,-0.00281473816624091,0,0,0,0,0,0,0
X600011.SH,0,0,0,0.0338403610531951,0,0,0.0804580097107907,0,0,0,0,0,0,0,0,0,0,0,0,0.769782403546533,0,0,0,0,0,0,0,0,0.0104033248712952,0,0,0,0,0,0,-0.0547598927720385,0,0,0,0,0,0,0,0,0,0,0,0.0632229769573442,0,0,0,0.0373544058385701,0,0,0,0,0,0
X600309.SH,0,0,0,0.437402684689585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.304636033219856,0.154404831090314,0,0.142926552337237,0,0,0,0,0,0,0,0.143902962708274,-0.27611805044919,0,0,0,0,0,0,0.123293655766948,0,0,0,0.172573466880497,0,0,-0.0124083357304672,0.023955892582033,0.0944401871899766,0,0.154025903701603,0,0,0,0
X600010.SH,0.168311812702704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189375393002283,0,0,0,0,0.0338823048360865,0,0,0.0896676281858702,0,0.0323559038368056,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0534072232660202,0.0984469243097495,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.138276174780658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656042835482562,0,0.114719302181237,0,0,0,0,0.0759826942197904,0,0,0,0,0,0,0.00577941785859327,-0.0711516937579953,0,0,0,0,0,0
X601991.SH,0.0668936088567554,0,0,0,0,0,0,0.0454310177819354,0.0920452168085365,0,0,0,0.0349915471559238,0,0.0500869885828475,0,0,0,0,0,0,0,0,0,0,0,0.0106830863339398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0657820505009959,0,0,0,0,0,0,0.0662266470355407,0,0,-0.0306765893253765,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.0772840801044019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238737974213349,0,0.0221031615615818,0,0,0,0,0,0,0,0.0988579736302346,0.48141253900599,0,0,0,0.0233671083087076,0,0,0,0,0,0,0,0,0,0,0.0367851507122384,-0.0562889711073957,0,0,0,0,0,0
X601600.SH,0.0303791239109865,0,0,0.0355067669624882,0,0,0.0653985570374309,0,0,0,0,0,0,0,0,0,0,0.0148813814194028,0,0,0.100335896641369,0,0,0,0,0,0.078921863195166,0,0,0,0,0,0,0.0919674285828587,0,0,0,0,0,0.1875473675383,0.0625686734438127,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,-0.0689376420517838,0,0,0,0,0,0
