,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600547.SH,X601991.SH,X600660.SH,X601600.SH,X600688.SH,X600886.SH,X600795.SH,X600188.SH,X600362.SH,X600027.SH,X000898.SZ,X601992.SH,X002466.SZ,X600176.SH,X600111.SH,X600516.SH,X002460.SZ,X000709.SZ,X600299.SH,X000629.SZ,X600352.SH,X600808.SH,X600489.SH,X600219.SH,X600801.SH,X000786.SZ,X000825.SZ,X601158.SH,X300072.SZ,X000553.SZ,X600583.SH,X000883.SZ,X000792.SZ,X600339.SH,X002110.SZ,X601699.SH,X000408.SZ,X000301.SZ,X002271.SZ,X000630.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.27509189004834,0,0,0,0,0,0.0207016656102639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453932091478176,0,0.026824529880763,0.161792079801829,0,0,0,0,0,0,0,0,-0.0245580124850667,0.0176345927493222,0,0,0,0,0,0
X600028.SH,0.196390007270575,0,0,0.0882549802635178,0.0879717047133137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089672841142864,0.0761542380404028,0,0,0.0591482801609419,0,0,0,0,0,0,0,0,0.031164040648194,0,0,0,0,0.164183525561072,0,0,0,0,0,0,0,0,0,0.0396357455942751,0,0,0,0,0,0
X601088.SH,0.191393922592743,0,0,0,0,0,0,0,0.0503691997141271,0.0367863197130978,0,0,0,0,0,0,0.113450614480535,0,0,0,0,0,0,0,0,0,0,0,0.0430254775649646,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0874186925099658,0,0.047035404127587,0.0930173554063749,0,0,0,0,-0.00555614123077175,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0343961682479499,0.0902377290539715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502540250925538,0,0,0,0,0,0,0,0.213868072004042,0.00582701107843701,0,0,0,0,0,0,0.108680655644354,0,0.0127993871879238,0,0,0,0,0,0,0
X600019.SH,0,0.102325001768348,0,0,0,0,0.0937740790320713,0,0,0,0,0,0,0,0,0,0.105889987953538,0,0,0.423864791870455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606607368228937,0,0.0721544348718136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.104856636924677,0,0,0,0,0,0,0,0,0,0,0,0.699805089478318,0,0,0.00551965364127591,0,0,0,0.0464002842870502,0,0,0,0,0,0,0,0,0,0.0953187876284071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185513868943933,0.0688219768520882,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0696341043114272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120603168448906,0,0,0,0.173860978482726,0,0.171297723068389,0,0,0,-0.123765331316725,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13387082528099,-0.11930679527017,-0.0605193473050698,0.207545522556756,0,0,0,0,0,0
X600010.SH,0.161446412280601,0,0,0,0,0.0274140589817278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958387858423642,0,0,0.313109369155977,0,0,0,0,0.0594971347519399,0,0,0,0,0,0,0.0087647394498053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00490082160120575,-0.0231723991540034,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128078397716602,0.0248251670358508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199824783568584,0,0,0.0538901362319673,0,0,0,0,-0.00193370285154778,-0.0490973567526277,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0601211736413766,0.087820181712385,-0.00465768301916941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044837531751482,0,0,0,0,0,0.502975429434537,0,0,0,0.251926166960378,0,0,0,0,0,0,0.0110534592640785,0,0,0,0,0,0,0,0,0.0193021854145084,0,0,0.0554172382288543,0,0,0,0
