,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600309.SH,X600011.SH,X600010.SH,X600188.SH,X601898.SH,X002466.SZ,X601600.SH,X600660.SH,X600688.SH,X601991.SH,X600362.SH,X600795.SH,X600886.SH,X600547.SH,X600516.SH,X300072.SZ,X002460.SZ,X000898.SZ,X600111.SH,X600176.SH,X600352.SH,X601992.SH,X000553.SZ,X000786.SZ,X600027.SH,X000825.SZ,X000792.SZ,X600299.SH,X000709.SZ,X002271.SZ,X600426.SH,X601158.SH,X600315.SH,X000408.SZ,X601699.SH,X600489.SH,X000830.SZ,X000883.SZ,X600808.SH,X600219.SH,X000630.SZ,X002470.SZ,X600339.SH,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0689232316181253,0.0541135562634567,0,0,0,0,0,0.0488290410561044,0,0,0,0,0,0,0,0,0,0,0.0327287195933545,0,0,0,0,0.0692174174939962,0,0,0,0,0,0,0.0271965646645341,0.00381302920048586,0,0,0,0,0,0,0.171193802060637,0,0.0326552733073941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.372358553909364,0,0.431615933737775,0,0,0,0,0,0,0,-0.0537475680499766,0,0,0.123922733835892,0,0,0,0,0,0,0,0,0,0,-0.0230052182249475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326584350563608,0,-0.0160073406547122,-0.00766922053016039,0,-0.347442897062334,0,0,0,0
X601088.SH,0,0.0508695820253193,0,0.271955779365145,0.0266279157046754,0,-0.00921127570830923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42479630026433,0,0,0,0,0,0,0,0,0,0,0,-0.0170599025720427,0,0,0,0,0,0
X600019.SH,0,0,0.115038758100032,0,0,0,0,0,0.317931927336088,0,0,0.132613856756815,0,0,0,0,0,0,0,-0.0425591036047684,0,0,0,0,0,0,0,0,0,0,0,-0.00323788415895075,-0.129702980561237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137765871075516,0,0,0,0,0,0
X600585.SH,0,0,0.250891506643201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0521438424481001,0,0,0,0.156777604322499,0,-0.0434506466958729,0,0,0,0,0.137188518524122,0,0,0,0,0,0.252112804471045,0,0,0,0,0,0,-0.101859860613425,0,-0.0567137734893573,0.00952401199597753,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365355217705062,0.0146676350140006,0,0,0,0,0,0,0,0.355279944257061,0,-0.0723240633117428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00604519039235662,-0.0100326646614599,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0284252308460533,0,0,0,0,0,0,0,0,0,0,0,0,0.0189326900435459,0,0.149704316733429,0,0,0,0,0.132926048681638,0,0,0,0,0,0,0,0,0.0375191812150925,0.00464283588626844,0,0,0,0,0,0,0,0,0.175533659427507,0.00428252473989314,0,0.0106838155243949,0.0233780899429128,0,0,0,0,0,0
X600188.SH,0,0,0,0.0793938175357872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258105759896945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505141992046161,0,0.0539314591373464,0,0.365510049400385,0,0,0,0.322927043069246,0.0531226330963895,0,-0.066455338673487,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.066639011878677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805656496057817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599489641806196,0,0.0461619799671427,0,0,0,0,0,0,0.0983205914171932,0,0.0104643283237331,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.0356592579190898,0,0,0,0,0,0,0,0,0,0,0.0786928742280399,0,0.457321138858226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641720769508533,0,0.0161847065888567,-0.00470083854235367,0,0,0,0,0,0
