,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600111.SH,X600660.SH,X000301.SZ,X600010.SH,X000708.SZ,X002271.SZ,X600547.SH,X600886.SH,X601600.SH,X000877.SZ,X600795.SH,X600426.SH,X600362.SH,X600176.SH,X600027.SH,X601699.SH,X600803.SH,X601991.SH,X000983.SZ,X600995.SH,X000786.SZ,X600160.SH,X000629.SZ,X000408.SZ,X600096.SH,X000723.SZ,X600219.SH,X000807.SZ,X002080.SZ,X600489.SH,X600378.SH,X000933.SZ,X600348.SH,X600141.SH,X600157.SH,X600688.SH,X000831.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.601327330755434,0,0,0,0,0,0.0313537996480507,0,0,0,0.0318360515802616,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00796420810798192,0,0,0.0655574163735248,0.170679620189776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00266997538468357,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.407883632983643,0,0,0,0,0,0,0.0305727895753627,0,0,-0.0417653007459149,0,0,0,0,0,0,0,0,0,0,0.0945307975552979,0,0,0.121786550336626,0,0,0,0,0.0150430350131918,0,0.0131130322042768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931230136568337,0,0.00201445770738312,0.0118708989874383,0,0,0,0,0,0
X600028.SH,0.567095171042949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177972726340287,0,0,0,0,0,0,0,0,0,0,0.0707110489010711,0.0373181952110636,0,0,0,0,0,0,-0.0283087123667071,0,0,0,0,0,0,0,0,0,0,0,0,0.0212801058635114,0,6.81910180677766e-05,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232411355522302,0,0,0,0.113673493100463,0,0,0,0,0.0156484199915686,0,0,0,0,0,-0.01902536088346,0,0,0.317524574400491,-0.156623757187827,-0.0881240288351279,-0.0569543687701974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171034648723805,0,0,0,0,0,0,0
X600188.SH,0,0.37051189088104,0,0,0,0,0,0,0,0,0.0369367100892746,0,0,0,0.0588601568628954,0,0,-0.0605534926730887,0,0,0,0,0,0,0,0,0,0,0,0.0408228081395717,0.107488405658135,0,0,0,0,0,0,0,0,0,0,0,0,0.303685084643446,0.0517167391444496,0,0,0,0,0,0,0.00109949096180699,0.0402322202499901,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.00153402784645911,0,0,0,0,0,0.235734884797695,0,0,0,0,0.316284275583523,0,0,0,0,0.0283600868458987,0,0,0.0848176290941627,0,0,0.292025323987772,0,0,0,0,0,0,0,0.00367867055792783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.503482589441981,0.10689636453395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226096373590549,0,0,0,0,0,0.0200963328480412,0,0.119351994587532,0,0,0,0,0.0608021138123719,0,0.046684502580565,0,0,0,0,0,-0.011346446289483,0,0,0.00603505315868968,0.0283623548222389,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.566648241361627,0,6.93889390390723e-18,0,0,0,0,0,0,-0.00463741789678304,0,0.0996406886258779,0,0,0,0,0,0,0,0,0,0.00159193243381611,0,0,0.0823419018453717,0,0,0,0.123732344493196,0,0.11584888207502,0,0,0,0,0,0,0,0.0713658330433534,0,0,0,0,0,0,-0.0236789427694838,-0.0271106242631744,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.45251210059224,0,0,0,0,0,0.169081502622152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0361890242791432,0,0,0,0,0.0506797318818358,0,0,0,0,0,0,0.0890748896776426,-6.93889390390723e-18,0,0,0,0,0.0529075375076911,0,0,0,0,0.0580001293770055,-0.0230765765304691,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.125782604811225,0,0,0,0.0117489103540717,0,0,0,0,0,0,0,0,0.363556550612529,0,0,0.0768169195854719,0,0,0,0,0,0,0,-0.0728206520144795,0.0546744975266432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100037918578725,0,0.0977180446270979,0,0,0,0,0,0,0,0,0
