,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600886.SH,X600660.SH,X601600.SH,X600547.SH,X600795.SH,X000792.SZ,X002466.SZ,X601699.SH,X000708.SZ,X002460.SZ,X000301.SZ,X000983.SZ,X600010.SH,X600362.SH,X600111.SH,X600027.SH,X000877.SZ,X600426.SH,X600803.SH,X600160.SH,X600489.SH,X600985.SH,X000786.SZ,X601991.SH,X002271.SZ,X000630.SZ,X000408.SZ,X000933.SZ,X000807.SZ,X000932.SZ,X600176.SH,X601168.SH,X600348.SH,X002128.SZ,X600612.SH,X600219.SH,X601666.SH,X600096.SH,X300037.SZ,X600157.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.356359933876393,0.0794919434827882,0.114845205593961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176434925477653,0,0,0,0,0,0.0124996089235319,0,0,0,0,0.00293706047667533,0,0,0,0,0,0,0,0,0,0.00391569433615798,0,0,0,0,0,0,0,0,0,0,0.00386842940472836,0.107690717438,0.197506750970398,0,0,0,0
X601088.SH,0.0440155995880709,0,0,0,0.121044936204083,0.0425836092682781,0,0,0,0,0,0,0,0,0,0,0,0,-0.00959267822183005,0,0.178023810267817,0,0,0,0,0,0,0,0,0,0.161513045130988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000338796353010721,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0872666948894777,0,0,0,0,0,0,0.0785416160009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285904315849723,0,0,0,0,0,0,0,0,0,0,0,0,-0.00447012087820773,-0.00202159829114657,0,0,0,0,0,0
X600309.SH,0.148220391536843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160774085505291,0,0.0418762750483096,0,0,0,0,0,0,0,0,0,0,0.151031958152838,0,0,0,0,0,0,0.0700200681595623,0,0,0.134780806602391,0,0,-0.01497124556064,0,0,0,0,0,0
X600188.SH,0,0.0134241922567041,0,0,0,0.110437278173541,0,0,0,0,0,0,0,0,0,0,0.18305921899322,0,-0.0211396925071548,0,0.204994216884357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493921260271139,0.156175809489867,0,0,0,0,0,0,0,0.048860076889821,0,0,-0.00655748231393954,0,0,0,0,0,0
X601898.SH,0.0884859338532395,0.317356280597988,0.102303190999876,0,0.182656600534429,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0175985251676332,0,0.0785897591642581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375236556647666,0,0,0,0.0550494555145651,0,-0.0245210821872849,0.0120199519806717,0,0,0,0,0
X600019.SH,0,0,0.0411629579645348,0,0.048420392009407,0.0957683356915653,0,0.189284945685175,0,0.0099791442498676,0,0,-0.0541031402777572,0,0,0,0,0,0.0402248832832867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600794942615576,0,0.0946694642816727,0,0,0,0,0,0,0,0,0,0,-0.000399202494532981,0,0,0,0,0,0,0
X600011.SH,0.0533939767027265,0,0,0,0.0392546962469722,0.0433034773703562,0,0,0,0.0144267574627088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288254581096,0,0,0,0,0,0,0,0.13321584264806,-0.0296002156392284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0024170487179453,0,0,0,0,0,0
X600585.SH,0.0542525615340612,0,0,0.0831616605830461,0,0,0,0,0,0,0,0,0,0,0,0,-0.020359842546687,0,0.104767224947762,0,0,0,0,0,0,0,0.00456785789820742,0,0,0,0,0.0136725539465012,0,0.0302699386738403,0,0,0.0921990322817714,0,0,0.099126984092322,0,0,0,0,0,-0.022510694767755,0,0,0,0,0,0,0.00885481167547323,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.0762429057364654,0.00925830756746053,0,0,0,0,0,0,0,0.0848233839718271,0,-0.00879434413704962,0,0,0,0,0,0,0,0,0,0,0,0,0.0560677432321373,0,0,0,0,0,0,0,0,0,0,0,0,0.148612105418274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
