,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600010.SH,X600111.SH,X600362.SH,X600795.SH,X600886.SH,X600188.SH,X600027.SH,X601992.SH,X600688.SH,X600309.SH,X000898.SZ,X601158.SH,X000709.SZ,X600583.SH,X000792.SZ,X000883.SZ,X000539.SZ,X002353.SZ,X600489.SH,X000825.SZ,X000629.SZ,X600547.SH,X000027.SZ,X000630.SZ,X600549.SH,X600808.SH,X600352.SH,X600660.SH,X000831.SZ,X601699.SH,X600008.SH,X600578.SH,X600315.SH,X000959.SZ,X000983.SZ,X600098.SH,X002470.SZ,X000937.SZ,X600307.SH,X600863.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.682296365568845,0,0,0,0,0,0,0,0,0,0,0,0,0.0280624967875619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033875754888858,0,0,0,0,0,0,0,-0.0197220794002278,0,0,-0.0405302331735894,0,0,0,0
X600028.SH,0.603864110567968,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075856020915058,0,0,0.169073413482618,0,0,0,0,0,0,-0.00736992323278286,0,0,0,0,0,0,0,0,0,0.0136206805632832,0,0,0,0,0.0228206848425976,0,0,0,0,0,0,0,0,0,0,0,-0.0165542231444634,1.0842021724855e-19,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.184587742191719,0,0,0,0,0,0,0,0.0955614687082938,0,0.0343833633338115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326580924127772,0,0.0183751282428229,0,0,0,0.122236985266504,0,0,0.106421362625842,0,0,0,0,-0.00958328171372055,0.00694182161211146,0,0,0,0,0,0
X600011.SH,0.0155061444125779,0,0,0,0,0.199277342656137,0,0,0,0,0,0,0,0.0767870320560929,0.00794853971685072,0.254691004395861,0,0.147801228853701,0,0,0,0,0,0,-0.0410240720771037,0,0,0,-0.0620477121294317,0,0,0.00821336599759778,0,0,0,0,0,0.0920642903673715,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.00072793770254549,-0.0168582193649011,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0162114133146405,0,0.220647033105456,0,0,0.021032842307393,0,0,0,0,0.0137047527337359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435003567362256,0,0,0.0832798560637691,0.0349589440497723,0,0,0,0,0,0,0,0,0,0,0,0.0515398965335274,0,-0.0200956949760938,0,0,0,0,-0.0744767173318529,0,0
X600019.SH,0,0,0,0.154459907089014,0,0,0,0,0,0,0,0,0,0,0.108095547975542,0,0,0,0,0.322980694386862,0,0.164943091724592,0,0,0,0,0,0,0,0.0858148149885282,0,0,0,0,0,0,0,0,0,0,0,0,0.0809992550090827,0,0,-0.0485492977296931,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0.0226088513669369,0,0,0,0,0,0.308153272749185,0.0493500212923069,0,0,0,0,0.0450691205555176,0,0.0885023857309889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658825585182946,0.139903056430848,0,0,0,0,0.145382481141152,0,0,0,0,0,0,0,-0.020322127698935,-0.0135982938298368,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0220842040547926,0,0,0,0.0156570611827184,0,0,0,0,0,0.0115413807079021,0,0,0,0.0057091043685964,0,0,0,0,0,0,0.141982394501323,0,0,0,0,0,0,0.0230009545447482,0,0.0416095170501251,0,0.121767152265555,0,0,0,0,0,0,0,0,0,0,0.0063510993768584,-0.0176026495614121,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0.053642379197872,0,0.16734296253472,0,0,0.0430072965941308,0,0,0,0,0.119789736318184,0,0.0408540200469034,0,0,0,0,0,0,0,0.105264723921042,0,0,0,0,0.0339569324302829,0,0,0,0,0.015652108806544,0.0643432831360288,0,0,0,0,0,0,0,0,0.162663520160121,0,0.00320793853457225,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.193176914602142,0,0,0,0,0,0,0,0,0,0.169845467589953,0.0862346551519032,0,0,0.136879638371787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0936322353569599,0,0,0,0.117582173131697,0,0,0,0.0591238903504885,0,0,0,0.0818062978209011,0,0,0,0,0.0101893310262443,0,0,0,0,0,0,0
