,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X000792.SZ,X600585.SH,X600019.SH,X002466.SZ,X600111.SH,X002271.SZ,X000301.SZ,X000708.SZ,X600660.SH,X600010.SH,X601600.SH,X601898.SH,X600188.SH,X600547.SH,X600362.SH,X600011.SH,X600176.SH,X600426.SH,X600219.SH,X600886.SH,X000786.SZ,X000408.SZ,X600399.SH,X000723.SZ,X600803.SH,X000932.SZ,X000831.SZ,X000959.SZ,X601991.SH,X000825.SZ,X600795.SH,X002080.SZ,X000898.SZ,X000807.SZ,X300037.SZ,X002409.SZ,X600801.SH,X600352.SH,X600489.SH,X002145.SZ,X600808.SH,X000630.SZ,X600486.SH,X601699.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000708.SZ,0,0,0,0,0,0,0,0.233348240722111,0.0545234147567912,0,0,0,0,0.111988378300426,0,0.0506348645471636,0,0,0,0,0,0,0,0,0,0.122382189787135,0,0.12373120270178,-8.67361737988404e-19,0,0,0,0,0,0.0645484881302928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701427742511095,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.029153454865896,0,0,0,0,0,0.11869435858523,0,0.126399855294295,0,0,0,-0.0333454796682417,0,0,0,0,0,0,0,0,0,0,0,0.0598468456695748,0,0,0,0,0,0,0,0,0,-0.0464492338784697,0.23903976428576,0,0,0,0,0,0,0,0,0.0611121875906397,0,0,0,0.0130896309932921,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0888966606688332,0,0.208868189935424,0,0.268448794003447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100028868863022,0,0,0,0,0.00492751191292471,0,0,0,0,0,0.2305865515316,0,0,0,0,0,0,0,0,0.300244216548309,0,0.019543313066827,0,0,0.0325588763797773,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0271849932684311,0.184394316939195,0,0,0,0.0350902773076323,0,0,0,0,0,0,0,0,0,0,0,0,0.0919340767531054,0,0,0,0,0,0,0.00944997241527563,0,0,0,0,0,0.325528120811926,0,0,0,0,0,0,0.114787117928763,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154912505558273,0,0,0,0,0,0,0,0,0,0,0,0.0928809233387095,0,0.0635962336819919,0.155785519378129,0,0,4.33680868994202e-19,0,0,8.67361737988404e-19,0,0,0,0,-0.123036608636441,-0.0173264562865633,0,0,0,0,0.181803886387813,0,-0.0299465580815702,0.130513050112481,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09865366786586,0,0,0,0,0.0717570244397566,0,0,0.0875164769446056,0,0,0,0,0,0,0,0,0,0,0.11992980819418,0,-0.13638022239008,0.396870262018174,0,0,0.0534063519860791,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,-0.0385564069534538,0,0,0,-0.00318825980243756,0,0,0.0095287502354704,0,0,0,0.164354461139044,-0.0372348592240314,0,0,0,0,0,0,0,0,-0.0557442613165656,0,0.0251607433024868,0.0344186709476285,0,0,0,0,0,0,0,0,0,0,0,0.00343012282036552,0,0,0.193080389605226,-0.0138176988335314,0,0,0.057533603699205,1.73472347597681e-18,0,0,0.00271337730033705,-0.0137189852029083,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.0816671203451976,0,0,0,0,0,0,0.184256384129282,0,0,0,0,0,0,0.108762848769189,0.0923250143092826,0,0,0,0,0,0,0,0,0,0,0.216670730760761,0,0,0,0,0,0,0,0,0,0,0,0.0768416019727111,0,0,0,0,0.0313855447798217,-0.0326640007297088,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.0874093272955776,0,0,0,0,0.0610362449789308,0.0306595843224287,0,0,0,0,0.0228503634327735,0,0,0.00653890969857859,0.0243598661594291,0,0,0.0331152635460723,0,0,-0.051178104434913,0,0,0,0,0.0127701588885885,0,0,0,0,0.105782899475603,0,0,0,0,0,-0.0420818931527535,0,0.0751028177870791,0,0,-1.0842021724855e-19,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0.039501212261438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147445881473942,0,0,0,0,0,0,0.108458342520929,0,0,0,0.0283964138106126,0,-0.00134308703144931,0,0,0,0,0,0,0.124620419946187,0,0,0,0.0340217423063865,0,-0.00578108713646867,0,0,0,0,0,0,0
