,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X002466.SZ,X601992.SH,X300072.SZ,X600660.SH,X600795.SH,X600362.SH,X002460.SZ,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X600516.SH,X000898.SZ,X000709.SZ,X000792.SZ,X600157.SH,X600027.SH,X600339.SH,X000959.SZ,X600489.SH,X000723.SZ,X600219.SH,X000408.SZ,X002271.SZ,X600176.SH,X600808.SH,X000786.SZ,X000553.SZ,X601158.SH,X600352.SH,X600549.SH,X000807.SZ,X000883.SZ,X000983.SZ,X000630.SZ,X002092.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0306530746315126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516160632171075,0,-0.0360700231089684,0,0,0,0,0,0,0,0,0,0,0.0268929189368956,0,0,-0.0134285614991254,-0.0223777907264729,0.0389740087888502,0,0,0,0.000625095349010971,0,0,0,-0.00613692797101112,0,0,-0.0060952120582366,0.00596959023908893,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0427298644704235,0,0,0.0228267638471377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00785345255581756,0,0,-8.67361737988404e-19,0.00297703800863914,0,0,0,0,0,0,0.0562745378973157,0,0,0,0,0,0,0,0,0,0.00635883783965893,0,0,0,0,0,0
X601088.SH,0,0,0,0.0733425907201129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458642937845884,0,0,-0.0669452055083434,0,0,0,0,0,0,0,0,0,-0.069612086046593,0,0,0,0,0,0.0252058622615372,0,0,0.0729569756757634,0,0.0426464897672883,0,0,0.0213144701065782,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0635710570150331,0,0,0,0,0,0,0.0651468297536754,0,0,0,0,0,0,0,0.00422819863487953,0,0,0.239627678695767,0,0,0,0,0,0,0,0,0,0,0,0,0.276724654578158,0,0,0,0,0,0,0,0.0359920176109374,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.0407503716990662,0.0697698939903583,0,0,0,0,0,0,0,0,0,0.0445357286110829,0,0,0,0,0,-0.0955389322356531,0,0,-0.0925729143591262,0,0,0,0,0,0,0,0.00703443868414468,0.0137105116389941,0,0,0.0576346457679733,0,0,0,-0.0589638768400766,0.189896153465108,0,0,0,0,0,-0.113894853909454,-0.0113890751685597,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.00231365310007287,0,0,0,0,0,0,0,0,0,0.0347276004151542,0,0,0,0,0.0397600727289327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160068418758296,0,0,0,0,0.108015505811325,0,0,0.15664496876209,0,0.0683122007440268,0,0,0,0.00340479185855313,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0568688517394843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119371439031652,0,0,0,0,0.140545827263285,0.0563263697091379,0,0.226131513930268,0,0,0,0,-0.0724270992073949,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131824111870479,0.0581811631775979,0,0.0408042726079964,0,0,0,0,0,0,0.11187766397416,0,0,-0.137450100462892,0,0,0,0,0,0,0,-0.0511571688885236,-0.102524645520817,0,0,0,0,0,0,0,0.0957311139231867,0,0,0.396980960212147,0.0563587676986541,0,0,0.00994701175343918,3.46944695195361e-18,0.100729599477236,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.00837176943243419,0,0,0,0,0,0,0.0251728459774849,0.0603111308163378,0,-0.00582629068574804,0,-0.0559542618543487,0,0.0975187091329547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135199983579356,0,0,0,0,0,0,0.0163163489970634,0,0,0.0105581583027972,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0496509755740592,0,0,0,0,0,0,0,0,0,0.0722262831658231,0,0.0909178451912726,0,0,0,0,0,0.161966019964706,0,0,0,0,0,0,0,0,0.0467537606741872,0,0,0,0,0,0,0,0,0.185644165551281,0,0,0.0531688394570474,0,0,0,0,0,0.00690701970440106,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0.0129063077045225,0,0,0,0,0,0,0,0,0,0,0,-0.0813724562697337,0,0,0.0118930951270127,0,0,0,0.0362028222206651,0,0,0,-0.0249805480578219,0,0,0,0,0,0,0,0,0.141963840776639,0,0,0,0,0.0305169353844896,0,-0.0447310085008622,0,0,0,0,0,0,0
