,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600585.SH,X600011.SH,X600188.SH,X002460.SZ,X601898.SH,X600547.SH,X002466.SZ,X601600.SH,X000792.SZ,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600027.SH,X600176.SH,X601991.SH,X600803.SH,X000807.SZ,X600489.SH,X000983.SZ,X601699.SH,X000786.SZ,X000932.SZ,X600160.SH,X000408.SZ,X002080.SZ,X600219.SH,X300037.SZ,X000629.SZ,X000539.SZ,X600995.SH,X600688.SH,X000630.SZ,X000933.SZ,X600157.SH,X000723.SZ,X002409.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.496704752374565,0,0,0,0,0,0.065691698955624,0,0.0102157296400088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137375535612075,0,0,0,0.0380287444255738,0,0,0,0,0,0,0
X600028.SH,0.655913876180217,0,0,0,0,0.13928612345578,0.0306353022334101,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0711415141309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134180125620637,0,0,0,0,0,0,0,0,0,-0.0570455397210171,0,0,0.0321670556172315,0,0,0,0,0,0
X601088.SH,0.112083010675878,0,0,0,0,0,0,0.230502373015762,-0.0103439517436496,0,0,0,0,0,0,0,0.118228022852456,0,0,0,0,0,0,0,0,0,0.118705417619551,0,0.0190892062614682,0,0,0,0,0.0561454481581263,0,0,-0.00225621761109673,0,0,0,0,-0.061749165385203,0,0,0,0,0,0,0.00865322453089305,0,0,0.00693185006163868,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.0422422139154561,0,0,0,0,0,0,0,0,0,-0.0369870403424544,0,0,0,0.0225478887605767,0,0.0982922370859895,0,0,-0.00372062866058403,0,0,0,0,0,0,0,0.0711229849929213,0,0,0,0.184635273634342,0,0.0158645039271748,0,0,0,0,0,0,0,0,0,0.0848693841973269,0,0.0073054586404854,-0.010069119232782,0,0,0,0,0,0
X600019.SH,3.46944695195361e-18,0.0808749404040517,0,0,0,0,0,0.00617486874167069,0,0,0,0,0.057826206619712,0,0,0,0,0,0,0,0,0,0.0555355919500885,0,0,0,0,0,0,0.0409339639874251,0,0,0.09471981864317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742801194421245,0.00406718568573869,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.232181364065648,0,0.0609447405597676,0,0,0.00126293429976623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171944005173809,0,0,0,0,0,0,0,0.125299133441412,0,0,0.185236457908978,0,0.0750640893651096,0,0,0.0581675442046608,0,0,0,0.0883590549735691,0,0,-0.0174106773662545,0,0,-0.0120705743202149,-0.032515708000957,0,0,0,0,0,0
X600011.SH,0.0510295601851724,0,0,0,0,0,0,0,0,0,0,-0.220155876627849,0,0,0,0.301403807067321,0,0,0,0,0,0,0,0,0,0.42870699993153,0,0.274048982210902,0,-0.061338486990333,0,0,0,-0.136164795865489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419612616945046,0,0,0,0,0,0,0
X600188.SH,0,0,0.580414135500193,0,0,0,0,0,0,0.0171477293728032,0,0,0,0,0,0,0,0,0,0,0,0,0.0730389028173667,0,0,-0.0880104667038269,0,0,0,0,-0.173661620780114,0,0.237162378254604,0,0,0.028471276471505,0,0,0,0,0,0,0,0,0,0,0,0.245708353172455,0,0.0580325066206981,0,0.0284424932647571,-0.0210908408921736,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.511934635220176,0.122019091047512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137678784695697,0,0,0,0,0,0,0.0507596064112874,0.103316683369472,0,0.130049962412956,0,0,0,0,0,0.0445064331517052,0,0,0,0,0,0,0,0,0,-0.00992151784595353,0,0,0,0,0,0
X601898.SH,0.0513012991256511,0,0.0997338334448205,0,0,0,0,0.17747347243521,0,0,-0.010368428894016,0,0,0.00164787553660149,0,0,0,0,0.110948977127275,0,0,0,-0.14472038581547,0,0,0,0,0,0,0,0,0,0.338913479640819,0.0654199028663104,0,0,0,0,0,-0.169951447558354,0,-0.0731364450820885,0,0,0,0,0,0.0220816756010677,0,0,0,0,0,0,0,0,0,0,0
