,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X000877.SZ,X002271.SZ,X600010.SH,X600011.SH,X600660.SH,X000708.SZ,X600188.SH,X601600.SH,X000301.SZ,X601898.SH,X600547.SH,X600362.SH,X600886.SH,X600176.SH,X000723.SZ,X600426.SH,X000786.SZ,X600219.SH,X000408.SZ,X600803.SH,X002080.SZ,X601991.SH,X600795.SH,X600688.SH,X600801.SH,X600027.SH,X300037.SZ,X600352.SH,X000825.SZ,X600399.SH,X002353.SZ,X000959.SZ,X300073.SZ,X002326.SZ,X600489.SH,X600157.SH,X000807.SZ,X000932.SZ,X600516.SH,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016248162394577,0,0,0.120627135890169,0,0,0,0,0.03406503279814,0,0,0,0,0,0,0,0,0,0,0.0584270383755613,0,0,0,0,0,0,0,0,0,0,0,0,0.0585541480276112,0,0,-0.0161263691370092,0,0,0,0,-0.0811810069310835,0,0
X600028.SH,0.178834021056662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488584576822721,0,0,0.0461269863646139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0834760473045316,0,0.00358182543971372,0,0,0,0,0.00929663070132737,0,0,-0.0240308560213114,0,0,0,0,0,0,0,-0.0230708573851503,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263239867881026,0,-0.0749840340278173,0,0,0,0,0,0.0338262912454518,0,0,0,0,0,0,0,0,0.190201562619767,0,-0.0337233859489978,0,0,0,0,0.0913067461167626,0.0507482898577183,0,0,0,0,0.0492470121639966,0,0,0,0,-0.012725925043379,0.001292175613801,0,0,0,0,0,0
X600309.SH,0,0,0.0156587270562853,0,0,0,0,0,0,0,0,0,0,0,0.107473465559245,0,0.0242080756640875,0.00914264696522161,0,0.0243917881070645,0,0,0,0,0,0,0.138194269631676,0,0,0,0.0726006539665537,0,0,0,0,0,0,0,0,0,0,0.00793473668095284,0,0,0,0,0,0,0,0,0,0,0.00411773491532158,0,0,0,-0.00985153180041823,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.179363710517891,0,0,0.12771792305768,0.0366651880662264,0,0,-0.0448485145406919,0,0,0,0.202133581403133,0,0,0,0,0,0,0,0,-0.0860711316466968,0,0,0,0,0,0,0,0,0.0029870874149627,0,0,0,-0.045402090409533,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.554705663197753,0,0,0,0,0.100173217839879,0,0,0,0.0540700086955719,0,0,0,0,0.129378686788204,-0.115950863782008,0,0,0,0,0,0.11395525861924,0,0,0,0,0,0,0,0,0,0,0,0.0595924382522614,0,0,0,0,0,0,0,0,-0.00180057180561944,0,0,0,0,-0.0689770757122027,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.0188405040790367,0.266175757025532,0,-0.0356487929816927,0.0881599978998133,-0.0124151720285304,0,0,0.107693592002484,0,0,0,0,0,0,0,0.0255721036571559,0,-0.122569230334861,0,0.298677161156946,0,0.104880046224868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170267473268021,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0258901023332485,0,0.0377980741576579,0,0.0610813792450322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623887596200388,0,0,0,0,0,0.0312272177180149,0,0,0,0,0,0,0,0.108366595511366,0.247385202810004,0,0,0,-0.000443195675978226,0.00181677526135271,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.41327217382689,0,0,0.157392279850027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121489877621117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.668441806467189,0.305576449946363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190797895320737,0,0,0,0,0,0,-0.0280002047305839,0,0,0,0,0,0.00256208153305517,0.110091885709043,0,0,0,0,0,0,0,0,0,0.00735411961192643,0,0,0,0,0,0
