,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X600801.SH,X002460.SZ,X000792.SZ,X601898.SH,X600010.SH,X600886.SH,X601600.SH,X600660.SH,X000786.SZ,X600362.SH,X600688.SH,X600188.SH,X600795.SH,X600352.SH,X601991.SH,X601992.SH,X600299.SH,X600027.SH,X600111.SH,X002466.SZ,X600489.SH,X600176.SH,X600126.SH,X000723.SZ,X600426.SH,X002075.SZ,X000401.SZ,X000553.SZ,X000898.SZ,X601158.SH,X600219.SH,X600516.SH,X002353.SZ,X000932.SZ,X600583.SH,X000883.SZ,X600486.SH,X000709.SZ,X600612.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0968015882705529,0,0,0,0,0,0,0.0280537265003575,0,0,0.00656810985085561,0,0.370819806907687,0,0,0,0,0,0,0.0106399829724348,0,0,0,0,0,0,0,0,0.0239129656930718,0.0680029994021953,0,0,0,0,0.0490915593027644,0,0.00868489490800775,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.000398215690409901,0.00474382170627727,0,0,0,0,0,0
X600028.SH,0.36400247044808,0,0,0,0,0,0,0.0414276455622636,0,0,0,0,0,0,0,0,0,0,0,0,0.00971722352332942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392921508743612,0,0,0.0293719893256575,0.00648927614908294,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0805764524609082,0,0,0,0,0,0,0,0.0128756987408778,0,0,0.0888673155552647,0,0,0,0.0604603194041553,0,0.0594371406876529,0,0,0,0,0.0111133227563765,0,0,0,0,0,0.10723497315158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152693575428467,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.380043981208806,0.0100466786200142,0,0,0,0,0,0,0.0708800682334444,0.143832711970251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165320602434115,0.180914571899612,0,0,0,0,0,0,0,0,0,0.00453916960442191,0,0,0,0,0.0184488722775877,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0441638692310197,0,0,0,0,0,0,0.0420253672494447,0.0162805888029749,0,0,0,0,0,0,0,0,0,0.0646829189971825,0,0,0,0,0,0,0,0,0,0,0,0,0.108835090289717,0,0.185722829793337,0,0,0,0,0,0,0.0469112086077204,0.0153542912589602,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.00565312250271291,0,0,0,-0.081110040171301,0,0,0,0,0,0,0.0290662915570874,0,0.0534311779932821,0,0,0,0,0,0,0,0,0,1.06928928815246,0,0,0,-0.0294811042257695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186264747106732,0,0.0615309016338961,0.00691870902211766,0.0168857222185859,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0379277816268407,0,0,0,0,0,0,0.164997214866787,0,0.274360920623092,0,0.0172032687235954,0,0,0,0,0.0164008578537839,0,0,0.00434617158112196,0,0,0,0,0,0,0,0,0,0,0,0,0.0116382203860928,0,0,0,0.0558940078384284,0,0,0,0,0,0.00048759503040213,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070876989526773,0,0,0.132048735043038,0,0,0,0,0.215070795732007,0.144588538579013,0,0,0,0.0513929457276549,0,0,0,0,0,0,0,0,0,0.26945741073158,0,0,0,0,0.00878219476598724,-0.00822858618833423,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533082736581915,0,-1.73472347597681e-18,0,0,0,0.0749369337998413,0,0,0.123547256207066,0.461372109444142,0,0,0,0,0,0,0,0,0,0.0884814437307496,0,0,0,0,0,0,0,0,0,0,0.0499266318769671,0,0,-0.0153734701389148,0.00323474095896967,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0.313327827532336,0.12876672847916,0,0,0,0,0,0,0,0,-0.040103928185718,0,0,0,0,0,0,0,0,0,0,0,0.0396791935720478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854001274960754,0,0,0.0176082113873444,0.0131770744772106,0,0,0,0,0,0
