,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600795.SH,X600585.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600111.SH,X600362.SH,X600886.SH,X600027.SH,X600157.SH,X600188.SH,X000883.SZ,X600021.SH,X601158.SH,X600583.SH,X601992.SH,X600309.SH,X600352.SH,X000709.SZ,X000539.SZ,X000898.SZ,X000027.SZ,X000792.SZ,X000060.SZ,X600808.SH,X000825.SZ,X600489.SH,X002470.SZ,X002353.SZ,X000629.SZ,X600547.SH,X600660.SH,X600307.SH,X002075.SZ,X600008.SH,X600863.SH,X600578.SH,X000831.SZ,X600549.SH,X000012.SZ,X600219.SH,X000959.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.5211207765024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117455396709722,0,0,0,4.33680868994202e-19,0.0650954193696939,0,0.0216155581556393,0.0310769445772111,0,0,0.0276626119826653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00461366196240753,0,0,0,0,0,0
X600028.SH,0.575601579671758,0,0,0,1.73472347597681e-18,0.0259481974444464,0,0,0,0.168266028121005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184505601663063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00516901703671727,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0240398856294133,0.281895958750621,0,0,0,0,0.00340099412117192,0,0,0,0,0,0,0.132568460320201,0.0412416074736496,0,0,0,0,0.14519675445625,0.00716097000269408,0,0,0,0.0235998455036001,0,0,0,0,0,0,0,0.0361616601570972,0,0,0,0,0,0,0,0,0,0,-0.00169727059818367,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909315677089603,0.127044322500492,0,0,0,0,0.0637480506829539,0,0.0383477638079984,0,0,0,0,0.312336766362183,0,0,0,0,0,0,0,-0.0215347055468841,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0670489785017935,0,0,0,0.0726376588551809,0.102591952017543,0,0,0,0,0.0345661563976981,0,0,0,0.0620429556912186,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.185533262893761,0,0,0,0,0,0,0,0,0,0,0.230914779214172,0,0,0,0,0,0,0,-0.00538156883556814,0,0,0,0,0,0,0
X600019.SH,0,0,0.0447832413687643,0,0,0,0,0,0.0186407495692541,0.300225388391876,0,0,0,0,0.055203352665299,0,0,0,0,0.0124944497131261,0,0,0,0,0,0.198973892246281,0.00298900822273033,0.189348049700223,0,0,0,0.0225971969205869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00103055358192437,0,0,0,0,0,0,0
X600795.SH,0,0,0,0.0758234493883735,0,0,0,0,0.111607851457628,0,0.092573647761177,0,0,0,0.170081400697722,0.0785694857497375,0.0332121260788867,0,0,0.0805125733558882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324204407171502,0,0,0,0,0,0,0,0,0,0.0176020597890485,0,0,0,0,0,0
X600585.SH,0,0,0.145967048328871,0,0,0,0,0,0,0,0,0,0,0,0.226320182111351,0,0,0,0,0,0,0.034906657608881,0.103292762557416,0.0428726978997293,0,0,0,0.0126909661178928,0,0,0.01228165071014,0,0,0,0,0,0,0,0,0,0.0527125754414373,0,0,0,0,0,0,0,0,0,0,0.00386809565836777,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0.199269493424147,0.0725149563887484,0.0305587784358337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145336226463329,0.0962768897278618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118034201840508,0.0223479229242119,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.103241912393452,0,0,0.0838399159675711,0,0.105299286540781,0.0273723390069047,0,0,0,0,0,0.0185809454546029,0,0,0,0,0,0,0,0,0,0.131194180186799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459620017077982,0,0,0,0,0,0
X601991.SH,0,0,0,0,0.344309866315169,0,0,0,0,0.300236741775523,0,0,0,0,0,0,0,0,0,0.0704571036104628,0,0.0731104997909693,0,0,0,0,0,0,0.0134670003275436,0,0,0,0,0,0,0,0,0,0,0,0,0.0752964514481649,0.0425825460192914,0.127348878712979,0,0,0,0,0,0,0,0.00166336745876667,-1.35525271560688e-20,0,0,0,0,0,0
X600688.SH,0,0.216674564299656,0,0,0,-1.73472347597681e-18,0,0,0,0.121933524671708,0,0,0,0,0,0,0.025929822312495,0,0,-0.0779658393170123,0.371471885588277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961097648886494,0,0,0,0,0,0,0,0,0.126559664449571,0,0,0,0,-0.0310661189943085,0,0,0,0,0,0,0
