,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X601600.SH,X600011.SH,X600309.SH,X601898.SH,X002466.SZ,X601992.SH,X600795.SH,X600362.SH,X600688.SH,X600111.SH,X600188.SH,X002460.SZ,X600547.SH,X601991.SH,X300072.SZ,X600516.SH,X600660.SH,X000898.SZ,X000709.SZ,X600886.SH,X600157.SH,X600027.SH,X600339.SH,X600808.SH,X600489.SH,X000959.SZ,X000408.SZ,X600549.SH,X000723.SZ,X000983.SZ,X600219.SH,X600352.SH,X002092.SZ,X601699.SH,X000807.SZ,X000553.SZ,X000630.SZ,X601158.SH,X000883.SZ,X000792.SZ,X000825.SZ,X600299.SH,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199125589033971,0,0.021633093888649,0,0,0,-0.0201882739017748,0,0,0,0,0,0,0,0,0,0,0.0193999332127477,0,0,0,0,0,-0.0037637655011044,0,0.0354010431036225,0.0664899817075516,0,0,0,0,0,0,0,0,-0.00750215375370684,0.018246638106375,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0915798238987388,0,0,0.0419150031546202,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130946701833851,0.0973483524173268,0,0,0,-0.0236879992232199,0,0,0,0,0,-0.0621373163005033,-0.00447523810961681,0,0.0061701266329134,0.00461262288562333,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127387679906893,0,0,0,0,0,0.254679878730659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106834625305106,0,0,0,-0.0206922806966288,0.00386629777286745,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19652186517453,0,0,0,0.0799221255429401,0,0.0557193763759132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111545051514145,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0691174484859018,0,0,0.0977987709771844,0,0,0,0,0,0.130397266808688,0,0,0,-0.131590657221926,0,0,0,0,0,0,0.0908005049247665,0,0,0,0,0,0,0,0,0,0,0,0.0890572052993427,0,0,0,0,-0.109210621117295,-0.0362726133536486,0,0,-0.130022883588841,0.000219307024047201,-0.0168010923507173,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661541990295818,0,0,0,0,0,0.0923722557457002,0,0,0,0.110939426664144,0,0.060689654668411,0,0,0,0,0.178663149712279,0,0,0,0,0,0.236483007369859,0,0,0,-0.0302665299754204,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0166506604625497,0,-0.0111899771140478,0,0,8.67361737988404e-19,0,0,0,0,0,0,-0.0238911968628927,-0.0602853097771378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952796946360887,0.114350918130554,0,0,0.0188538949666238,0,0,0,0,0,0,0,0,0.00581232405900216,0.0101860334711759,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0421574876843097,0,0,0,0,0,0.164762224376743,0.081413503395341,0,0,0,0.0100741971677066,0.10124802463457,0,0,0,0,0,0,0,0,0,0,0.0897288677188889,0,0,0,0,0.0556535557686502,0,0.0534987843965378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.051008364994239,0,0,0,0,0,0,0.0561071869387715,0,0,0,0,0,0,0,0,0,0.316038589599551,0,0,0,0,0,0.0250131495372853,0,0,0,0.0672090625989053,0,0.126101061358937,0,0,0,0,0,0,0,0,0,0,0.0703060319323729,0,0,0,-0.0107327397949241,0.00792847848142838,0,0,0,0,0,0
