,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600688.SH,X600027.SH,X600886.SH,X600362.SH,X600157.SH,X600111.SH,X601992.SH,X600188.SH,X600299.SH,X000792.SZ,X600660.SH,X000709.SZ,X601158.SH,X600309.SH,X000898.SZ,X002466.SZ,X000883.SZ,X000539.SZ,X600583.SH,X000027.SZ,X600623.SH,X600352.SH,X000630.SZ,X002470.SZ,X600578.SH,X600160.SH,X000629.SZ,X600489.SH,X600547.SH,X600098.SH,X600176.SH,X600022.SH,X600021.SH,X000060.SZ,X000959.SZ,X600808.SH,X300072.SZ,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.133079500997804,0,0,0,0,0,0,0,0,0,0.0285188878587793,0,0,0,0,0,0.0627669106905763,0.0317440298692703,0,0.0233102027822247,0,0.0536217864711172,0,0,0,0,0,0,0,0.046776724815089,0,0,0.00622390494264125,0,0,0.010808106086449,0,0,0,0,0,0,0,0.084070711568947,0,0.0608065250236318,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.119053926383015,0,0,0,0,0,0.199120774701924,0,0,0,0,0.0425030932245068,0,0,0,0,0,0,0.194756831622615,0,0.0138437545011831,0,0,0,0,0,0,0,0,0.0149589779292831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00677440328919037,0.000844922309249058,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.215018780821223,0,0,0,0,0,0,0.0218194275498376,0.0228087574367259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161286213735185,0,0,0.00916019066227389,0.0584150429147956,0,0,0,0,0,0,0,0,0,0,0.311547400203139,0,0,-0.0308447709063274,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0856611342760356,0,0,0,0,0,0,0,0,0,0,0.176655969353724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950087572366615,0,0,0.107709817992831,-1.73472347597681e-18,0,0,0,0,0,0,0.00830698540108078,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0572020208030935,0.00781244850813755,0.269933523229238,0,0.240301563288489,0,0,0,0,0,0,0,0.0281951921691618,0,0,0,0,0,0,0,0,0,0,0.086795191730806,0,0.0287717031816852,0.0538471989947853,0,0.183282312604129,0,0.0287478891460053,0,0.0307124246477578,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107415822872815,0,0.161059451393738,0,0,0,0,0.0513956551266712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164974984608099,0.168975851121978,0,0,0,0,-0.0155264976172217,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0112802701308234,0,0,0,0,0,0,0,0,0,0,0.155443706523205,0,0.014755498804183,0,0,0,0,0,0.039739761120924,0,0,0,0.0116073955412457,0,0,0.017646650333972,0,0,0.0135993350831633,0.0793287164911906,0,0,0,0.0449996161758013,0,0,0,0,0.108505512948154,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107490433437013,0,0,0.264262514920114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0992168074200646,0,0,0.0469571231876195,0,0.0237393672977817,0,0.0946714922946831,0,0,0,0.236379658576257,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134386217663956,0.0418327937983738,0,0,0.152358153511915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243448206585916,0.114155930445824,0,0,0,0,0,0,0.144077270345328,0,0,0,0.0683889719387568,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00767139193930179,0,0,0.18730259740811,0,0,0,0.0344109106648154,0,0,0,0,0,0,0,0.0139395949076154,0,0,0,0,0,0.0608624724345509,0.0731345687569535,0,0,0.141521604867909,0.0280068662899779,0,0,0,0.0251917886052197,0,0,0,0,0,0,0,0,0,0,0,0
