,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X002271.SZ,X000708.SZ,X600011.SH,X002460.SZ,X600660.SH,X000786.SZ,X600886.SH,X601898.SH,X600176.SH,X600010.SH,X600801.SH,X601600.SH,X600362.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X600426.SH,X600111.SH,X600795.SH,X002080.SZ,X600688.SH,X600027.SH,X600299.SH,X601992.SH,X000932.SZ,X000301.SZ,X002466.SZ,X600803.SH,X600529.SH,X002075.SZ,X600219.SH,X600315.SH,X000027.SZ,X002353.SZ,X300037.SZ,X600486.SH,X000723.SZ,X000883.SZ,X601158.SH,X002409.SZ,X000898.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.00493651242385831,0,-0.020832114036673,0,0,0.0433857377850555,0,0,0,0,0.00970161249959557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325733815831314,0,-0.00547912437249397,0.00412510538620745,0.0841242048840118,0,0.115022129108423,0.0120494633314535,0,0,0.00771835241387816,0,0,0,0,0,0,-0.0119039437912527,0,0,0,0,0,0,0
X600028.SH,0,0,0.0412259216511824,0,0.0130684406236297,0,0,-0.00567540835884566,0,0.0332770279226954,8.67361737988404e-19,0.0121044376018246,0,0,0,0.00741828378164206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344521967919223,0,0,0,0.0207247362104187,0,0.0750723830352145,0.0205128162038682,0,0,0,0,0,0,0,0,0,-0.0275304920059411,0.0159657375649247,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0667922211042632,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0.291307548450895,0.0261731865584617,0,0,0,0,0,0,0,0,0,0,0,0.00537967756215285,0,-0.000344035105661447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109261553679414,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0976050183082446,0,0,0,0,0,0,0,0,0,0,0.0417367436085755,0,0,0,0,0,0,0,0,0,0.0582700163919842,0,0.0075384254778934,0,0,0,0,0.0704528784875773,0,0.0267442978961938,0,0,0,0,0.025341454343668,0,0,0,0,0,0,0,0,0,0.0287802931009231,0,-0.0416793039359618,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0478049841980163,0,0,0,0.119569586267618,0,0,0,-0.0167857788104229,-0.205817856594522,0,0,0,0.168948799017514,0,0,0,0.139173270290313,0.110209775081936,0,0,0,0,0,0,0,0,0.130729881233971,0,-0.181342121836664,0,0,0.281865128791848,0,0,0.0821217818197468,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.0288815465753894,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0107248220241071,0.0232179143496828,0,0,0,0,0,0,0,0.00912087358266963,0,0.0423102629170118,0,0,0,0,0,0,0,0.14494268342227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102977934601686,0,0,0.128154363884626,0,0,0,-0.00835729624855617,1.35525271560688e-20,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.0299922829076086,0,0,0,0,0,0,0,0,0,0,0,0,0.433000690747354,0,0,0,0,0.0948475646889843,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.152950651110745,0,0,-0.00713985806529314,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.128290171409721,0,0,0,0,0,0,0.0682283107722488,0,0,0,0.242655812746254,0,0,0,0,0,0,0,0,0.102685969385254,0,0,0,0,0,0,0,0,0.0932057338412208,0,0.143985526694307,0,0,0,0.0135281250783501,0,0,0.195895278781239,0,0,0,0,0.0264467182596254,0,0,0,0.0371561864222845,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,-0.073009588324774,0,0.053545202987362,0,0,0.0627540924631655,0,0,0,0,0,0,0,0,0,0,0.0281355266292031,0,0,0,-0.0574283438271044,0.263009779890138,0,0,0,0.0802320409048706,0,0,0.104856619678715,0,0,-3.46944695195361e-18,0,0,0,0.133237364597136,0,0,0,0,0.150748614486887,0,0,0,0,0,0.056324001287635,-0.00428843716776506,0.0133746231645868,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.0504197366257348,0,0.161345106151354,0,0,0,0,0,0,0.135171102134067,-0.055420400072357,0,-0.157860315257724,0,0,0.162208175344755,0,0,0,0.745666572097201,0.186501353136967,0,0,0,0.0332232990827429,0,-3.46944695195361e-18,0,0,0,0,0,-0.159131429312114,0,0.0586301892213086,0,0,0,0,0,0,0.0377612677568289,0.0141153337327658,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.00991264550792438,0,0,0.258943959128002,0,0,0,0.0225735083741834,0,0,0,0,0,0,0,0.000681232868818563,0,0,0.100482712228095,0,0,0,0,0,0,0,0,0,0,0,0.372409637712736,0,0,0,0,0,0,0,0.262432541413459,0,0,0,0,0.0576575275976942,0,0,0,-0.0770517563965341,0.0386546790755363,0,0,0,0,0,0
