,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002460.SZ,X002271.SZ,X600801.SH,X600886.SH,X601898.SH,X600010.SH,X600660.SH,X601600.SH,X600362.SH,X600489.SH,X600188.SH,X600352.SH,X000786.SZ,X600688.SH,X601991.SH,X600111.SH,X600027.SH,X600795.SH,X601992.SH,X600126.SH,X600176.SH,X600299.SH,X002075.SZ,X002466.SZ,X600426.SH,X600486.SH,X600529.SH,X600315.SH,X000723.SZ,X600516.SH,X601158.SH,X002353.SZ,X600612.SH,X600219.SH,X000401.SZ,X000932.SZ,X000898.SZ,X000883.SZ,X000553.SZ,X002409.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0236532719608514,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.0654329725796405,0,0,0,0,0,0,0.0602556755166276,0,0,0,0,0,0,0,0.0428302617695249,0,0,0,0,0,0,0,0,0,0.00937047773212705,0,0,0,0.00139363881905306,-0.0101679397651942,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118386103090409,0,-0.0208484944886419,0.0175795120477841,0,0,0,0,0,0.0411876280820148,0,0.0194824664591023,0,0,0,0,0,0,0.0266301642447963,-0.0198560976016405,0,0,0.00432904306529091,-0.00231905137784461,0,0,0,0,0,0
X601088.SH,0,0,0,0.111542110582438,0.0940684027445695,0,0,0,0.0871997864284624,0,0,0.0631904442886526,0,0,0,0,0,0,0,0,0,0.0193744514601804,-0.0567370423812955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0267684530969706,0,0,0.00172586086080828,-0.0130276518632998,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.134232620289959,0,0,0,0,0,0.0277444717033197,0.512285889087576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287411969894344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341647164611233,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550987268599206,0,0,0.230435405215674,0.209795563582385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157023950216208,0.00952301072072976,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0.0823675347206643,0,0,0,0,0,0,0,0,0.399227077403133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868622337325816,0,0,0,0,0,0,0,0,0.102796707053602,0,0,0,0,0,0,-0.144150009040752,0,0,0.00248162040456041,0.019572794678872,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0667398896272917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111387694466006,0.0415791314933531,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-4.33680868994202e-19,0.158768855614318,0,0.0229940030251698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226655471763402,-0.0171349505591195,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0.241038859865434,0,0,0,0,0,0,0.0272770352164792,0,0,0,0.0491736894372732,0,0,0,0,0,0.0020566573816984,0,0,0,0.0306492104630483,0,0,0,0,0,0,0,0.195834848280338,0,0,0,0,0,0,0,0,0,-0.00756139604621258,-0.0125714949613866,-0.0302995671255491,0,0,0,0,0,0
X600011.SH,0,0,0.297969249866874,0,0,0,0,0,0,0.00645098570946898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149388215202952,0,0,-0.0139973283291276,0,0.167263549522548,0,0.00763710632869409,0,0,0,0.0335694239677163,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0109355486650272,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0500333326461604,0,0,0,0,0,0,0,0,0,0,0.022066567217825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189750862752554,0.307397998224072,0,0,0.199596991465154,0,0,0,0,0.135518328702834,0,0,0,0,0,0,0,0.108686779229286,0,0,0.0106026961384719,-0.00885870919404503,0,0,0,0,0,0
X002271.SZ,0,0,0,0.16833950606083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176773969912999,0,0,0,0,0,0,0,0,0,-0.00833719378583394,0,-3.46944695195361e-18,0,0.210523814308554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155119788062474,-0.00312029567014573,0,0,0,0,0,0,0
X600801.SH,0,0,0,0,0.0213103178375063,0,0,0,0,0.0522878889321512,0.00676573220354598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561891298647695,0.10205706132362,0,0,0,0,0,0,0,0.0328920568302548,0,0,0,0,0,0.156580670402644,0,0,0,0,0,0,0,0.0190980535167308,0.0461895548100798,0,0,0,0,0,0
