,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X000877.SZ,X002271.SZ,X000708.SZ,X600011.SH,X601898.SH,X600010.SH,X601600.SH,X600547.SH,X600660.SH,X000301.SZ,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000723.SZ,X000786.SZ,X600803.SH,X600096.SH,X000983.SZ,X600219.SH,X000408.SZ,X601699.SH,X000807.SZ,X600795.SH,X601991.SH,X600801.SH,X000932.SZ,X000825.SZ,X002353.SZ,X002080.SZ,X000630.SZ,X600985.SH,X600295.SH,X600688.SH,X600489.SH,X600486.SH,X000959.SZ,X600157.SH,X601666.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131240127836047,0,0,0,0,0,0,0,0,0,0.0472052776535176,0,0,0,0,0,0,0,0.148815406125925,0,0,0.108751247851313,0,0,0.0807146111896338,0,0,0,0.0281493730029,0,0.122738898768715,0,0,0,0,0,0,-0.025306660223335,0,0,0,0.0165691566948634,0,0
X601088.SH,0.00754948158183418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125962099836886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554974043547863,0,0,0,0,0,0,0,0,0,0,0,0,0.167948539186626,0,0,0,0,0,0,0.156701621010054,0,0,0.0108768072496428,0,0,0,0.0534928471922434,0,0
X600028.SH,0.099339334061928,0,0,0,0,0.0594193848524898,0,0,0,0,0,0,0,0,-0.0217236145585676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308194814246946,0,0,0,0.00842373542680083,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.173136504553691,0,0,0,0,0,0,-0.0126458567071817,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0453035556115223,0.109695516197521,0,0,0,0,0,0,0.168632860804922,0,0,0,0,0,0,0.0403722355716304,0,0,0,0,0,0,0,0,0,0,0,0.094757738294199,0.0397833257706537,0.029330840322221,0,0,0,0,0.00292548762100551,0.0184194052863971,0,0,0,-0.000816097735668162,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010813454220265,0,0,0,0,0,0,0,0,0.0797354305756615,0,0,0,0,0,0,0,0,0,0.461701302197297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00302961083626459,-0.00199961475723227,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.013529985258169,0,0,0.0397914063823833,0,0,0,0,0,0,0.0296040437678537,0,0.13238058918786,0,0,0,0,0,0,0.276577944262956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254994254035349,0,0,0.0610789625681985,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.131471379633644,0.226125808409362,0.328580839103245,0,0,0,0,0,0,0,0,0.134188652125516,0,0,0,0,0,0,0,0,0,0,0,0.122699711002195,0,0,0,0,0,0,0,0,0.0211050873453649,0,0,0,0,0,0,0,0,0,0,-0.00740579373314917,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.232706194972784,0,0,0,0,0,0,0,0,0,0.151349737870256,0,0,0,0,0.0464996289550835,0,0,0,0,0,0,0.0147838974453491,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0159798096628144,0.235258925849951,0.0525086154182735,0,0,0,0.0414869188190693,0.072124963295534,0,0,0,0.00346690601398158,0,0,0,0,-0.00821324273338241,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.0338161342570145,0.47521044580907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166633124009405,0,0,0.145213229475678,0.0781005661783719,0,0.0603488504818577,0,0,0,0,0,-0.0260251787875467,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109102562136125,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0.233821537622431,0,0,0,0,0.0857038919917023,0,0,0,0,0.0448536931033607,0,0,0,0.245970253938588,0,0,0,0,0,0,0,0,0,0.0484114497268757,0,0,0.134274863378783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826021020034922,-0.0120059736708773,0,0,0,0,0,0
X002466.SZ,-0.408960713068132,0,0,0,0,0,0.662080748412826,0,0.245890290527016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995238305622462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591814475994906,-0.0636514174324065,0,0,0,0.0111839246917271,0,0
X000877.SZ,0,0,0,0,0.25550792733429,0,0,0,0,0,0,0,0,0,0,0,0.311839199376153,0,0,0,0,0.0326531203598729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144306418567608,0,0,0,0,-0.00879856452629467,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.0228996751785758,0,0,0,-0.0114300758918446,0,0
