,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600886.SH,X601600.SH,X600585.SH,X600660.SH,X600547.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X600027.SH,X000708.SZ,X600160.SH,X600803.SH,X600010.SH,X600111.SH,X000983.SZ,X002460.SZ,X600426.SH,X601991.SH,X601699.SH,X000301.SZ,X000786.SZ,X002466.SZ,X002128.SZ,X000807.SZ,X000877.SZ,X000630.SZ,X000933.SZ,X600985.SH,X600219.SH,X600176.SH,X601168.SH,X000883.SZ,X000408.SZ,X600348.SH,X002353.SZ,X600096.SH,X000027.SZ,X600995.SH,X600282.SH,X000932.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0718080237847725,0.631835434774877,0,0.0225915916040322,0,0.0327352971904488,0,0,0.136116821111034,0,0,0,0,0,0,0.0638450938554957,0,0,0,0,0,0,0,-0.0437845225203946,0,0,0,0,0,0,0,0,0,0,0.0149126670963699,0,0,-0.094205327487282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.287673651950291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067368129860024,0,0,0,0.217647458468821,0,-0.0531590228534737,0,0.166251443976864,0,0,0,0,-0.0138445217256865,0,0,0,0,0,0,-0.0960856015393856,0,0,0,0,0,0,0,0,-0.0673672280084829,0,0,0.0249853916753559,0,0,0,0,0.0443924671467227,0,0
X600028.SH,0.409704279948138,0.0809656781696358,0,0,0,0,0,0.0877710619105147,0,0,0,0,0.0504094681877553,0,0,0,0,0,0.000692677574465393,0,0,0,0,0,-0.159634667413658,0,0,3.46944695195361e-18,0,0,0,0,0.0235465696532931,0,0,0,0,0,0,0.0420373041965432,0,0,0,0,0,0,0,0,0.00803361608683988,0.00338415136159692,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.0194571580573303,0,0,0,0,0,0,0,0,0,0,0.107663132247484,0,0,0,0,0.023583377215709,0,0,0,0,0,0,0,0,0.0858475780958929,0,0.0348815409763537,0,0,0,0,0,0,0,0,0,0,0,-0.0575718633678054,0,0,0,0.119044662463088,0,0,0,-0.0618611979659924,0.0119206999200368,0,0,0,0.0336905506785087,0,0
X600188.SH,0,0,0,0,0,0.132816032972979,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0538855167830737,0,0,0,0.0501296459470111,0,0,0,0.193211781257324,0,-0.209644584515734,0,0.0114082535624073,0,0,0,0.0373933265709627,0.21034830345665,0,0,0,0,0,0.0874295996897011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.0367735933376021,0,0,0,0.035654635747986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063969081324057,0.0413290745785813,0,0,0,0,0,0,0,0.172719136253094,0,0,0,0.0385274783705426,0,0,0,2.71050543121376e-20,0.327532244552146,0,0,0,0,0,0,0,0,0,0,0,0,0.0365058986512969,0,0,0,0,0,0,0,0,0
X600011.SH,0.140122355504362,0,0,0,0,0,0,0,0,0,0,0,0,0.253750147358777,0,0,-0.047261653610194,0.147462359017835,0,0,0.018901783698055,0,0,0,0,0,0.373350101662225,-0.0936906862916504,0,-0.0805033857819334,0,0,0,0,0,0,0,0,0,0,0.0365451013226513,0,0,0.0231206302815461,0,0,0,0,0,0.00362825815375436,0,0,0.066126593329447,0,0,0,-0.0605280990387282,0,0
X600019.SH,0,0.0837506111394239,0,0,0,0.0702460041491577,0,0,0,0,0,0,0,0,0,0.0128454765729328,0,0.0413905142361034,0.164421355878987,0,0,-0.0395307266157804,0,0,0,0,0,0,0,0.0242727439164399,0,0,0,0,0,0,0,0,0.038230115623226,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.468348776973912,0.070137147027928,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180474373920266,0,0,0,0,0,-0.0939443466835849,0,0,0,0,-0.0748452104063684,0,0.0815597268618866,0,0,0,0,0,0,0,0,-0.0230234289326867,0.0186741538493995,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153704555003268,0,0,0,0,0,0.0169787596803229,0,0
X601600.SH,0.0116684168403307,0,0,0,0,0,0.106739935134674,0,0,0,0,0,0,0,0,0,0,0,0.000149931385987684,0.111276227651202,0.0352204130384834,0,0,0,0,0,0,0,0,0,0,0,0.0804790709169223,0,0.0487758370763528,0.251154858500663,0,0,0,0.222093601627466,0,0,0,0,0,0,0,0.251827196023531,0,0,0,0.0225457423836169,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.136341778141635,0,0,0,0,0,-0.0222238441237566,0,0,0,0.0257584610295771,0,0.0464329952397087,0,0,0.0949838413875327,0,0,0,0,0.0135243118741037,0,0,0,0,0,0,0,0.0286669044263203,0.0478668888456445,0,0,0,0,0,0.109026996376926,0,0,0,0,0,0,0,0,0,0,0,0.0296829881354996,0,0
