,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600111.SH,X600157.SH,X600299.SH,X600362.SH,X600188.SH,X601158.SH,X000027.SZ,X600583.SH,X601992.SH,X000539.SZ,X000792.SZ,X600309.SH,X000630.SZ,X600623.SH,X600021.SH,X000883.SZ,X000709.SZ,X000898.SZ,X600352.SH,X600660.SH,X002466.SZ,X600098.SH,X002470.SZ,X600160.SH,X601918.SH,X600863.SH,X600489.SH,X600307.SH,X600808.SH,X000060.SZ,X600578.SH,X000629.SZ,X002004.SZ,X600547.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.393223923024201,0,0,0,0,0,0.124430709086849,0,0,0,0,0,0,0,0,0,0,0,0.0181282714727242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544566767790991,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0129048286587405,0,0,0.0173717749442628,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.1167287440811,0,0.0770055558026497,0,0,0,0,0,0.02714062738933,0.0435332957766395,0,0,0,0,0.0903154579466773,0,0,0,0,0,0,0,0,0,0,0,0,0.063578405393358,0,0,0,0,0,0,0,0.0581191758454393,0,0,0,0,0,0,0,-0.00219548371395977,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0782020374624401,0,0.0460925872070617,0,0,0,0,0,0.427873128979269,0,0,0,0,0,0,0,0,0,0,0.0687276996181697,0,0,0,0,0,0,0,0,0,0,0,0.126412650047327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232185340624137,0,0,0,0,0,0,0
X600011.SH,0,0,0.0565144017814517,0,0,0,0,0,0,0,6.93889390390723e-18,0.333830457329971,0.1222445312839,0,0,0,0,0,0,0,0,0,0.065789027136291,0,0,0,0,0,0,0.16218125210098,0,0,0,0,0,0,0.0998317332885202,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00720633470665662,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0118828845824737,0,0,0,0.123875990062838,0,0,0,0,0,0.00885688298243915,0,0,0,0,0,0,0,0,0.20257777755085,0,0.0710582399138237,0,0,0.0635668874861864,0,0,0,0,0,0,0,0,0.306683992793104,0,0,0,0,0,0,-0.0124200426543774,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0840934682342125,0,0,0.136288072337752,0,0,0.0774925332043251,0.0565685397891315,0,0,0,0.0768188216874053,0,0,0,0,0,0,0.0259122664173137,0,0,0,0,0,0,0,0,0,0,0,0.0569432680999436,0,0,0,0,0,0,0.00201208966720402,0,0,0,0,0,0,0,0,-0.0200728417630327,0,0,0,0,0,0,0
X600585.SH,0,0,0.194982456917062,0,0,0,0,0,0.117358575325956,0,0,0,0,0,0,0,0,0,0.0696801153585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234673611613707,0,0,0,0,0.111510812193834,0,0,0.00512282713789214,0,0,0,-0.0282613704149952,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189175645605188,0,0,0,0.11133118172301,0.13612543514283,0,0,0,0,0,0,0,0.163643644677116,0,0,0,0,0,0,0,0,0,0.22227247174547,0,0,0,0,0,0,0,0,0,0,0,-0.0284893031237213,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167570091377525,0.191739861844774,0,0,0,6.93889390390723e-18,0.0724367651939236,0.133367350451565,0,0,0,0,0.00633951703093422,0,0,0,0.0195719136195569,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,-0.011085234946309,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.160789490766043,0,0,0,0,0,0,0,0.143600823894671,0.0415369005474486,0,0,0,0,0,0,0,0,0,0,0.0150503332571204,0,0,0,0,0,0,0,0,0,0,0,0,0.125723712980006,0.17214003171824,0,0,0,0.140653230432133,0,0,0,0,-0.0277656603200618,0.00653877929794926,0,0,0,0,0,0
