,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600688.SH,X300072.SZ,X600362.SH,X600660.SH,X600795.SH,X601992.SH,X600547.SH,X002466.SZ,X601991.SH,X600516.SH,X000898.SZ,X600111.SH,X600886.SH,X600176.SH,X000786.SZ,X000709.SZ,X002460.SZ,X600157.SH,X000553.SZ,X000792.SZ,X600352.SH,X600027.SH,X601699.SH,X002271.SZ,X600808.SH,X600489.SH,X000959.SZ,X000825.SZ,X000983.SZ,X600219.SH,X600299.SH,X002110.SZ,X000408.SZ,X600583.SH,X601158.SH,X002092.SZ,X000830.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.387941042596184,0,0,0,0,0,0,0,0,0,0.0710895135658843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181634931599163,0,0,0,-0.0257361772931576,0,0,0.00302215357240348,0.00145680854662498,0,0,0,0,0,0
X600028.SH,0.235643347146255,0,0,0,0,0,0,0,-0.0156734356815758,0,0.328654319969537,0,0,0,0,0,0,0,0,0.0211424408296769,0,0,0,-0.0229335363572287,0,0,-0.0144909940972882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136925456448126,0,0,0.230271727356992,0,0,-0.0832284176976382,0,0,-0.00067604123391818,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.102754635938754,0.187696207299972,0,0,0,0,0,0,0,0,0,0,-0.0058868577909485,0,0,0,0,0,0,0,0,0.0219157895539421,0,0,0,0,0,0,0,0.0794622106652898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138684238440367,0,0,-0.00368937357975089,-2.16840434497101e-19,0,0,0,0,0,0
X600019.SH,0,0,0.161018847227089,0,0.180919962431704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339699623993374,0.320509087451104,0,0,0,0,0,-0.119779502239693,0,0,0,0,0,0,0,0.116621698895792,0,0,0,0,0,0,0.0285593228109297,0,0,0,0,0,0,0,0.00706151810329207,0,0,0,0,0,0,0
X600585.SH,0,0,0.149199489702524,0,0,0,0,0,0.34171191744866,0,0,0,0.0393145615134639,0,0,0,0,0,0,0,0,0,0,0.085581173471031,0.264730534277021,0,0,0,0,-0.214050260619916,0,0,0.00086530339902844,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0362655884347229,0.0355826196144298,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.048751712618941,0,0,0,0,0,0,0,0,0,0,0.00807574804475585,0,0.234497536773128,0,0,0.0228611097847003,0,0.00552156031668964,0,0.00707427835922879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0432141936939913,0,0,0,0.00508970527969263,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.0898109643700283,0,0,0,0,0,-0.121966466735061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192015232423298,0,0,0,-0.0217113616483905,0,0,0,0,0,0,0,0,0.0644266527516105,0,0,0,-0.0267266120601454,0,0,0,0,0,0,0,-0.0428636321084217,0.06652138757531,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0165706418645421,0,0,0.010080349358635,0,0,0,0,0,0,0,0.0127372392423454,0,0,0,-0.0689565387685244,0,0,0,0,0,-0.0150620798656484,0,0.102263994308466,0,0,0,0,0,0.0282382836511375,0,0,0,0.0511323200904909,0,-0.0207632532701627,0,0,0,0,0,0,0.00501683884701056,-0.045035237153101,0,0,0,0,0
X600188.SH,0,-0.121832163081942,0,0,0.159611729043438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039170973273072,0.0762449317521948,0,0.20842910696368,0,0,0,0,0,0.379122144355551,0,0,0,0,0,0,0,0,0.0691663378290719,0,0,0,0,0,0,0,0.0196243825399905,-0.0110863523392094,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.161979054945579,0,0,0,0,0,0,0,0,0,0,0.00492350138095277,0,0,0,0,0,0,0,0,0.00954548312817136,0.0394436484892044,0,0,0.104792683966641,0,0,0,0,0.0526581334176512,0,0,0,0,0,0,0,0.0288915784949971,0,0,0,0,0.0100937786861738,0,0,0,0,0,0
