,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X601898.SH,X000792.SZ,X600019.SH,X600011.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X600795.SH,X000301.SZ,X600547.SH,X600886.SH,X000877.SZ,X601600.SH,X002271.SZ,X601991.SH,X600426.SH,X600362.SH,X600027.SH,X600803.SH,X000983.SZ,X600176.SH,X601699.SH,X600160.SH,X600348.SH,X000408.SZ,X000629.SZ,X000723.SZ,X600378.SH,X600995.SH,X600219.SH,X600096.SH,X600489.SH,X000786.SZ,X600157.SH,X002353.SZ,X000933.SZ,X600399.SH,X600985.SH,X600688.SH,X000807.SZ,X600141.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.117802664816874,0,0,0,0,0,0.160622024090572,0,0,0,0,0,0,0,0,0,0,0,0,0.0710300585549603,0,-0.0117537224403462,0,0,0,0,0.0328413584716014,0,0,0,0,0,0,0,0,-0.0137031597794779,0,0,0.0330519905003551,0,0,0.121887802273689,0,0,0.0232684242173808,0,0,0,0,-0.0129936295020072,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.30478385320335,0,0,0,0.217864757998703,0,0,0,0,0,0,0,0,-0.0245192453847581,0,0,0,0,0,0,0,0,0,0,0.106318926880204,0,0,0,0,0,0,0,0,-0.0142881273104181,0,0,0,0.0869106187178511,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X600028.SH,0.153519189968172,0,0,0,0,0,0,0,0.0124037413731175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945535914642646,0.05207899538703,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0400325900772355,0,0,0,0,-0.0144070591075563,0.0028605987868811,0,0.0218453353763763,0,0,0.0111833583938782,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369987024553724,0,0,0,0,0,0,0,0,0.0708054312323101,0,0,0,0,0,-0.0434442387239359,0,0,0,0,0.00425587513673855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282725266674309,0,0,0,0,0,0,0
X600188.SH,0,0.991769118620182,0,0,0,0,0,0,0.00198144792034017,0,0,0,0,0,0,0,0,0.158271349827378,0,0,0,0,-0.0337268750655169,0,0,0,0.0800650832958382,0,0,-0.152023606845316,0,0,0,0,0,0,0,0,0,0,-0.0393922236756795,0,0,0,0,0,0,0,0,0,0,-0.071596158954754,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.381495107853457,0,0,0,0,0,0.0608947356564099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0764107669625684,0,0,0,0,0.0770216142768173,0.049695203888321,0.0322617981147743,0,0,0.0281392750102808,0,0,0,0,0,0,0.00272386227644768,0,0,0,0.00410674715143698,0,0,0.0597399817973855,-0.02852553608628,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.594227947253297,0,0,0,0,0,0,0,0,0,0,0,0.043832479955132,0,0,0.0718723102863116,0,0,0,0,0,0,0,0,0,0,0.0730242434953945,0,0.400282582646667,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0382236507460433,0,0.0973520392312138,0,0,0,0,0,0.0449472830003037,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0350895056483812,0,0,0,0.0865700089824434,0.0623819697651422,0,0,0,0.0897262741782511,0,0,0.0680416243371039,0,0,0,0,0,0,-0.0693257539817149,0,0,0,0,0,0,0,0,0.0997679375218782,0,0.305780001982915,0,0,0,0,0,0,0,0,0,0.0366429186592957,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.00594769518374744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0456118591684313,0,0,0,0,0.201368622925785,0.357048360659454,0,0.114292272375239,0,0,0,0,0,0,-0.0383845482998858,0,0,0,0,0,0,0.163304293910204,0,1.73472347597681e-18,0,0,0,0,0,-0.0088632241937709,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.206274639274431,0.0512359496477559,0,0,0,0,0,0.120480759609618,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.181138291398394,0.0386496444151048,0,0,0,0,0.0117272922877897,0,0.129470096235768,0,0,0,0,0,0,0.173000462923281,0,0,0,0.0353058125862571,0,0,0,0,0,0
