,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600188.SH,X600010.SH,X600362.SH,X600111.SH,X600027.SH,X600309.SH,X600688.SH,X601992.SH,X600583.SH,X000898.SZ,X601158.SH,X000709.SZ,X000792.SZ,X600352.SH,X600489.SH,X000883.SZ,X000539.SZ,X600547.SH,X000630.SZ,X000831.SZ,X000629.SZ,X002353.SZ,X000027.SZ,X000825.SZ,X600808.SH,X600549.SH,X600578.SH,X000983.SZ,X601699.SH,X600008.SH,X600863.SH,X600660.SH,X600307.SH,X600315.SH,X600348.SH,X000937.SZ,X600098.SH,X601168.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0,0.281932774095509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487929967128417,0,0,0,0,0,0,0.191778456975908,0.0841993818816692,0,0,0,0,0.113033766514321,0,0,0,0,0,0,0,0,0,0,0,-0.0196713331604017,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0.0522665652390577,0,0,0,0,0,0,0,0,0,0,0.32280321215592,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0799260387674406,0,0,0,0,0,0,0,0,0.0578849530803119,0,0,0,0,0.0285146001119457,0,0,0,0,-0.0251064686288682,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0.0914175652453075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605609854265735,0,0,0,0,0.0590008381723033,0,0,0,0,0,0,0,0,0,0.0602588580181643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118864315124884,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.084837163372489,0,0,0.135032940466465,0,0,0,0.140197759167586,0,0,0,0,0,0,0,0,0,0.0686874367126348,0,0,0,0,0,0,0,0,0,0,0,0.0867494035370217,0.0898987816161183,0,0,0,0,0,0,0,0.0629330318034963,0,0,0,0,0,0.157844713178206,0,0.0118924865878796,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0.0425728886720772,0,0,0.0596021157785889,0.0203572669732617,0,0,0.112933765459441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194302677933608,0,0,0,0,0,0,0,0,0,0,0,-0.0287081886464121,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0.132132777919622,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.023827941432421,0,0,0,0,0.368929669045763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256727903249486,0,0,0,0,0,0,0,0.206382908537605,0,0,0,0,0,0.142707406072606,0,0,-0.00475415829010093,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,-0.0813921998818183,0,0,0,0.12151748351286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0858516489425871,0.0670591261693359,0.0510761719611275,0,0,0,0,0,0.0194594310327528,0,0,0,0.0521352126700985,0,0,0,0.0652210935134647,0,0,-0.0191858367161207,-0.0209407859376516,0,0,0,0,0,0
X600352.SH,0,0,0,0,-0.092703955349518,0,0,0,0,0,0,0.0381023690863579,0,0,0.181583407497074,0,0.0112151640965056,0,0,0,0,0,0,0,0,0,0,0,0.0579066219924448,0,0.201260111204809,0,0.173482417000526,0,0,0,0,0,0,0,0,0,0.171469104827315,-0.00590862404465581,0,0,0,0,0,0,0,0.0356903631766283,-1.0842021724855e-19,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0.186149279066517,0,0,0,0,0,0,0,0,0,0.00896829136961634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119526343995038,0,0.019693217732053,0,0,0,0,0,0,0,0,0,0,0.32858420750063,0,0,-0.0219419965032493,-0.0105078425535713,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0318590914308634,-0.334087905166473,0,0,0,0,0,0,0,0,0.0789360463611847,0,-6.93889390390723e-18,0,0,0,0,0,0.0657323468216156,0,0,0,0,0.142703105884277,0,0,0.0276074148642793,0,0.130012481565323,0,0,0,0,0,0,0,0,0,0,0,0.0481888286158804,0.0116824100194588,0,0,0,0,0,0
