,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X000877.SZ,X002271.SZ,X600011.SH,X601898.SH,X600010.SH,X000708.SZ,X601600.SH,X600547.SH,X600660.SH,X000301.SZ,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000723.SZ,X000786.SZ,X000983.SZ,X600803.SH,X601699.SH,X600219.SH,X000408.SZ,X000807.SZ,X600096.SH,X600795.SH,X601991.SH,X600801.SH,X002080.SZ,X002353.SZ,X601666.SH,X000630.SZ,X600985.SH,X600489.SH,X000825.SZ,X600688.SH,X300073.SZ,X000932.SZ,X600486.SH,X600141.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247516448577836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152346490371971,0,0,0,0.130629254515368,0,0.1204107467287,0.0411361185026468,0,0,0,0,0.102900376512018,0,0,0,0.087407890977664,0,0,0,-0.0184343472152379,0,0,0,0.0395181503979435,0,0
X601088.SH,0.0254600259613141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129110987619881,0,0,0,0,0,0,0,0,0,0,0,0,0.0407768885053187,0,0.058234069552018,0,0,0,0,0,0,0,0,0,0.157697095422101,0,0.099879542097964,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0.0133170068501225,0,0,0,0.0500178772649165,0,0
X600028.SH,0.128233527593454,0,0,0,0,0.0346719839025793,0,0,0,0,0,0,0,-0.020108684112305,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0280088911367224,0,0,0,0,0,0,0,0,0,0,0,0,0.00602007342649573,0,0,0,0.254221142893611,0,0,0,0,0,0,-0.0128731495215912,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0361011396794928,0,0,0,0.0626197627787862,0,0,0,0.140736262408216,0,0,0,0,0.000283695607491812,0,0,0.0529069616761001,0,0,0,0,0,0,0,0,0,0.091953731962293,0,0.0712240337413522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580432194558743,0,0,0,0,0,0,0,0,0,0.476039783169793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00898651700179103,4.33680868994202e-19,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.0226588503323372,0,0,0,0,0,0,0,0,0,0.0384938716988695,0,0,0,0.0571373280088347,0,0.130907828004699,0,0,0,0,0.326157740233944,0,0,0,0,0,0,0,0,0,0,0,0.253295804763546,0,0,0,0,0,0,0,0,0,0,0,0,0.043769004733798,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.139345755383472,0,0,0.358461404486715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189006891031679,0,0,0,0,0.122498397619578,0,-0.0330166634920055,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.0411036264120427,0.463671754820519,0,-0.0400550460413874,0,0,0,0,0,0,0,0,0,0,0,0,0.220401966503203,0,-4.33680868994202e-19,0,0,0.00676537043833836,0.0563750331433034,0,0.152636354865036,0,0,0,0,0,0.0426026620947852,0,0,0,0,0,0,0,0,0,0,0,-0.0191238395003636,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.148488937407065,0,0,0,0,0,0,0,0,0.0864082609702854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.117513321699121,0,0.135416088431936,0,0,0,0,0.0550667597435014,0,0,0,0,0.246526579977265,0,0,0,0,0,-0.00915205040300167,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0.510238957563806,0,0,0,0,0,0,0,0,0.0104224727720564,0,0,0,0,0.132370054704897,0,0,0,0,0,0.074272632540874,0,0,0,0,0,0.0854822532726392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166525741067848,-0.0277755118426408,0,0,0,0,0,0
