,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X600585.SH,X002460.SZ,X000792.SZ,X601898.SH,X600011.SH,X000301.SZ,X600019.SH,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X600886.SH,X000877.SZ,X600795.SH,X600547.SH,X601600.SH,X002271.SZ,X601991.SH,X600803.SH,X600426.SH,X600027.SH,X600176.SH,X600362.SH,X000983.SZ,X601699.SH,X000723.SZ,X000629.SZ,X600348.SH,X600096.SH,X000408.SZ,X000786.SZ,X600160.SH,X600141.SH,X002353.SZ,X600157.SH,X600219.SH,X002080.SZ,X300073.SZ,X000933.SZ,X600985.SH,X600378.SH,X600801.SH,X600489.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.126115810333467,-0.0641799460953448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552632064997523,0.195064631699933,0,0,0,0,0,0,0,0,0,0,0,-0.00386153588028122,0,0,0,0,0,0,0,0,0,-0.00557197761533293,0,0,0,0,0,0
X601088.SH,0,0,0,0.0221461931084132,0.247210033318165,0.171307482147469,0,0,0,0.289524788699011,0.188356631891428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104375430278345,0,0,-0.0141318184788131,0.036499436941268,0,0,0,0,0,0,0,0,0,0,0.0493734439606084,0,0,0,0,-0.0707072246373963,0,0,-0.0040398410953336,0,0,0,0,0,0
X600028.SH,0,0,0,0.0237474765388698,0,0,0,0,0,0,0.00642857187385763,0,0,0,0,0.0357071387399959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463706725702568,0,0,0,0,0,0,0,0,0,0.0106180033637298,0,0,0,0,0,0,0,0,0,0,0,0.00538758220286392,0,0,0,0,-0.0322374138931944,0,0
X600309.SH,0,0.103799416258096,0,0,0.0691937496846056,0,0,0,0.0433494020557881,0.018691130965083,0.0089117424326862,-0.0052901831210364,0,0,0,0,0.00888608691937695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821773072446143,0.0129805859665212,0,0,0.122267354274051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.0242991172023166,0,0,0,0,0,0,0,0.570334964556484,0,0.00208875423119374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218426967711664,0,0,0,0,0.0277507778530743,0,-0.0328618484428557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107652588396421,0,0
X002466.SZ,0,0,0,0,0,0,0,0.493720706485999,0.122295906275557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108644586344549,0,0,3.46944695195361e-18,0,0,0,0,0,-0.109689633458365,0,0.0858082139111365,0.305844716714812,0,0,0.105345760709815,0.00478419240041517,0,0,0.0209428526080956,0,-0.0754028441995509,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0
X600585.SH,0,0,0,0.0255962852039966,0.00702493321021945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285258831149549,0,0,0,0,0,0,0,0,0,0,0,0.055434410816269,0,0,0.0462833546208043,0,0.0233701583472806,0.0129238316410643,0,0,0.0256675865224749,0,0.0334323122598887,0,0,0,0,0.400675507328561,0,0,0,0.0525268835439616,0.0110678560322782,0,0,0,0.0056539225094198,0,0
X002460.SZ,0,0,0,0,0,0.255221132118273,-0.259401667372645,0,0,0,0,0.0292051882217122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943072343994519,0,0,0,0,0,0,0.226715834574059,0,0,0,0,0,0,0,0,0,0,0,0,0.0264759902562104,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0.0629344936772644,0,0.163695809208363,0,0.162142256470404,0,0,0.0968716182685213,0,0,0,0,0,0.0498297494122989,0.0643282680373651,0,0,0,0.0891265015725676,0,0,0,0,0,0,0,0,0,0,0,0.0609419762611072,0,0.120872789383785,0,0,0,0,0,0.139429449302272,0,-0.0803825223732446,0,0,0,0,0,0.0234438953880265,0,0,0.0345970707709482,0,0,0,-0.0593791437160848,0,0
X601898.SH,0,0.0814483096946245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364082913009978,0,0,0,0,0.181571848978829,0,0,0,0,0.254657037635325,0,0,-0.0447981913897419,0,0,0.0406476408688704,0,0,0,0,0,0,-0.0175302511415028,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311089202543135,0,0,0,0,0,0,0,0.0866779891661638,0,0.693880696800314,0,0,0,0,0,0.121880225590719,-0.0177133158021748,0,0,0,0,0,0,0.329149983447642,0,0,0,-0.0381999092323144,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.0878666536527497,0,0
X000301.SZ,0,0,0,-0.191871370724844,0,0,0,0.15637148408709,0,0,0,0,0,0,0,0.111942652347223,0,0,0,0,0,0,0,0,0.228319302348656,0,0,0,0,-0.0817903792957002,0,0,2.16840434497101e-19,0.0188187830434413,0,0,-0.150852535928325,0,0,0,0,0,0.318536280182955,0,0,0,0.0108242839875757,0,0,0,0,0,-0.0219841230237454,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0238195752889348,0,0,0,0.0687073080675271,0.03267340985901,0.0146005081572118,0,0,0,0.00910157651874879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724101082132723,-0.0149462252817223,0,0,0.211855428527923,0,0,0,0,0.0130808334005507,0,0,0.0698873967346827,0,0,0,0,0,0,0,-0.0390967724050992,0,0,0,0,0,0
