,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X000877.SZ,X600010.SH,X002271.SZ,X600660.SH,X600011.SH,X000708.SZ,X600188.SH,X601600.SH,X000301.SZ,X601898.SH,X600547.SH,X600362.SH,X600886.SH,X600176.SH,X000723.SZ,X600426.SH,X000786.SZ,X600219.SH,X600803.SH,X000408.SZ,X002080.SZ,X601991.SH,X600795.SH,X600688.SH,X600801.SH,X600027.SH,X300037.SZ,X600352.SH,X000825.SZ,X002353.SZ,X000807.SZ,X300073.SZ,X600489.SH,X000959.SZ,X600157.SH,X002326.SZ,X000932.SZ,X600516.SH,X600486.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159965254567697,0,0,0.154321406678385,0,0,0,0,0.0437597212180112,0,0,0,0,0,0,0,0,0,0,0.0207124322189086,0,0,0,0,0,0,0,0,0,0,0,0.0904255964328631,0,0,0,-0.00946910510572737,0,0,0,0,-0.121657405711776,0,0
X600028.SH,0.255924943067658,0,0.0430091154737432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356743824982145,0,0,0.037813924138899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244650164034079,0,0,0,0,0,0.0360924287631971,0,0,0,0,0,-0.0247873967801244,0,0,0,0,0,-0.0194377286615161,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246591899664133,0,-0.0432078830392452,0,0,0,0,0,0.0340419582921697,0,0,0,0,0,0,0,0,0.177850861321253,0,-0.0250944432493509,0,0,0.0705369362322058,0.108639816559968,0.00812527496433888,0,0,0,0,0,0,0,0,0,0,-0.0151596949363113,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0215888467890615,0,0.068525027100495,0,0,0,0,0.0456338293038683,0.0270781353144829,-0.0133105314805042,0,0,0,0.0106234665129719,0,0,0,0,0,0,0,0.157688676352585,0,0,0.0414808445802866,0.0505161922189599,0,0,0,0,0,0,0,0,0,0,0,0,0.0532839654791229,0,0,0,0,0,0,0,-0.0105354670405605,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165188388140119,0,0,0.140480266218066,0.0375820049091972,0,0,0,0,0,0,0.207345740515014,0,0,0,0,0,0,0,0,0,0,-0.0787285233575405,0,0,0,0,0,-0.00204243777943785,0,0,0,0,-0.0462801968646993,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.583873856763222,0,0,0,0.128379297588836,0,0,0,0,0.061044236216905,0,0,0,0,0,-0.103473112047283,0,0,0,0,0,0.111751792485522,0,0,0,0,0,0,0,0,0,0,0.0499188764719283,0,0,0,0,0,0,0,0,0,-0.00158471617336103,0,0,0,0,-0.0667582258330075,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.0227053144415772,0.270910549425028,0,0.0796192488135077,-0.0394558919529118,0,0,0,0.100292745293904,0,0,0,0,0,0,0,0.0367908268402544,0,-0.120875509422079,0,0,0.279389803441521,0.105128720344487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0167061474082503,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150892279972193,0,0.00111631520455304,0,0,0.0631704173228358,0,0,0,0.0682294676800432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846026219463424,0,0,0,0,0.07677718480488,0,0,0.0147004107174983,0,0,0,0,-0.00538826534996633,0.0585084090248841,0,0,0,-0.0226149657366997,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.504112648605556,0,0.248276453098001,0,0,0,0,0,0,0.0469013852896157,0,0,0,0,0,0.0252561072993963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00824043686002432,1.73472347597681e-18,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.618766099562833,0.250263662949415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237083253302201,0,0,0,0,0,-0.0491958966305492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00847316738160019,0.0370860655316504,0,0,0,0,0,0
