,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X601158.SH,X600583.SH,X601992.SH,X600309.SH,X000539.SZ,X000027.SZ,X000630.SZ,X000709.SZ,X000898.SZ,X000883.SZ,X002470.SZ,X600352.SH,X600021.SH,X600660.SH,X601918.SH,X000792.SZ,X600098.SH,X600623.SH,X600489.SH,X600863.SH,X300072.SZ,X002004.SZ,X600022.SH,X600547.SH,X600578.SH,X600808.SH,X000629.SZ,X600008.SH,X600307.SH,X000060.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171677038636359,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308064909216782,0,0,-0.264752899118895,0,0,0,0,0.13489750514356,0,0,0,0,0,0,0.0733532311076615,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0.473295700429322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160429641414057,0,0,0,0,0,0,0,0.0660702915617265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.0825072569725332,0,0,0.0285473068051705,0,0,0,0,0,0,0,0,0,0,0,0.129731362262054,0,0,0,0,0,0,0,0.212010001891493,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.149272386151864,0.0154594013159557,0.207937445730356,0,0,0.0026359707992779,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0.0694811395133373,0,0,0.0463238429128775,0,0,0,0,0,0,0,0,0,0.016079431092889,0.0830636600867027,0,0.00644310844761434,0,0,0.0550890542545132,0,0,0,0,0.0124787701076487,0,0,0,0,0.104397351226543,0,0,0,0,0,0,0,0,0,0,0,0,0.016237004265427,0.283854581913531,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.122862042921653,0,0,0.0202961285808346,0,0,0.139292126870046,0,0,0,0,0,0,0,0,0,0,0,0,0.163073550465192,0,0,0.12783889974179,0,0,0,0,0,0,0,0,0.0296547398099819,0,0,0,0,0,0,0,0,0,0.0662479193330019,0,0.130466080880667,0,0,-0.0163518942485616,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0.205237228783456,0,0,0,0,0.0247346008660747,0,0,0,0,0,0,0,0,0.233505047404763,0,0,0,0,0,0,0,0,0.0161506597032487,0,0.0470679614372717,0,0,0,0,0,0,0,0.23614587597148,0,0.0589576947973189,0,0,0,0,0,0.0174871887874258,0,0,0,0,0,0,0
X600583.SH,0,0,0.0316391427443544,0,1.73472347597681e-18,0,0,0.0164921000365066,0,0,0,0.026091938926967,0,0,0,0,0.135065293920278,0.0461017181769177,0,0,0,0,0,0,0,0,0,0.0143032406504169,0,0,0,0,0,0,0,0.0543579756310043,0,0,0,0,0,0,0,0,0,0.0265054786828419,-6.93889390390723e-18,0.246742909740798,0,0,-0.045691360057424,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0.0294077505020157,0,0,0,0,0,0,0.0460054206129288,0.0891665216265119,0,0,0,0,0,0,0,0,0,0,0.0213067203560047,0,0,0,0.203020852784458,0.213171304067733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201279072860021,0,0,-0.0412755017656592,0,0,0,0,0,0,0
X600309.SH,0,0,0,0.0826703757036029,0,0.0799131921075902,0,0,0,0,0,0,0,0,0,0.0844631055141459,0,0,0.0929874868769597,0,0.323614619100346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359175963890478,0,0,0,0,0,0,0,0,0,0,0.0483908493296816,0,0,0,0,-0.00299218089947433,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0.293621429066317,0,0,0,0,0,0.0744846881773074,0,0,0,0,0,0,0.159146250126208,0,0,0,0,0,0,0,0.0464278069232281,0,0.0418931566479244,0,0,0.0287060388927079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134251177575175,0,0,-0.0116687937136195,0,0,0,0,0,0,0
