,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X000877.SZ,X600011.SH,X002271.SZ,X600010.SH,X600660.SH,X600188.SH,X000708.SZ,X601600.SH,X000301.SZ,X600547.SH,X601898.SH,X600362.SH,X600886.SH,X000723.SZ,X600176.SH,X600426.SH,X000408.SZ,X000786.SZ,X600219.SH,X600803.SH,X002080.SZ,X601991.SH,X600795.SH,X600027.SH,X600688.SH,X600399.SH,X600801.SH,X300037.SZ,X300073.SZ,X002326.SZ,X600352.SH,X000825.SZ,X002353.SZ,X600489.SH,X600157.SH,X600516.SH,X000959.SZ,X600486.SH,X000807.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390062349844515,0,0,0,0,0.126932458797468,0,0,0.0285333693054973,0,0,0,0,0,0,0,0,0,0.066486488678408,0.0377179127007826,0,0,0,0,0,0,0,0,0,0,0.0528171214673741,0,0,0,0,0,-0.015943486848005,0,0,0,0,-0.0777498028121878,0,0
X600028.SH,0.177422240546405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516622720985218,0,0,0,0,0.0437758329688848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827119357765609,0,0.00379824039453561,0,0,-0.0244238573207325,0,0,0.011004075855723,0,0,0,0,0,0,0,0,-0.0232818201818902,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243270793352407,0,0,-0.0229188235560626,0,0,0,0,0.0535606238330181,0,0,0,0,0,0,0,-0.0161165300768436,0,-0.0212271564337334,0.163842343385063,0,0,0,0,0,0,0.0556739759294639,0.0873308214961131,0,0,0,0,0,1.73472347597681e-18,0,0,-0.016501975870842,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0189108206776926,0,0,0,0,0,-0.0221455741524813,0,0,0.0158471113160342,0,0,0.0337426836595304,0,0,0.058600889148592,0,0,0,0,0,0.0170836173167678,0.152939595271208,0,0,0.0708635399827115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237132938353976,0,0,0,0,0,0.00641474343028649,0,0,0,-0.00646481192607779,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139094174176724,0,0,0.0987100425926181,0,0,-0.0260679032037717,0,0,0,0,0,0.214293136290055,0,0,-0.00271755845556639,0,0,0,0,0,0,0,0,0,0,0,-0.0226384336730724,0.0185495200044859,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.589462635835463,0,0,0,0,0.15614960834597,0,0,0,0.0294375475537907,0,0,0,0,-0.0954544813911942,0.0584832564288854,0,0,0,0,0,0.112312219470867,0,0,0,-0.0424194243286792,0,0,0,0.12097193554513,0,0,0,0,0,0,0,0,0,0,0,0,-0.00727413652013501,0,0,0,0,-0.0668504642216581,0,0
X000792.SZ,0,0,0,0,0,0.0908119680130985,0,0,0,0.265732645407495,0,0,-0.00330057353763907,0.217837994053472,0,0.062296714470042,0,0,0.0787072200085112,0,0,0,0,0,0,0,0.109598550477089,0,0,0,0.0385102522026421,0,0,0,0,0,0,0.00774445514359871,0,0,0,0,0,0,0,0,0,0,0,-0.148891015237393,0,0,0.0204037223670512,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0157406468274227,0,0,0,0,0.00595877255161109,0,0,0,0,0,0.118378024013363,0,0,0,0,0,0,0,0.00473805474767689,0,0,0,0,0,0,0,0,0,0,0.0939393596637086,0,0,0,0,0.0385206362089831,0,0.181843456195655,0,0,-0.0252429554774488,0.0305108745627761,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.499886533273548,0,0.0249810080559646,0,0.277769198653589,0,0,0,0,0.0403820552187811,0,-0.0428624456962455,0,0,0.023774297379934,0,0,0,0,0,0,0,0,0,0,0,0.0123906024718245,0,0,0.0118939405132059,0,0,0,0,0,0,0,0,0,0,0,0,-0.00720246112481338,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.624807885385399,0.255142904755746,0,0.044574708715299,0,0,0,0,0,0,0,0.0373840610029816,0,0,0,0,0,0,0,0,0,0.048394900564135,0,0,0,0,0,0,-0.058502169604039,0,0,0,0,0.158832007661492,0,0,0,0,0,0,0,0.0171186873496415,0,0,0,0,0,0.00837013191670509,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0.0412684274691298,0,0,0,0,0,0,0,0.10567506181494,0.0173549402214698,0,0,0,0,0,0,0,0,0,-0.0698659630854286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849768140541582,0,0,0,0,0,0,0,0.0205552789640235,0,0.201442801345337,0,0,0,0.0210522202124168,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.040128627261139,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120730981831893,0,0,0.473951839091926,0,0,0,0,0,0,0,0,0,0,0.28335749764743,0,0,0,0,0,0,0,-0.00342405303655667,0,0,0,0.0414901372749707,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0830303050970518,0,0,0.0251910645600274,0,0,0.0925879695424379,0,0,0,0,0,-0.0281478137831609,0,0,0,0.836143418205011,-0.0419010494630419,0,0,0,0,0,0,0,0,0,-0.0197701117134132,-1.73472347597681e-18,0,0,0,0,0,-0.0588188232639497,0,0,0,0,0,-0.0199349432519751,8.67361737988404e-19,0,0,0,0,0,0
