,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X002271.SZ,X600660.SH,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X000301.SZ,X600362.SH,X002466.SZ,X000786.SZ,X600111.SH,X600010.SH,X600886.SH,X600011.SH,X600176.SH,X600188.SH,X600426.SH,X000027.SZ,X601991.SH,X600795.SH,X600803.SH,X600801.SH,X600489.SH,X600219.SH,X600352.SH,X000932.SZ,X000807.SZ,X000898.SZ,X600688.SH,X600315.SH,X000825.SZ,X002353.SZ,X600157.SH,X000408.SZ,X000959.SZ,X002080.SZ,X600486.SH,X600027.SH,X000966.SZ,X000883.SZ,X300037.SZ,X600516.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.196293311596351,0,0,0,0,0,0,0,0,0,0,0,0,0.0432746603355828,0.00810081757707518,0,0,0.0184165000907059,0,0,0,0,0.0443153773275609,0.0430092388257725,0,0,0,0,0,0,0,0,0.00381365930226512,0.0188601735361756,0.0458273717634138,0,0.0810385392718358,0,0,0,0.00636047221191163,0,0,0,-0.00959312691390387,0,0,0,0,0,0,0,0,0,0,0.000650935256417568,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.1406730226642,0,0,0,0,0,0,0,0,0,0,0.174008952412371,0,0,0,0,0,0,0.0375293401554559,0,0,0,0.125539914630548,0,0.0220298807023154,0,0,0,0,0,0,0,0,0,0.0117415945985744,0,0,0,0,0.0667727910459265,0,0,0,0,-0.0153331138816888,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.025743194604138,0,0,0.0709442704942813,0,0,0,0,0,0,0.0906545208948365,0,0.0492576977029209,0,0,0,0,0,0.104504095593513,0,0,0.00855339719164154,0,0,0,0,0,0,0,0.0384480508878345,0,0,0,0,0.0291487388182928,0,0.0589688310231318,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0
X600309.SH,0,0,0,0,0,0,0.128707356719975,0,0,0,0,0,0,0,0,0,0.151991167065025,0.22899559407968,0,0,0,0.0574402812987382,0,0.047364969695295,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0204515333291205,0,0,0,0,0,0.0612013759046712,0,0,0,0.0468336473054312,0,0,0,0,-0.100120537812362,0,0,0,-0.0200837352822377,0,0
X600585.SH,0,0,0,0,0,0,0.00180742178462994,0,0,0,0,0,0,0,0,0.00631230125577312,0,0,0,0,0,0,0,0.0282400747335351,0,0,0,0,0.144267504143648,0,0,0,0.0598929401417399,0,0,0,0,0,0,0,0,0,0,0.0504157953335752,0,0,0,0,0.0186810990016041,0,0,-0.0028935580804254,0,0,0,0,-0.015895371425112,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868054395394325,0,0,0,0,0,0.0832002343483245,0.0429164189577334,0,0,0,0,0,0,0,0,0,0.143480692244353,0.0716092212536133,0.126748797065092,0,0,0.207476518288355,0,0,0,0,0,0,0,0.0708503422146537,0,0,0.0131466194740884,0,0,0,-0.0465200183863243,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.0949956448964293,0,0,0,0,0,0.0350850559369158,0.661591651279612,0,0,0.0972320027314586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153177013773507,0,0,0,0,0,0,0.00244534744276196,0,0.203980930320758,0,0,0,0,-0.0487016421410658,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,-0.204713407307991,0,0,0,0,0,0,0,0,0.0447341711702033,0.0544948199988557,0,0,0,0,0,0.138719038307977,0,0.204227656866993,0,0,0,0,0,0,0,0,-0.160684238792778,0,0,0,0,0.0170359098006114,-0.0383367638637799,0,0.0771135783971386,0,0,0,0,4.33680868994202e-19,-0.0330539434751059,0,0.139205992094415,0,0,0,0,0,0,0,0.0177966604468275,0,0
X600660.SH,0,0,0,0,0,0,0.21971186440237,0,0,0,-0.049230789225686,0,0,0,0,0,0,0,0,0,0,0.0735700898416951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258494504655779,0,0,-0.0784858664317643,0,0,0,0,0,-0.0282411874971896,0,0,0,-0.0121886817925377,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138250175743614,0,0.316991223077371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707466015420745,0,0.227218291983406,0,0.207950790594072,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0667985852534375,0,0,0,0,0,0
