,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600886.SH,X600011.SH,X600585.SH,X600547.SH,X601600.SH,X600660.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X000708.SZ,X600111.SH,X600803.SH,X600027.SH,X601991.SH,X002460.SZ,X000301.SZ,X600160.SH,X600426.SH,X000983.SZ,X002466.SZ,X601699.SH,X000786.SZ,X600219.SH,X600176.SH,X002128.SZ,X000807.SZ,X000630.SZ,X600985.SH,X000877.SZ,X601168.SH,X000933.SZ,X000408.SZ,X000883.SZ,X600096.SH,X000027.SZ,X002353.SZ,X000932.SZ,X600995.SH,X002271.SZ,X600378.SH,X600483.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.300772300741648,0,0,0,0,0.0705430838150046,0.102202849728014,0,0,0,0,0,0,-0.108129155454177,0.0149337500194741,0.0555176178941486,0,0,0,0,0,0,-0.0374983926701787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285584168786617,0,0,0,-0.00657966656321058,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0705881366048368,0,0
X600028.SH,0.491302698622542,0,0.0384535726910577,0,0,0.106014649164361,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.0446208099378095,0,0,0,0,0,0,0,-0.166475525772451,0,0,0,0,0,0,-0.0426268494200811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509994627782965,0,0,0,0,0,0,-0.0155507012454356,-0.016443928234999,0,0,0.0555466595465854,0,0
X601088.SH,0,0.385779210562986,0,0,0,0,0.20580985094566,0,0,0,0,0.0757644517071779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756514579436573,-0.00255494021460498,0,0,0,0,-0.0661809131363566,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,-0.0731299849705959,0,0,0,0,0,-0.000579788052467541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553124193175979,0,0.0469716623316773,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,-0.0148569018699095,0,0,0.200153668710502,0,0,0,0,-0.0546976078491234,0,0,0,0.00770222406856154,0,0
X601898.SH,0,0.0988485893670503,0,0,0,0.0174658853694394,0.13480340252208,0,0.0640712539479408,0,0.0180038649103838,0.0959904771013639,0,0,0,0,0,0,0,0,0,0.0798532774409034,0,0,0,0,0,0,0,0.135917878519725,0,0,0,0,0,0,0.190682442999937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.0432362169730872,0.119251911880457,0,0.127505660071363,0,0,0,0,0.0186985579424916,0,0,0.0781069833403641,0,0,0,0,0,0.0641432111606257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494358588704761,0,0,0,3.46944695195361e-18,0,0,0.276185959590596,0,0.0925219424329732,-0.0789195394161952,0,0,0.0252574059457798,0,-0.0311526117888458,0,0,-0.0130977772928038,0,0
X600188.SH,0.0666633934119795,0,0,0,0.158061673102079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192326037207205,0,0.374348386960178,-0.184532854161817,0,0,0,0,0,0.0338733994131257,0,0,0,0,0,0,0,0,0,0,0,-0.0540303083387887,0,0,-0.0738578659040079,0,0,0,0,0,0,0
X600886.SH,0.14923250239497,0,0,0,0,0,0,0,0,0,0,0,0,0.107060644249896,0,0.0224763254511215,0,0,0,0,0,0,0,0,0,-0.0439828762151584,0,0,0,0,0,0,-0.212169162164552,0,0,0,0,0,0,-0.0299795998277085,0,0.190281715697148,0,0,0,0,0,0,0,0,-0.101246608555785,0,0,0.0386812706756804,0,0,-0.0288893404372773,0,0
X600011.SH,0.0129009990755839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119104835531666,0,0,0,0,0.239169433722639,0.258830899131893,0,0,0,0,0,0,0,-0.0182490512047068,0,0,0,0,0,0,0,0,0,0,0.14913143964736,0,0,0,0,0,0,0,0,0,0,0.0265859799195345,0,0,0,-0.0711954651486759,0,0
X600585.SH,0,0,0.0208505704663433,0,0,0,0,0,0,0,0,0,0,0,0.0742949735377843,0.111498790446268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224499028894926,0,0,0,0,0,0,0,-0.0397353858279888,0,0,0,0,0,0,0,-0.0436572890800564,0,0,0,0,0.0130111877247176,0,0,0.0209519261302912,0,0
