,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600886.SH,X600111.SH,X600489.SH,X601992.SH,X600309.SH,X600623.SH,X600660.SH,X300072.SZ,X600299.SH,X002466.SZ,X000792.SZ,X601158.SH,X002075.SZ,X000709.SZ,X600583.SH,X000408.SZ,X000983.SZ,X000898.SZ,X000723.SZ,X000883.SZ,X600352.SH,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X002470.SZ,X000630.SZ,X000012.SZ,X601699.SH,X002460.SZ,X000060.SZ,X600021.SH,X002407.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0100295466157393,0.00675957491645647,0,0,0,0,0,0.0117985586182181,0,0,0.0477562478029305,0,0,0,0,0,0.0192253628334864,0,0,0,0,0,0,0.0775501742828796,0,0.00991568327637312,0,0,0,0,0,0,0,0,0.0335637645061912,0,0,0.0283906366209893,0,0,0,0,0,-0.00220946649716999,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0052038994888254,0,0.0376331363530537,0,0,0.0824322388729766,0.0161812090424284,-0.0116972297426485,0,0,0,0,0,0,0,0,-0.0235120238221962,0,0,0,0,0,0,0,0,0,0.0350117097184662,0,0,0.0692066770192468,0.0412014516418997,0,0,0,0,0.0176605810121078,0,0,0,0,0,0,0.0161912011602861,0,0,0,0,0,-0.00108791656179108,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.310541141694535,0,0.0832365433291141,0,0,0,0,0,0,0,0,0.0517229383110634,0,0,0,0.0308934865271373,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934754260787416,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.079989263545575,0,0,0.0111270685227299,0,0.102342132617458,0,0,0,0,0.0816814693473988,0.0114592794291095,0,0,0,0,0,0.071140648568907,0,0,0,0,0,0.0384870435141829,0,0,0,0,0.0959275750359141,0,0,0,0,0.12842103835559,0,0,0,-0.0997402220928516,0.0535779472756837,0,0,0,8.67361737988404e-19,0,0,0,0,-0.0075855137476571,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325938847338717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226867433231214,0.0260904309339493,0,0.118570994903133,0.109526981830855,0,0,0,0.0675195755731493,0,-0.0138899581533685,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0463185040594995,0,0,0,0,0.0761729987704453,0,0,0,0,0,0,0,0,0,0,0,0,0.114100940654683,0.067128487006467,0,0,0,0,0,0,0,0,0,0,0.0414140515698606,0,0,0.0390082299188068,0,0,0,0.0351950175520295,0.0537643738057482,0,0.00629658406690299,0,0,0,0,0,0,-0.0119385353308497,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,-0.074158179728912,0,0,0,0,0,0,0,0,0,0,0.0123551594680624,0,0,0,0,0,0,0,0,0,0,0.00124848003699522,0,0,0,0,0.038022693950459,0.0263268754804081,0,0,0,0.038880229363727,0,0,0,0.0339732175411732,0,0,0,0,-0.0400195413793431,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669071048818283,0,0,0,0,0,0,0.00914110621483961,0,0,0.0313720795403195,0.0108448336410003,0,0,0,0.0424452525872866,0.0867962164622153,0,0,0.00703054599617319,0,0,0,0.35523710556234,0,0,0,0,0,-0.0164261144623345,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.0380158839514655,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.042571304625002,0,0,0.0589163789945665,0,0,0,0,0,0,0.0476838295581539,0,0,0.00278819000235254,0.121715513991601,0,0,0,0,0.0307416196606627,0,0,0,0.112094323763371,0,0,0.079602441644307,0.0594123740789967,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162934558123121,0,0,0,0,0,0,0.0345441933095762,0,0,0,0.499977091116093,0,0,0,0,0,0,0,0,-0.0559479764945781,0,0.179986853043023,0.15543613559039,0,0.0952067654006559,0,0,0,0.00616511899729781,0.0344614262505374,0,0,0,0,0,0
