,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X002460.SZ,X600801.SH,X600886.SH,X601898.SH,X000792.SZ,X600010.SH,X601600.SH,X600660.SH,X600688.SH,X600362.SH,X000786.SZ,X600188.SH,X600795.SH,X600352.SH,X601991.SH,X601992.SH,X600027.SH,X600299.SH,X600111.SH,X600489.SH,X002466.SZ,X000723.SZ,X600176.SH,X600126.SH,X600426.SH,X002075.SZ,X000401.SZ,X000553.SZ,X000898.SZ,X601158.SH,X600219.SH,X600516.SH,X000932.SZ,X002353.SZ,X600583.SH,X000883.SZ,X600486.SH,X000709.SZ,X000027.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0362264283284229,0,0,0,0,0,0,0.0446467836065777,0,0.0225925156580912,0,0,0.314715700102908,0,0,0,0,0.0128128782888741,0,0,0,0,0,0,0,0,0,0,0.0802822826873938,0.0193682610947992,0,0,0,0,0.0507717212660132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000441847745943027,0.00523931271660035,0,0,0,0,0,0
X600028.SH,0.318000165655622,0,0,0,0,0,0,0.0316422237957078,0,0,0,0,0,0,0,0,0,0,0.00877034688285827,0,0,0,0,0.00422106051119119,0,0,0,0,0,0.0283168521315994,0,0,0,0,0,0,0,0,0.0216095775508451,0,0,0,0,0,0,0,0,0,0,0.00180736504366503,0,0.0295370118719095,0.00584114054867648,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0589494489860816,0,0,0,0,0,0,0.0163163672749537,0,0.0588529300878815,0,0,0,0,0,0.0562030462547602,0,0,0,0.0125236222945303,0,0,0,0,0,0,0,0.261475533054228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00466814474205668,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.00791107589023492,0.365524258346697,0,0,0,0,0,0,0,0.143109620783302,0.0904441849196712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131562258653648,0.176416220048761,0,0,0,0,0,0,0,0,0,0.0138670024404231,0,0,0,0,0.0152318387703228,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0260040475618092,0,0,0,0,0,0,0,0,0.0526027304493399,0.0575065279608122,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0736394224742821,0,0.1241613717004,0,0,0,0,0,0,0,0,0,0,0.126255574517696,0.0642289674216559,0,0,0,0,0,0,0.034178810186255,0.00950640120683459,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,-0.0275325231556773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747317556963874,0,0,0,0,0,0.0110144881229833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232741717327054,0,0,0.0157447845109695,0,0.0195788926397736,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0419213898563945,0,0,0,0,0,0.182683228892349,0,0.240838556349794,0.00876003349494123,0,0,0.00155025190555691,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.0573212546284203,0,0.0424055443368942,0,0,0,0,0.00130694562809616,0.0023991779901815,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803889123395166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221967371934104,0.165249912593942,0,0.0491010423448033,0.0558059752384873,0,0,0,0,0,0,0,0.202111198614922,0,0.230511551132915,0,0,0,0,0.0122395097340875,-0.0107614812260162,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.181762674418654,0,0,0.267840307111747,0.162736277538662,0,0,0,0,0,0,0,0,0,0.0263926302399039,0,0,0,0,0,0,0,0,0,0,0,0.0564438626910067,0,-0.00733932737070655,0.00153582652889339,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0.142249685977783,0.341405790053773,0,0,0,0,0,0,-0.0545313728831552,0,0,0,0,0,0,0,0,0,0.0669816983138635,0,0,0,0,0.0209303194440334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0242437232395425,0.00319925721547563,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331673499354016,0,0,0,0,0.022622131615209,0,0,0,0,0,0,0,0.181221183500486,0.262310968590283,0,0.156369706318429,0,0,0,0,-0.00967408768652771,0.0278232123508863,0,0,0,0,0,0
X600801.SH,0,0,0,0.446842475374801,0,0,0,0.0137826926590013,0,0.0844283838352305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000806235263016274,0.112549614662463,0,0.0087141908833958,0,0.0201656764305637,0.338202341975488,0.027804089259277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00829864141534563,-0.00475137851961612,0,0,0,0,0,0
