,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X601991.SH,X600352.SH,X600688.SH,X600660.SH,X000723.SZ,X600188.SH,X600886.SH,X600362.SH,X600795.SH,X600111.SH,X600801.SH,X601992.SH,X000898.SZ,X600027.SH,X002460.SZ,X600516.SH,X000786.SZ,X600176.SH,X002466.SZ,X000709.SZ,X002271.SZ,X600299.SH,X000629.SZ,X601158.SH,X600219.SH,X600489.SH,X000553.SZ,X000883.SZ,X600808.SH,X600583.SH,X000630.SZ,X600985.SH,X600339.SH,X000825.SZ,X000990.SZ,X000027.SZ,X600426.SH,X601699.SH,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.021540078782535,0,0,0,0,0,0,0,0.0320245524645353,0,0,0,0,0.0423396509058551,0,0,0,0,0,0,0,0,0,0,0.0113726881372251,0,0,0.0125216034268663,0,0,0,0,0.0505855714545285,0,0.0595193219590705,0.012151042963368,0,0,0,0,0.0224446150327735,0,0,-0.00804570178250233,-0.0173615762185423,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.108269934682936,0,0,0,0,0,0,0,0,0,0,0,0.00264614908735669,0.037793867334343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437742451706878,0,0.00617343237151057,0,0.106383847061388,0.0560633809337465,0,0,0.00179632753525557,-0.0386287235655046,0,0,0,-0.0076967769419935,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0138645551222207,0,0,0,0,0,0,0.00546358304169672,0.206838520304159,0,0,0,0,0.0619171204710422,0.0892120680897391,0,0,0,0.0343975996565241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288170066817355,-0.0265978193911304,0,0,0,0.0123224440748705,0,0
X600585.SH,0,0,0,0,0,0.101408575211565,0,0,0,0,0,0,0,0,0,0.0164293179180343,0,0,0,0,0,0.468869849682257,0,0,0,0,0,0,0,0,0,0,-0.0261440383764938,0,0,0,0,0,0,0,0,0,0,0,0,-0.00180936421323133,0,0,0,0.0270156274411945,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.218645992972449,0,0,0,0,0,0,0.0430124170481916,0.0214520016968319,0,0.0311111829345753,0,0,0.0442810123491154,0,0,0,0,0,0,0,0,0,0,0.00843819368129248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201106439799581,1.73472347597681e-18,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0
X600309.SH,0,0,0,0.215460830824065,0,0,0.0746629235693746,0,0,0,0,0,0.0711571333356859,0,0,0,0,0,0,0,0.0791928735056192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147112367151383,0,0,0,0,0,0,0,0.0823170979992957,0,0.0091195607675836,0,0,0,0,0,0,0,0,0.00599319129219517,0,0
X600011.SH,0,0,0,0,0,0,0,0.0303929307978472,0,0,0,0,0.123597100787075,0,0,0,0,0,0,0.0404753961919941,0,0,0,0,0.455017210830761,-0.0315164222167597,-0.0373230948559217,0.0379344077375347,0,0,0,0,0,0,0,0,0,-0.0335515213151971,0,0,0,0.0295408687378029,0.116606260305554,0,0,-0.0462880142834021,0,0,0,0,0,0.0466132889283969,0,0,-0.028921288055934,0,0.0183059163346485,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.195130085106874,0,0,0,0.0320959357316176,0,0,0,0,0,0.214118267115103,0.176442681951084,0,0,0,0,0,0,0,0,0,0,0,0,0.0561427653740033,0.10524894819021,0,0,0,0,0,0,0,0.04491259384916,0,0,0,0,0.1621812775168,0,0,0,0,0.0116658698773652,-0.0445017800979115,0,0,0,-0.0209189502611629,0,0
X601600.SH,0,0,0,0,0,0,0,0.0976748264935306,0,0,0,0,0,0,0,0.00602453360028509,0,0,0.158444887084077,0,0,0.0708359900917436,0,0,0,0,0.0469205073611453,0,0,0,0,0,0,0,0,0.228561641819971,0,0,0,0,0,0,0,0,0,0.00671414696992456,0,0.136938836044956,0,0,0,0,0,0,0,0,-0.00297691738718605,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493723962122384,0,0,0,0,0,0,0,0,0,0.490055370099426,0.0510276375442878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207746871904195,-0.0263277295194363,0,0,0,-8.67361737988404e-19,0,0
