,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X600309.SH,X601898.SH,X601992.SH,X600688.SH,X600795.SH,X600111.SH,X600188.SH,X600362.SH,X601991.SH,X002466.SZ,X600547.SH,X600660.SH,X300072.SZ,X600886.SH,X600516.SH,X000709.SZ,X000898.SZ,X002460.SZ,X600157.SH,X600027.SH,X600339.SH,X000959.SZ,X600489.SH,X600808.SH,X600219.SH,X600352.SH,X000553.SZ,X600549.SH,X002092.SZ,X601158.SH,X600008.SH,X000983.SZ,X000883.SZ,X000630.SZ,X000723.SZ,X002271.SZ,X600176.SH,X601699.SH,X600299.SH,X000792.SZ,X000786.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,-0.0314765943449113,0,0.0682308324481811,0,0,0.0107087736946918,0,0.0469956058887072,0,0,0,-0.0412085859601996,0,0.0062267391554784,0,0,-0.027205677583292,0,0,0,0,0,0,0,0,0,0,0,0,0.0143325205059674,-0.0226750657886776,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,-0.0459707990429111,0,-0.00639056195464393,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.178078250031128,0,0,0,0.0041419698841609,0,0,0,0,0,0,0,0,-0.0104035663188188,0,0,0,0,-0.0103152973588053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0680959044478757,0,0,0,0,0,0,-4.33680868994202e-19,-0.123080881493522,0,0,0,0.000276634858695443,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319535655427368,0,0,0,0,0,0,0,0,0,0.181010563392051,0,0,0,0,0,0,0.355782501507569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228807654365772,0.0313751641229905,0,0,0,0,0,0
X600585.SH,0,0.0219477485505633,0,0,0,0,0,-0.0144119157032361,0,0,0,0,0,0,0,0.169683415646825,0,0,0,0.306760746082467,0,0,-0.109351848763306,0,0,0.0226730998269544,0,0,0,0,0,0,0,0,0,0,-0.0936049760048581,0,0,0,0,0,0,0,0.158127080532516,0,0,0,0,0,-0.00551193004442589,-0.00929119192541402,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00517000748016629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21664578622813,0,0,0,0.0565530757218354,0,0,0,0.00607629477003735,0,0,0,0,0,0.0437458852661974,0,0,0,0,-0.0140019104900795,0.00333093178538004,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.010975569836775,0,0,0,0.0865964622355992,0,0,0,0,0,0,0,0.140268006955375,0,0,0,0,0,-0.034937072860447,0,0,0.0620892191981782,0,0,0.0491704892088509,-0.123844431798997,0,0,0,0,0.074519438465647,0,0.0579436615200683,0,-0.018535177221851,0,0,0,0,0,0,0,0,0,0,0,0.0220137542371795,0.00279128071333994,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0.0164213161101738,0,0,0,0,0,0,0.28267062211465,0.0180298338444065,0,0,0.176300841821434,0,0,0,0.118063981863995,0,0,0,0,0,0,0,0,0,0,-0.0230549827356774,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176246890858286,0,0,0.0783586175758552,0,0.210012509393092,0.016783991557787,0,0.0503376833561931,0,0,0,0,0,0,0,0,0,0,0,0,0.103906865722035,0.061880531616922,0,0,0,0,0,0,0,0,0.0205854775871479,0,0,0,0,-0.00509549373575284,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.103162990948946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225694374671046,0,0,0,0,0,0,0.0626801889081625,0,0,0,0.0636906085592686,0,0,0,0.19202428246332,0,0,0,0,0,0,0,0,0,0,-0.0136569842751665,0.0256616966938426,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175123601056607,0.102019700470835,0,0,0,0,-3.46944695195361e-18,0,0.1681439716569,0,0,0,0.312820955894908,0,0,0,0.399811914904851,0,0,0,0,0,0,0,0,0,0,0,0.00349280326977756,-0.0235910502059533,0,0,0,0,0,0
X600688.SH,0,0.0253781942695115,0,0,0.0627201098500968,0,0,0,0.0751027154389962,0,0,0,0,0,0,0.030137951276274,0,0,-0.0366644269555814,0,-0.0446206420166192,0,0,0,0.0537204856978333,-0.0206500436180082,0,0,0,0,0,0,0.0880534522804161,0,0,0,0,0,0,0,0,0,0,0.0925969688704061,0,0,0,0,0,0,-0.0144495445895003,-0.00940183514840375,0,0,0,0,0,0
