,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X002460.SZ,X600585.SH,X600019.SH,X002271.SZ,X600660.SH,X600111.SH,X000301.SZ,X002466.SZ,X000708.SZ,X600010.SH,X601898.SH,X601600.SH,X600362.SH,X600188.SH,X600426.SH,X600547.SH,X000786.SZ,X600886.SH,X600176.SH,X600011.SH,X600219.SH,X300037.SZ,X000408.SZ,X600803.SH,X000932.SZ,X002080.SZ,X000825.SZ,X601991.SH,X000027.SZ,X600795.SH,X000898.SZ,X000807.SZ,X600489.SH,X600352.SH,X600688.SH,X000830.SZ,X600549.SH,X002353.SZ,X000959.SZ,X002409.SZ,X600399.SH,X601699.SH,X000012.SZ,X600315.SH,X300073.SZ,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0468379492967039,0,0,0,0.0255288421914506,0.0298033635307841,0.022347107983072,0,0,0,0,0.0336619119865393,0,0,0,0,0,0,0,0.0511053222900085,0,0.0415781315992541,0,0,0,0,0,0.0506301160247853,0,0,0,7.77297497670561e-05,0,0,0.0753973400027872,0.00991565365590902,0,-0.0423048780333786,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.235019325241945,0,0,0,0,0,0.0736144390797043,0,0,0,0,-0.039545484166366,0,0,0,0,0,0.0360321704564801,0,0,0,0,0.000498640681750979,0,0,0,0,0,0.0255689043500278,0,0,0,0,0,0,0.0244344126107647,0,0,0.124915210335108,0,0,0,-3.46944695195361e-18,0,-0.0469310146184803,0.00686360876004964,0,0,0,0,0,0,0.0360778733929292,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.104418754439566,0,0.122076531484424,0,-0.0563915064626386,0,0,0,0,0,0,0.311231077634304,0,0.00188431050776265,0,0,0,0,0,0,0,0,0.0588231592821994,0,0,0,0,0,0.0813816655513008,0,0,0,0,0,0,0,0.0433990030852266,0,-8.67361737988404e-19,0,0.0141080458342389,0,0,0,-0.0332601251945721,-0.020308230562762,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00794451803627368,0,0,0.056481483378222,0,0.221939902438974,0,0,0,0,0,0,0,0,0.00218368755971121,0,0.0213975756030082,0,0,0,0,0,0,0,0,0,0,0,0.0233842243809685,0,0,0,0,0.00304680484899859,0,-0.0529558962122388,0,0,0,0,0.0274625071257118,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.353980846004739,0,0,0,0,0,0,0.208369087434451,0,0,0,0,0,0.081194250473285,0,0,0,0,0,0,0,0,0,0,0.106615641011875,0,0,0,0,0,0,0,0,0,0,0,0,0.360160876393183,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0987842646787816,0,0,0,0.0431508287921479,0,0,0,0,0,0,0,0,0,0.0431307736882934,0,0,0,0,0.0366690430798035,0,0,0,0,0,0,0,0,-0.100231934778952,0,0,0,0.260391181370734,0,0,0,0,-0.0896310382725337,0,0,0.0795571407924806,0,0,0,0,0,0.0380985550515953,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,-0.0698670128500467,0,0.00998982361405725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154596296158152,0,0.0440128089589639,0,0,0,0.296618104880419,0.0640056617053076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002271.SZ,0,0,0.0362333046161071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050378378901996,0,-0.00543107625197992,0,0,0,0,0,0,0,0.0958244348924624,0,0,0,0,0,0,0,0.0529879433975591,0,-0.0684737067697497,0.0299420704512229,0,0.108310655106102,0,-0.00880990886659388,-0.0134208926777553,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0.039540285490202,0.0656566397739716,-0.0192917312842539,-0.175973372383899,0,0,0,0,0,0,0,0,0,0,0.0376231704937136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13345005525326,0,0,0,0,0,0.265386299896161,-0.118986228867982,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269284373991641,0,0,0,0,0,0,0,0,0,0,0,0.101142565987834,0,0,0,0,0.0353108650015339,0,0,0,0,0,0,0,0,0,0.111086936801784,0,0,0.0124251858312248,0,0.0259340566801897,0,0,0.00131805061108683,0,0,-0.0868814543540979,0,0,0,0,0,0,0
