,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X002460.SZ,X600547.SH,X000708.SZ,X600660.SH,X002271.SZ,X600011.SH,X600362.SH,X601600.SH,X000786.SZ,X600886.SH,X600176.SH,X600426.SH,X601898.SH,X600010.SH,X600188.SH,X600801.SH,X000301.SZ,X002466.SZ,X600352.SH,X600111.SH,X600489.SH,X600795.SH,X601991.SH,X300037.SZ,X600688.SH,X600486.SH,X600803.SH,X002353.SZ,X600027.SH,X600299.SH,X601992.SH,X002080.SZ,X600219.SH,X000932.SZ,X601168.SH,X002409.SZ,X000898.SZ,X000723.SZ,X600529.SH,X000630.SZ,X000807.SZ,X000027.SZ,X600315.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,-0.0450623469264455,0,0.0420738397176946,0.027022152703276,0,0,0,0,0,0,0,0,0,0.00814156486715863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314585900550385,0,0,0,0,0.0238133625067756,0.0330978031506603,0,0.0104750228198552,0,0,0,0,0,-0.00945223794782661,0,0,0,0,-0.00577010057341239,0,0
X600028.SH,0,0,0,0,0.012247457798473,0,0,0,0,0,-0.00787372010976121,0,5.42101086242752e-20,0,0,0,0,0.0109952697559698,0,0,0.0123102360888899,0,0,0,0,0.0488706684853605,0,0,0,0,0,0,0.00601051399078297,0,0,0,0,0.0617424648619859,0,0,0.0370717563360297,0,0.0308886834489611,0,0,0,0,0,-0.0221580955579165,0,0,0,0,0,0,0,-0.0118995024643233,0,0
X601088.SH,0,0,0,0,0,0,0.00829057719861947,0,0,0,0,0,0.0483369698782521,0,0.0357170996548229,0,0,0,0,0,0.285135682488539,0,0,0,0,0,0,0,0,-0.0241990911759464,0,0,0,0,0,0,0,0,0.072002187858954,0,0,0,0,0.0253806539798074,-0.0229228939435321,0,0.0338217957926685,0,0,0,0,0,0,0,0,0,-0.0121421760341192,0,0
X600585.SH,0,0,0,0,0.0640257525446367,0,0.0748944676824726,0.107822636312213,0.00428741041788922,0,0,0,0,0,0,0,0,0,0.0729241947419845,0,0.016045328885355,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145099072918478,0,0,0,0,0,0,0.0125439852159854,0,0,0,0,0,0,0,0,0,0,0.0171529582615811,-2.16840434497101e-19,0,0,0,-4.33680868994202e-19,0,0
X600309.SH,0,0,0,0,0,0,0,0.287599162166257,0.20836257266596,0,0,0,0,0,0,0,0,0.299691430666487,0,-0.0741784947671708,-0.0594728621236784,0,0,0,0,0,0,0,0,0.0763617362808507,0,0,0,0.078653209585886,0,0,0,0.00327891408469727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00911794037540668,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0790327499583955,0,0,0,0,0,0,0,0,0,0,0,0.124125218155352,0,0,0,0,0,0,0,0,0,0,0,0.0335035500675824,0,0,0.0586008409300536,0,0,0,0,0,0.0409978226103284,0,0,0,0,0.0433131068134955,0,0,0,0,-0.00345831829986585,0,0
X002460.SZ,0,0,0,0,0,0.226107590599753,0,0,0,0.0285541514011957,0.106556192155994,0,0.137050436603404,0,0,0,0,0,0,0,0,0,0,0.357070068185342,0,0,0,0,0,0.0728386816287221,0,0,0,0,0,0,0,0,0,0,0.129580755549592,0,0,0.0196333125572476,0,0,-0.173712305597953,0,0.322307134121341,0,0,-0.00917280524645275,0,0,0,0,-0.0299217114000948,0,0
X600547.SH,0,0,0,0,0.060969090395006,0,0,0,0.0229490426784359,-0.0146690388265467,0,0,0,0,-0.0297270879140601,0,-0.0994884488247972,0,0,0,0,0,0,0,0,0,0.652050608028682,0,0,0.00577916747872778,0,0,0,0,0,0,0,0,0,0,0,-0.0143717476763491,0,0,0.0137074356950022,0,0,0,0.122169940942155,0,0,0,0,0,0,0,0.00841365933456426,0,0
X000708.SZ,0,0,0,0,0.0220431378875494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035469454262097,0,0,0,0,0,0,0,0,0,0.0421960801819787,0,0,0,0,0.360639209074807,0.0273439297637507,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0389784551338471,0,0,-0.00607682307401342,0,0,0,0,-0.00247288063270172,0,0
X600660.SH,0,0,0,0,0,-0.23721437975368,-1.73472347597681e-18,0,0,0,0,0,0.00503876478485528,0,0,0,0,0,0,-0.0328723685480325,0,0,0,0,0.0806625016323516,0,0,0,0,0.174145336412837,0,0,0.079488837946749,0.0723024415425355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00125427781902338,0,0,0,0,0.00906475030893692,0,0
