,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002271.SZ,X600011.SH,X600660.SH,X002460.SZ,X600886.SH,X600801.SH,X000786.SZ,X601600.SH,X601898.SH,X600010.SH,X600362.SH,X600489.SH,X600176.SH,X601991.SH,X600352.SH,X600111.SH,X600188.SH,X600426.SH,X600795.SH,X600027.SH,X600299.SH,X600688.SH,X601992.SH,X002466.SZ,X002080.SZ,X002353.SZ,X600219.SH,X600529.SH,X600486.SH,X600612.SH,X000932.SZ,X000959.SZ,X000301.SZ,X000723.SZ,X600315.SH,X000027.SZ,X002075.SZ,X002409.SZ,X601158.SH,X000883.SZ,X600516.SH,X000898.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0240786784176636,0.0625557814264779,0,0,0.0530988348000809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795568292779658,0,-0.0335877497732609,0,0,0,0.0465456790499637,0,0.0418390615989154,0.000886276194053378,0,0,0,0,0,0,0,0,0,-0.00326258479817514,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.00479628816851116,0,0.0257265934981595,0,0,0,0,0,0,0,0,0.017924859033246,0,0,0,0,-0.00395368983585983,0,0,0,0,0,0,0,0,0.0137949093687148,0.138630761726582,0,0,0,0,0,0.032119272286532,0,0,0,0,0,0,0,0,0,0.058067514858914,0,0,0.00688439891420255,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958611029744817,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.117402454752658,0.0814726958433998,0,0,0.0969894094103821,0,0,0,0,0,0,0.0147962104374209,0,0,0,0,0,0,0,-0.0038713545797211,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.147607820691487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135239730816979,0,0,0,0,0,0,0,0,0,0,-0.00530410532684178,0,0,0,0,0,0.0548563678962722,0,0,0,1.73472347597681e-18,0,0,0,0.0268772976729319,0,4.33680868994202e-19,0.0116300816380135,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.144867222174128,0,0.111245207653702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120334240485783,0,0,0,0,0,0,0,0.0447491627847885,0,0,0,0,0,0,0,0,0,0,0.0043874363056663,0.0762310676696931,0,0,0,0,0,0.0191652988289912,-0.0208198671213966,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317117630100892,0.624889945003683,0,0,0.0541933084550233,0,0,0,0,0,0.0530940023740716,0,0,0,0,0,0,0,0,0.0575759406841303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123231137471855,-0.0189930280534764,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149717478048166,0,0,0,0,0.0250803450411992,0,0,0,0,0,0,0,0,0,0,-0.00234084109356489,0,0.0133813207426895,0,0,0,0,0.16066913516314,0,0,0.0785503269436385,0,0,0,0.0301563059991278,0,0,0,0.102695196845057,-0.00593186060544561,0.00836699197249399,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,-0.107008380750862,0,0,0,0,0,0,0,0,0,0,0,0,0.0432925036776614,0,0.187101600825402,0,0,0.0224671191681416,0,0.293963221225378,0,0,0,0,0,0,0,0,0.0111360895589496,0,0,0,0,0,0,0,0.190310545966609,0,0,0,0,0,0,0.0729546541445229,0,0,0.00904823738264211,-0.0126050342020708,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.0844244304233421,0,0,0,0,0,0,0.0224282101244579,0,0,0.177623677931631,0,0,0,0,0,0,0,0,0.246852748073765,0,0,0,0,0,0,0,0.0369769251130505,0,0,0,0,0.0714117009001639,0,0,0,0,0,0.0891082934156837,0,0.0714975053935416,0.0294166438583237,0,0,0.0747622381430463,0,0,0.00751779043951451,-0.0147171772314957,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130851992252594,0,0,0,0,0,0,0,0,0.04153918573337,0,0,0,0.398069532422184,0,0,0,0,0.140033500319919,0,0,-0.0302087975951203,0,0,0,0,0,0,0,0,0,-0.0268897799172276,0,0,0,0,0,0.0384457717886889,0,0,0,0,0,0,0
