,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600111.SH,X600660.SH,X000301.SZ,X600010.SH,X000708.SZ,X600547.SH,X002271.SZ,X601600.SH,X000877.SZ,X600886.SH,X600795.SH,X600426.SH,X600362.SH,X600176.SH,X601699.SH,X601991.SH,X600803.SH,X600027.SH,X000983.SZ,X600995.SH,X000629.SZ,X600096.SH,X600160.SH,X000786.SZ,X000408.SZ,X000723.SZ,X600219.SH,X000807.SZ,X002080.SZ,X600489.SH,X600348.SH,X000933.SZ,X600378.SH,X600141.SH,X600157.SH,X600688.SH,X000630.SZ,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.453050049268515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073964321045327,-2.16840434497101e-19,0,0.15396510260816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00812742444109517,0,0,-0.00560954389393152,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.386038894099964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0865669848373286,0.0440020107556058,0.0240236769238759,0.13644895330887,0,0,0,0,0,0.029006304162315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368567881303781,-0.0233598153304973,0,-0.00171499977527995,0,0,0,0,0,0,0
X600028.SH,0.596689848623314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567964834239411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00213640543329906,-0.00245818531004459,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,-0.0199598353525559,0,0,0,0,0,0,0.222362337226677,0,0,0,0,0,0,0,0,0,0,0,0,-0.0800467702257066,0.0842627719577061,0.140293065179333,0,0,-0.0482732694855964,0,0,0.335736310590601,-0.0120689047317679,0,0,0.0245174603374886,0,0,-0.132154616108293,0,0,0,0,0,0,0,0,-0.00501011782431096,-0.0192353593987889,0,0,0,0,0,0
X600188.SH,0,0.695218269245245,0,0,0,0,0,0,0,0,0.0805116062351162,0,0,0,0,0,0,0,-0.0561917029336861,0,0,0,0,0,0,0,0,0,0,0,0.0802975477476485,0,0.000100557518772064,0,0,0,-0.054277622131348,0,0,0,0,0,0,0.248443012897705,0,0,0,0,0,0,0,0.00366777248423499,0.0553037882362465,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.414700756511311,0.153481574066618,0,0,0,0.0111609319518667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.0083006802603384,0.0532624632879221,0,0,0,0,0,0.0770440867901927,0,0,0,0,0,0,0,0,0,0,0.0029361888335467,0.029382530068547,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159364313521048,0,0,0,0.228289960015425,0,0.0203903378880329,0,0,0,-0.0164518280301084,0.10926937095048,0,0.0284440540955486,0,0,0,0,0,0.385675093053448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00694244441020467,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.583527639061478,0,0,0,0,0,0,0,0,0,-0.0197179133940286,0,0,0.0624393778663566,0,0,0,0,0,0,0,0,0,0,0,0.0477737366379377,0,0.133305367704772,0,0,0,0,0,0,0,0,0,0.0199787454494796,0,0,0.129864520168762,0,0,0,0,0,-0.017121311956396,-0.00526976624795817,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.144965982767882,0,0.0847251736622331,0,0,0,0,0.246639392621098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15685717388293,0.129598552920791,0,0,0.0287688014589335,0,0,0,0,0,0,0,0,0.0441815254519027,0,0,0,0,0.0288685219034999,-0.00760973061085307,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420847137156941,0,0,0,0,0,0,0,0,0,0,0,-0.0507429524779458,0,0,0,0.184035657749221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101598773362049,0,0,0,0,0,0,0
