,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X601898.SH,X002466.SZ,X600111.SH,X002271.SZ,X600011.SH,X000877.SZ,X600660.SH,X000708.SZ,X600010.SH,X600547.SH,X000301.SZ,X601600.SH,X600886.SH,X600426.SH,X600176.SH,X600362.SH,X600795.SH,X000983.SZ,X000786.SZ,X600096.SH,X600803.SH,X600801.SH,X000723.SZ,X601991.SH,X600486.SH,X601699.SH,X000408.SZ,X600219.SH,X600141.SH,X600027.SH,X000932.SZ,X600295.SH,X000807.SZ,X000830.SZ,X002080.SZ,X600985.SH,X300073.SZ,X600157.SH,X000630.SZ,X002353.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0699620345435943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072364841741717,0,0,0,0.0309151845101782,0,0,0,0,0,0,0,0,0,0.0847537498832991,0,0,0,0,0,0,0,0.135603823129468,0.0316437846114944,0,-0.0348628107695374,-0.0119349873946491,0,0,0,0,0,0
X601088.SH,0.138465133241144,0,0,0,0,0.171814593268626,0,0,0,0.16030311212592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145481963664983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14345564900658,0,0,0,0,0,0,0.0134409295035123,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0357605130082004,0,0,0,-0.0514178201956199,0,0,0,0,0,0,0.0991577818732234,0,0.0669470455325339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198957940859163,0,0,0,0.0247336665443854,4.33680868994202e-19,0,0,0,0,0,0.0165229777395426,0.035083788184554,0,0,0,-0.0214644382178412,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0162489380411865,0,0,0,0.114150302645314,0.0653037276246319,0,0.135803944088476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014640318552351,0.0038766835065072,0,0,0.0387460761034219,0,0,0,0.0607631216875883,0.0712817567801654,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0468184470880348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484002547635621,0,0,0.429061472619474,0.0335105775125178,0,0,0,0,0.037097446810843,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,-0.00542229496234612,0,0,0,0,0,0,0
X600188.SH,0,0.678097722187461,0,0,0,0,0,0,0,0,0.0168002722597027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105656239225328,0.0306673696000738,0,0,0.373822788143967,0,0,0,0,0,0.111990392655282,0.0506519057281132,-0.00891407339921522,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.534798904758211,0.167562018906767,0,0.0384082214141337,0,0,0,0,0,0,0.0303919720390632,0,0,0,0,0,0,0,0,0,0,0.0870582912611454,0,0,0.0671562449193716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525431475434314,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.146093150378236,0,0,0,0.309845632127052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569371343189541,0,0,0,0.273712125051741,0,0,0,0,0,0,0,0,0,0.0877913825100837,0,0,0,0,-0.0189399709115131,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211456717564176,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.444582751624369,0.0206428327859461,0.00648546827089898,0,0,0.0797068673722604,0,0,0,0,0,0,0,-0.0349843076869302,0,0,0,0,0,0
X601898.SH,0,0.168938534119857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124943580054144,0,0,0,0,0,0,0,0.17214426044406,0,0,0,0,0,0.181899910817475,0.0143628415485834,0,0,0.109403899395746,0,0,0,0,0.0379337773006458,0,0,-0.0259407635523334,0,0,0,0,0,0
X002466.SZ,0,0,0,-0.065699749044975,0,-0.0948097304593559,1.02095053391655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282297149700952,0,0,0,0,0,0,0.0264010442801625,0,0,0,0.00976601130533658,0,0,0,0,-0.0103229480617576,0,0,0,0,0,0,0,0,0.00148637190698009,-0.00939494400794224,0,0,0,0,0,0
