,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X601898.SH,X600188.SH,X601991.SH,X600688.SH,X600547.SH,X002466.SZ,X600362.SH,X600660.SH,X600795.SH,X300072.SZ,X601992.SH,X600886.SH,X002460.SZ,X600111.SH,X600516.SH,X000898.SZ,X000786.SZ,X600176.SH,X000553.SZ,X600352.SH,X000709.SZ,X000792.SZ,X600299.SH,X600027.SH,X600489.SH,X000825.SZ,X002271.SZ,X000408.SZ,X601158.SH,X601699.SH,X600219.SH,X002470.SZ,X600157.SH,X000883.SZ,X600315.SH,X000630.SZ,X600583.SH,X600808.SH,X002408.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.300143057423447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137086108584439,0,0,0,0,0,0,0.044436046066447,0,0,0,0,0,0,0,0,0.0512104565822062,0,0,0,0,0,0,0,0,0,0,0.0712186742426781,0.0249329005785316,0,0,0,0.0029936282260043,0.0178536708739635,0,0,0,0,0,0
X600028.SH,0.349589573599064,0,0.203018906199009,0,0,0,0,0,0,0,0,0.13242536362621,0.104888201011594,0,0.0250779678524909,0,0,0,0,0,0,0,0,0,0.0247964335219985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394877155103567,0,0,0,0,0.0123324925537188,0,0,0,0,0,0,0
X601088.SH,0,0.0480037234575504,0,0.191657829557958,0,0,0,0,0,0,0,0,0,-0.0249388877809459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589051229726053,0,0,0,0,0,0,0.40832870555841,0,0,0,0,0,0,0,0,0,0,0,0,-0.0302383275638296,0,0,0,0,0,0
X600019.SH,0,0,0.241074362545052,0,0.126041184466275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0806612660590383,0,0,0,0,0,0,0,0,0,0.00264649603231248,0,0,0,0.185655751628438,0,0,0,0,0,0,0,0.0685043779242653,0,0,0,0.0297211750532203,-0.0389019838595112,0,0,0,0,0,0
X600585.SH,0,0,0.152802464680115,0.390199343849852,0,0,0,0,0,0.148740246689159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094118919011932,0.105955347459038,0,0,0,0,0,0,0,0,0,0,0,0.0601157325366293,0,0,0,0,0,0,0,0,0,0,0,0,0.0257294153998981,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640317475728558,0,0,0.11372398961147,0,0,0,0,0.0175546355278743,0.00499118962111351,0,0,0,0,0,0.0774873676724651,0,0,0,0,0,0,0,0,0,0,0,0.0284621743720494,0,0,0,0.00785969231509852,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.139509346868902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189225183029833,0,0.00645284274463977,0.0155411485125784,0.139875059750526,0,0,0,0.0626268276226267,0,0,0,0,0.362382406148781,0,0,0,0,0,0.0841768364117433,0,0,0,0,0,0,0.0420543623611115,0,0,0.013378618463144,0,-0.0261016033841841,-0.0262737052730073,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,-0.0468172759855796,0,0,0.44800924338129,0,0,0,0,-0.0486555143433741,0,0,-0.222338354488633,0,0,0,0,-0.0815559123275445,0,0,0,-0.250357846663259,-0.20204251093765,0,0,0,0,0,0,0.237557151524659,-0.245613495815831,0,0,0,-0.403127641193078,-0.0274304576120416,0,0,0,0,0,0,0,0,0.0704138028171211,-0.245481496204606,-0.32860766894885,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0527197885593819,0,0,0.100662677781078,0,0,0,0,0.320445714358945,0,0,0,0,0,0,0,0,0,0.0137170260921862,0,0,0,0,0.083046949643069,0,0,0,0.0462950333226681,0,0,0,0.0298416942097536,0,0,0,0,0,0,0.0497755406153821,0.0635964866701463,0,0,0,0.0128066538013922,0,0,0,0,0,0,0
X600188.SH,0,0,0,0.206455085478692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109204097204608,0,0.0417114074772667,0.0882591511513896,0.0250206748952951,0.248464690422625,0,0.15799553398829,0,0,0,0,0,0,0,0,0,0.393470167922357,0,0,0,0,0,0,0,0.093870947495282,0,0,0,-0.0133716775253729,0,0,0,0,0,0,0
