,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600011.SH,X600309.SH,X601898.SH,X002466.SZ,X600660.SH,X600688.SH,X600795.SH,X300072.SZ,X601992.SH,X002460.SZ,X600362.SH,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X600516.SH,X000898.SZ,X000709.SZ,X600157.SH,X000786.SZ,X000792.SZ,X600027.SH,X000408.SZ,X600176.SH,X000553.SZ,X600339.SH,X600219.SH,X000959.SZ,X600489.SH,X002271.SZ,X000723.SZ,X600352.SH,X601158.SH,X000883.SZ,X600808.SH,X002092.SZ,X000630.SZ,X600299.SH,X000983.SZ,X000807.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.038518458862417,0,0,-0.00494067549660797,0,0,0.035227036479783,0.162332668853865,0,0,0,0.000775854444289512,0.00417917044051367,0,0,0,0,0,-0.000755954628184642,0,0,0,0,0,0,0,0,0.0266982955266879,0,0,0,0,0,0,0,0,0,-0.0179511269854253,0,0,0,0,0,0,0,0,0.00463366010391665,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0346841920561315,0,0,0.00303053771760064,0,0,0,0,0,0,0,0,0,0,0.0209926312759231,0,0,0,0,-0.00806060814823709,0,0,0,0,0,0,0,0,0.0242464045965511,0,0,0,0,0.0625939754564076,0,0.00785183856372468,0,0,-0.00758607771506281,0,0,0,0,0,0,0,-0.0019772182484526,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0528063707738952,0,0,0,0,-0.0804123456180525,0,0,0,0,0.7583274001533,0,0,0,0,0,0,0,0.0295932852225701,0,0,0,0,0,0,-0.0631817792918429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105503286370809,0,0,0.0692977933445439,0,0,0,0.0463960729348044,-0.0372057401914548,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308561423631319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24289039204442,0,0,0,0,0,0,0,0,-0.0200029584770035,0,0,0,0,0,0
X600585.SH,0,0.23878772452439,0,0,0,-0.0226238362989136,0,0,0.0149010753263221,0,0,0.102125507827378,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.0893219480629184,0,0.00284678926021592,0,0.0877505625159762,-0.108000846879965,0,0.0800197196462716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149776799266492,0,0,0.00462978537689436,0,0,0,0,0,0,0
X601600.SH,0,0,0,0.187025745538292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405715023651463,0.266758024948165,0,0,0,0,0,0,0,0,0,0,0,-0.0240397706226603,0,0,0,0,0,0,0,0,0,0,0,0.122197182415907,0,0,0,0,0.0362474285328625,0,0,-0.0337123293387847,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174146211983957,0.044950450145595,0,0,0.18390818658618,0,0.111885082964026,0,-0.00745725775168589,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,-0.0102459038777242,0,0,0,0,0,0,0,-0.0358007973139211,0,0.143366121559273,0.084794226483527,0,-0.00707138949112217,0,0,0,0,0,0,0,0,0,0,0.112576975798955,0,-0.0820463034721577,0,0,0,0,0,0,0,0,0,0,0.154212353093446,0,0,0,0,-0.0157946580683208,0.00900579354953981,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.363528383014037,0,0,0,0,0.286019327183403,0,0,-0.127309307376757,0,-0.0121156232673248,0,0,0,0.0675975459206992,0,0,0.0425158539325233,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137767157415081,0,0,0,0,0,0.0887485338035828,0,0,0,0,0,0,0,0.039508182018083,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0366865863103917,0,0,0,0,0,0,0,0,0,0,0,0.0284331033032332,0.388590048517619,0,0,0,0,0,0.0351155118530657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623707808134009,0,0,0,0.0818221724771601,0,0,0,-0.00932155891093455,0,0,0,0,0,0,0
