,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X601898.SH,X600886.SH,X600795.SH,X600585.SH,X600688.SH,X601600.SH,X601991.SH,X000709.SZ,X600157.SH,X600027.SH,X002075.SZ,X600111.SH,X600188.SH,X600362.SH,X600583.SH,X000539.SZ,X601992.SH,X600309.SH,X601158.SH,X002353.SZ,X000898.SZ,X000027.SZ,X600352.SH,X000883.SZ,X600021.SH,X601918.SH,X002470.SZ,X000878.SZ,X600660.SH,X600808.SH,X000792.SZ,X600863.SH,X000629.SZ,X600307.SH,X600098.SH,X600578.SH,X000060.SZ,X000825.SZ,X600489.SH,X600315.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.6881741886437,0.13001316908227,0,0,0,0,0,0,0,-0.00121403522801764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.310345384628549,0,0,0.0271901445248563,0,0.197242365039856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139187074232348,0,0,0,0,0,0,0,0,0,0,0.0102992906766081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0.223803386141709,0,0.00603405071552096,0.157801947000432,0,0.149391293318251,0,0,0,0,0,0.0457711950659649,0,0,0,0,0,0.00844353740788159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001776871296089,0,-0.0126109921444398,0.00379496477979482,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0581320313250123,0.0928401069028204,0,0,0,0,0,0,0,0,0.223546095290474,0,0,0.0594469177805306,0.0207833651651174,0,0,0,0.00420488037511891,0,0,0,0,0,0,0,0.0159083132213862,0,0,0,0,0,0,0,0,0,0.36321616388188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552071233485507,0,0,0,0,0,0,0,0,0,0,0,0.220748255750137,0,0,0,0,0.244258840171805,0,0,0,0,0,0,0.199839480156355,0,0,0,0,0,0.008284001850314,0,0,0,0,0,0,0
X600019.SH,0,0.0509087725507791,0.0435206092085977,0.100590562241352,0,0,0.0355463508464709,0,0,0,0,0,0,0,0,0.127686944622191,0,0,0,0,0.0444912914133567,0,0,0,0,0,0.30970631035393,0.00535789739555543,0,0,0,0.0292983010880396,0,0,0,0,0,0.0281444401819502,0,0,0,0,0,0,0,0,0,0,0.00234989672185612,-0.00692368166260284,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0937581897530417,0,0,0,0,0,0,0.195589620534738,0,0.190175155696184,0,0,0,0,0,0,0,0,0,0,0.185442449269265,0,0,0,0,0,0,0,0,0,0.15522075185065,0.0627552053545347,0,0,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.182142729405184,0,0,0,0,0,0,0,0.242184661344311,0,0,0,0,0,0,0,0.158698263989503,0.0251616955823714,0,0,0,0,0,0,-0.115107335370592,0.0875917345380109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135789299500077,0,-0.00974932795446377,-0.0371983171926057,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0120606652483457,0.0635205161308345,0,0,0.0165261319228329,0.0883308139800776,0,0,0,0.0582206125534837,0,0,0,0,0.0289938027403298,0,0,0,0,0,0,0,0,0,0.176639870865337,0.00879850795767482,0,0,0,0,0,0.292437409303679,0,0,0,0.105538026885126,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0
X600585.SH,0.0580497868429184,0.00708740478258074,0.0636836950961152,0.015029287222802,0,0.115283104895558,0,0,0,0,0,0.160353118728368,0.0296133935729167,0,0,0,0,0,0,0,0,0,0,0.00469767357729642,0,0,0,0,0,0,0,0,0,0,0.274181817466437,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012055212718093,-0.00669857884198827,0,0,0,0,0,0
